Area_name,,"School enrollment - persons 3 years and over enrolled in college, undergraduate years: 2005-2009",School enrollment - persons 3 years and over enrolled in graduate or professional school: 2005-2009
Clinton, IL," 1,653 ", 291 
Coles, IL," 12,450 ", 669 
Cook, IL," 293,898 "," 98,080 "
Crawford, IL, 845 , 103 
Cumberland, IL, 506 , 31 
DeKalb, IL," 20,843 "," 2,848 "
De Witt, IL, 553 , 168 
Douglas, IL, 683 , 85 
DuPage, IL," 56,719 "," 16,708 "
Edgar, IL, 523 , 191 
Edwards, IL, 217 , 25 
Effingham, IL," 1,575 ", 362 
Fayette, IL, 913 , 124 
Ford, IL, 402 , 146 
Franklin, IL," 1,532 ", 218 
Fulton, IL," 1,484 ", 250 
Gallatin, IL, 133 , 7 
Greene, IL, 471 , 33 
Grundy, IL," 2,136 ", 270 
Hamilton, IL, 261 , 6 
Hancock, IL, 770 , 162 
Hardin, IL, 101 , -   
Henderson, IL, 242 , 20 
Henry, IL," 1,850 ", 308 
Iroquois, IL, 853 , 170 
Jackson, IL," 14,068 "," 3,095 "
Jasper, IL, 408 , 25 
Jefferson, IL," 1,468 ", 164 
Jersey, IL," 1,246 ", 64 
Jo Daviess, IL, 469 , 167 
Johnson, IL, 576 , 28 
Kane, IL," 22,245 "," 5,736 "
Kankakee, IL," 7,092 ", 786 
Kendall, IL," 4,595 "," 1,300 "
Knox, IL," 3,522 ", 294 
Lake, IL," 35,572 "," 9,256 "
LaSalle, IL," 4,354 ", 791 
Lawrence, IL, 791 , 74 
Lee, IL," 1,776 ", 306 
Livingston, IL," 1,233 ", 167 
Logan, IL," 3,480 ", 279 
McDonough, IL," 10,019 "," 1,072 "
McHenry, IL," 14,640 "," 3,348 "
McLean, IL," 25,776 "," 2,435 "
Macon, IL," 5,488 ", 760 
Macoupin, IL," 2,487 ", 256 
Madison, IL," 18,694 "," 2,949 "
Marion, IL," 1,637 ", 294 
Marshall, IL, 462 , 33 
Mason, IL, 438 , 159 
Massac, IL, 475 , 35 
Menard, IL, 475 , 76 
Mercer, IL, 498 , 133 
Monroe, IL," 1,405 ", 451 
Montgomery, IL," 1,512 ", 95 
Morgan, IL," 2,745 ", 400 
Moultrie, IL, 438 , 84 
Ogle, IL," 2,364 ", 448 
Peoria, IL," 12,596 "," 2,033 "
Perry, IL," 1,108 ", 69 
Piatt, IL, 644 , 131 
Pike, IL, 572 , 57 
Pope, IL, 110 , 12 
Pulaski, IL, 181 , 28 
Putnam, IL, 240 , 2 
Randolph, IL, 944 , 207 
Richland, IL, 479 , 42 
Rock Island, IL," 8,905 "," 1,170 "
St. Clair, IL," 15,936 "," 3,002 "
Saline, IL," 1,204 ", 133 
Sangamon, IL," 9,060 "," 3,141 "
Schuyler, IL, 229 , 96 
Scott, IL, 117 , 44 
Shelby, IL, 687 , 74 
Stark, IL, 198 , 23 
Stephenson, IL," 2,040 ", 135 
Tazewell, IL," 5,273 "," 1,149 "
Union, IL, 873 , 111 
Vermilion, IL," 2,577 ", 315 
Wabash, IL, 646 , 58 
Warren, IL," 2,038 ", 81 
Washington, IL, 597 , 104 
Wayne, IL, 713 , 66 
White, IL, 417 , 46 
Whiteside, IL," 2,182 ", 519 
Will, IL," 32,921 "," 7,978 "
Williamson, IL," 3,495 ", 770 
Winnebago, IL," 13,321 "," 3,773 "
Woodford, IL," 2,250 ", 290 
INDIANA,," 368,563 "," 63,635 "
Adams, IN," 1,144 ", 141 
Allen, IN," 19,364 "," 2,881 "
Bartholomew, IN," 2,594 ", 732 
Benton, IN, 365 , 45 
Blackford, IN, 484 , 39 
Boone, IN," 2,093 ", 401 
Brown, IN, 366 , 53 
Carroll, IN, 558 , 99 
Cass, IN," 1,066 ", 145 
Clark, IN," 4,226 "," 1,063 "
Clay, IN," 1,092 ", 156 
Clinton, IN, 997 , 57 
Crawford, IN, 202 , -   
Daviess, IN, 781 , 58 
Dearborn, IN," 1,962 ", 341 
Decatur, IN, 918 , 196 
DeKalb, IN," 1,912 ", 163 
Delaware, IN," 17,672 "," 1,663 "
Dubois, IN," 1,288 ", 136 
Elkhart, IN," 6,548 "," 1,254 "
Fayette, IN," 1,114 ", 75 
Floyd, IN," 3,226 ", 615 
Fountain, IN, 446 , 64 
Franklin, IN, 929 , 101 
Fulton, IN, 414 , 135 
Gibson, IN," 1,571 ", 247 
Grant, IN," 5,670 ", 596 
Greene, IN," 1,237 ", 145 
Hamilton, IN," 9,821 "," 3,551 "
Hancock, IN," 2,373 ", 339 
Harrison, IN," 1,803 ", 203 
Hendricks, IN," 5,847 "," 1,036 "
Henry, IN," 1,822 ", 288 
Howard, IN," 3,129 ", 438 
Huntington, IN," 2,231 ", 160 
Jackson, IN," 1,115 ", 172 
Jasper, IN," 1,780 ", 144 
Jay, IN, 765 , 113 
Jefferson, IN," 2,231 ", 104 
Jennings, IN, 726 , 72 
Johnson, IN," 5,971 ", 964 
Knox, IN," 3,333 ", 181 
Kosciusko, IN," 2,355 ", 516 
LaGrange, IN, 439 , 37 
Lake, IN," 23,299 "," 3,686 "
LaPorte, IN," 4,469 ", 692 
Lawrence, IN," 1,353 ", 250 
Madison, IN," 6,013 ", 768 
Marion, IN," 45,288 "," 11,886 "
Marshall, IN," 1,345 ", 185 
Martin, IN, 263 , 27 
Miami, IN," 1,551 ", 189 
Monroe, IN," 32,545 "," 6,472 "
Montgomery, IN," 1,586 ", 150 
Morgan, IN," 2,774 ", 433 
Newton, IN, 533 , 47 
Noble, IN," 1,774 ", 203 
Ohio, IN, 143 , 10 
Orange, IN, 376 , 70 
Owen, IN, 731 , 65 
Parke, IN, 651 , 9 
Perry, IN, 665 , 104 
Pike, IN, 243 , 51 
Porter, IN," 9,089 "," 1,893 "
Posey, IN," 1,094 ", 103 
Pulaski, IN, 406 , 143 
Putnam, IN," 3,085 ", 167 
Randolph, IN, 785 , 92 
Ripley, IN," 1,051 ", 94 
Rush, IN, 480 , 119 
St. Joseph, IN," 22,155 "," 4,335 "
Scott, IN, 678 , 66 
Shelby, IN," 1,803 ", 263 
Spencer, IN, 673 , 133 
Starke, IN, 614 , 126 
Steuben, IN," 1,878 ", 155 
Sullivan, IN, 845 , 143 
Switzerland, IN, 291 , 59 
Tippecanoe, IN," 35,137 "," 6,067 "
Tipton, IN, 442 , 52 
Union, IN, 326 , 73 
Vanderburgh, IN," 13,232 "," 1,161 "
Vermillion, IN, 340 , 118 
Vigo, IN," 11,751 "," 1,493 "
Wabash, IN," 1,837 ", 141 
Warren, IN, 268 , 76 
Warrick, IN," 1,781 ", 335 
Washington, IN, 744 , 137 
Wayne, IN," 3,500 ", 421 
Wells, IN," 1,099 ", 74 
White, IN, 474 , 169 
Whitley, IN," 1,123 ", 211 
IOWA,," 188,722 "," 33,690 "
Adair, IA, 176 , 19 
Adams, IA, 86 , 25 
Allamakee, IA, 471 , 38 
Appanoose, IA, 426 , 70 
Audubon, IA, 120 , 17 
Benton, IA," 1,194 ", 167 
Black Hawk, IA," 16,033 "," 1,865 "
Boone, IA," 1,210 ", 183 
Bremer, IA," 2,168 ", 196 
Buchanan, IA, 742 , 184 
Buena Vista, IA," 1,436 ", 177 
Butler, IA, 355 , 81 
Calhoun, IA, 358 , 13 
Carroll, IA, 595 , 60 
Cass, IA, 327 , 45 
Cedar, IA, 502 , 216 
Cerro Gordo, IA," 2,312 ", 165 
Cherokee, IA, 194 , 71 
Chickasaw, IA, 166 , 80 
Clarke, IA, 150 , 24 
Clay, IA, 602 , 47 
Clayton, IA, 507 , 57 
Clinton, IA," 1,922 ", 338 
Crawford, IA, 307 , 60 
Dallas, IA," 2,096 ", 578 
Davis, IA, 287 , 46 
Decatur, IA, 952 , 61 
Delaware, IA, 492 , 130 
Des Moines, IA," 1,745 ", 181 
Dickinson, IA, 513 , 110 
Dubuque, IA," 6,060 ", 896 
Emmet, IA, 414 , 28 
Fayette, IA," 1,187 ", 66 
Floyd, IA, 456 , 39 
Franklin, IA, 368 , 14 
Fremont, IA, 245 , 10 
Greene, IA, 243 , 15 
Grundy, IA, 481 , 114 
Guthrie, IA, 328 , 34 
Hamilton, IA, 501 , 38 
Hancock, IA, 369 , 51 
Hardin, IA, 858 , 126 
Harrison, IA, 507 , 176 
Henry, IA," 1,153 ", 130 
Howard, IA, 275 , 26 
Humboldt, IA, 272 , 35 
Ida, IA, 192 , 10 
Iowa, IA, 473 , 157 
Jackson, IA, 526 , 120 
Jasper, IA," 1,073 ", 209 
Jefferson, IA, 648 , 360 
Johnson, IA," 24,830 "," 6,444 "
Jones, IA, 645 , 64 
Keokuk, IA, 270 , 26 
Kossuth, IA, 419 , 51 
Lee, IA," 1,247 ", 170 
Linn, IA," 13,619 "," 2,185 "
Louisa, IA, 421 , 38 
Lucas, IA, 102 , 15 
Lyon, IA, 249 , 24 
Madison, IA, 459 , 106 
Mahaska, IA," 1,572 ", 144 
Marion, IA," 2,259 ", 181 
Marshall, IA," 1,452 ", 205 
Mills, IA, 396 , 158 
Mitchell, IA, 411 , 53 
Monona, IA, 198 , 57 
Monroe, IA, 247 , 14 
Montgomery, IA, 253 , 58 
Muscatine, IA," 1,486 ", 353 
O'Brien, IA, 454 , 94 
Osceola, IA, 206 , 15 
Page, IA, 287 , 60 
Palo Alto, IA, 547 , 26 
Plymouth, IA, 742 , 105 
Pocahontas, IA, 220 , 37 
Polk, IA," 21,228 "," 5,231 "
Pottawattamie, IA," 3,818 ", 560 
Poweshiek, IA," 2,354 ", 69 
Ringgold, IA, 127 , 54 
Sac, IA, 133 , 49 
Scott, IA," 8,593 "," 3,025 "
Shelby, IA, 382 , 99 
Sioux, IA," 3,529 ", 189 
Story, IA," 22,037 "," 3,625 "
Tama, IA, 607 , 70 
Taylor, IA, 182 , 19 
Union, IA, 492 , 73 
Van Buren, IA, 201 , 18 
Wapello, IA," 1,455 ", 161 
Warren, IA," 2,735 ", 316 
Washington, IA, 478 , 189 
Wayne, IA, 157 , 26 
Webster, IA," 2,444 ", 199 
Winnebago, IA, 561 , 22 
Winneshiek, IA," 2,802 ", 146 
Woodbury, IA," 5,858 ", 809 
Worth, IA, 265 , 22 
Wright, IA, 220 , 78 
KANSAS,," 178,798 "," 38,130 "
Allen, KS, 822 , 100 
Anderson, KS, 169 , 3 
Atchison, KS," 1,247 ", 131 
Barber, KS, 140 , 16 
Barton, KS," 1,220 ", 179 
Bourbon, KS, 749 , 131 
Brown, KS, 212 , 38 
Butler, KS," 3,128 ", 626 
Chase, KS, 63 , 26 
Chautauqua, KS, 42 , 23 
Cherokee, KS, 584 , 47 
Cheyenne, KS, 59 , 5 
Clark, KS, 38 , 12 
Clay, KS, 176 , 52 
Cloud, KS, 706 , 73 
Coffey, KS, 238 , 74 
Comanche, KS, 18 , 9 
Cowley, KS," 2,071 ", 226 
Crawford, KS," 5,759 ", 579 
Decatur, KS, 39 , 59 
Dickinson, KS, 416 , 99 
Doniphan, KS, 520 , 54 
Douglas, KS," 25,440 "," 5,241 "
Edwards, KS, 30 , 43 
Elk, KS, 94 , 22 
Ellis, KS," 4,868 ", 617 
Ellsworth, KS, 192 , 36 
Finney, KS," 1,753 ", 259 
Ford, KS," 1,005 ", 204 
Franklin, KS," 1,464 ", 167 
Geary, KS," 1,792 ", 244 
Gove, KS, 25 , 4 
Graham, KS, 75 , 12 
Grant, KS, 166 , 103 
Gray, KS, 152 , 63 
Greeley, KS, 54 , 2 
Greenwood, KS, 109 , 29 
Hamilton, KS, 19 , 22 
Harper, KS, 69 , 34 
Harvey, KS," 1,630 ", 330 
Haskell, KS, 82 , 49 
Hodgeman, KS, 20 , 9 
Jackson, KS, 445 , 119 
Jefferson, KS, 604 , 97 
Jewell, KS, 33 , 52 
Johnson, KS," 27,399 "," 9,653 "
Kearny, KS, 135 , 44 
Kingman, KS, 117 , 67 
Kiowa, KS, 306 , 25 
Labette, KS, 910 , 155 
Lane, KS, 44 , 13 
Leavenworth, KS," 3,297 "," 1,388 "
Lincoln, KS, 110 , 36 
Linn, KS, 106 , 98 
Logan, KS, 68 , 15 
Lyon, KS," 4,596 ", 602 
McPherson, KS," 2,145 ", 334 
Marion, KS, 792 , 67 
Marshall, KS, 156 , 49 
Meade, KS, 118 , 57 
Miami, KS," 1,014 ", 219 
Mitchell, KS, 206 , 27 
Montgomery, KS," 1,821 ", 103 
Morris, KS, 151 , 30 
Morton, KS, 42 , 19 
Nemaha, KS, 201 , 29 
Neosho, KS," 1,792 ", 57 
Ness, KS, 49 , 9 
Norton, KS, 184 , 26 
Osage, KS, 594 , 199 
Osborne, KS, 67 , 44 
Ottawa, KS, 110 , 40 
Pawnee, KS, 229 , 48 
Phillips, KS, 91 , 15 
Pottawatomie, KS, 795 , 167 
Pratt, KS, 650 , 136 
Rawlins, KS, 26 , 10 
Reno, KS," 3,135 ", 349 
Republic, KS, 83 , 49 
Rice, KS, 786 , 53 
Riley, KS," 21,047 "," 2,256 "
Rooks, KS, 114 , 27 
Rush, KS, 75 , 23 
Russell, KS, 230 , 42 
Saline, KS," 2,283 ", 489 
Scott, KS, 27 , 16 
Sedgwick, KS," 25,671 "," 6,848 "
Seward, KS, 720 , 36 
Shawnee, KS," 9,132 "," 1,956 "
Sheridan, KS, 27 , 6 
Sherman, KS, 294 , 16 
Smith, KS, 48 , 3 
Stafford, KS, 60 , 26 
Stanton, KS, 20 , 7 
Stevens, KS, 41 , 25 
Sumner, KS, 859 , 137 
Thomas, KS, 870 , 64 
Trego, KS, 51 , 2 
Wabaunsee, KS, 274 , 96 
Wallace, KS, 2 , 7 
Washington, KS, 127 , 24 
Wichita, KS, 41 , 6 
Wilson, KS, 392 , 39 
Woodson, KS, 50 , 46 
Wyandotte, KS," 5,481 "," 1,381 "
KENTUCKY,," 225,164 "," 43,024 "
Adair, KY," 1,278 ", 38 
Allen, KY, 616 , 52 
Anderson, KY, 841 , 159 
Ballard, KY, 336 , 37 
Barren, KY," 1,204 ", 253 
Bath, KY, 408 , 170 
Bell, KY," 1,108 ", 311 
Boone, KY," 5,548 "," 1,081 "
Bourbon, KY, 626 , 101 
Boyd, KY," 1,874 ", 478 
Boyle, KY," 2,081 ", 141 
Bracken, KY, 268 , 49 
Breathitt, KY, 705 , 6 
Breckinridge, KY, 639 , 65 
Bullitt, KY," 3,088 ", 491 
Butler, KY, 533 , 5 
Caldwell, KY, 569 , 83 
Calloway, KY," 6,347 ", 765 
Campbell, KY," 6,275 "," 1,220 "
Carlisle, KY, 131 , 30 
Carroll, KY, 326 , 10 
Carter, KY," 1,573 ", 262 
Casey, KY, 624 , 52 
Christian, KY," 3,810 ", 368 
Clark, KY, 953 , 341 
Clay, KY, 513 , 67 
Clinton, KY, 520 , 5 
Crittenden, KY, 270 , 46 
Cumberland, KY, 288 , 42 
Daviess, KY," 4,084 ", 581 
Edmonson, KY, 254 , 42 
Elliott, KY, 297 , 22 
Estill, KY, 279 , -   
Fayette, KY," 30,569 "," 7,626 "
Fleming, KY, 581 , 65 
Floyd, KY, 996 , 258 
Franklin, KY," 2,625 ", 342 
Fulton, KY, 118 , 49 
Gallatin, KY, 221 , -   
Garrard, KY, 380 , 39 
Grant, KY," 1,115 ", 161 
Graves, KY," 1,507 ", 237 
Grayson, KY, 763 , 113 
Green, KY, 360 , 89 
Greenup, KY," 1,543 ", 335 
Hancock, KY, 349 , 13 
Hardin, KY," 4,577 ", 682 
Harlan, KY," 1,241 ", 221 
Harrison, KY, 458 , 107 
Hart, KY, 499 , 89 
Henderson, KY," 1,199 ", 258 
Henry, KY, 229 , 142 
Hickman, KY, 147 , 53 
Hopkins, KY," 1,818 ", 312 
Jackson, KY, 552 , 133 
Jefferson, KY," 35,695 "," 10,462 "
Jessamine, KY," 2,676 "," 1,081 "
Johnson, KY, 797 , 66 
Kenton, KY," 8,038 "," 1,849 "
Knott, KY," 1,147 ", 31 
Knox, KY," 1,281 ", 24 
Larue, KY, 489 , 26 
Laurel, KY," 1,966 ", 346 
Lawrence, KY, 586 , 141 
Lee, KY, 239 , -   
Leslie, KY, 346 , -   
Letcher, KY, 816 , 80 
Lewis, KY, 260 , 150 
Lincoln, KY, 640 , 232 
Livingston, KY, 270 , 141 
Logan, KY, 597 , 58 
Lyon, KY, 207 , 16 
McCracken, KY," 2,545 ", 509 
McCreary, KY, 617 , 31 
McLean, KY, 433 , 46 
Madison, KY," 12,992 "," 1,071 "
Magoffin, KY, 543 , 62 
Marion, KY, 622 , 101 
Marshall, KY," 1,173 ", 169 
Martin, KY, 600 , 57 
Mason, KY, 606 , 149 
Meade, KY," 1,251 ", 240 
Menifee, KY, 176 , 43 
Mercer, KY, 613 , 109 
Metcalfe, KY, 354 , 26 
Monroe, KY, 480 , 67 
Montgomery, KY, 755 , 133 
Morgan, KY, 523 , 46 
Muhlenberg, KY," 1,217 ", 125 
Nelson, KY," 1,453 ", 246 
Nicholas, KY, 263 , 8 
Ohio, KY, 625 , 68 
Oldham, KY," 2,340 ", 361 
Owen, KY, 300 , 46 
Owsley, KY, 212 , -   
Pendleton, KY, 497 , 89 
Perry, KY," 1,176 ", 108 
Pike, KY," 2,188 ", 527 
Powell, KY, 340 , 28 
Pulaski, KY," 2,666 ", 406 
Robertson, KY, 102 , -   
Rockcastle, KY, 486 , 68 
Rowan, KY," 3,815 ", 446 
Russell, KY, 470 , 83 
Scott, KY," 3,141 ", 508 
Shelby, KY," 1,617 ", 359 
Simpson, KY, 487 , 64 
Spencer, KY, 462 , 139 
Taylor, KY," 1,438 ", 130 
Todd, KY, 385 , 89 
Trigg, KY, 672 , 44 
Trimble, KY, 419 , 115 
Union, KY, 464 , 86 
Warren, KY," 12,673 "," 1,759 "
Washington, KY, 470 , 35 
Wayne, KY, 553 , 78 
Webster, KY, 482 , 95 
Whitley, KY," 2,133 ", 335 
Wolfe, KY, 375 , 5 
Woodford, KY, 797 , 315 
LOUISIANA,," 237,974 "," 38,325 "
Acadia, LA," 2,138 ", 180 
Allen, LA, 790 , 108 
Ascension, LA," 3,648 ", 683 
Assumption, LA, 487 , 121 
Avoyelles, LA, 964 , 76 
Beauregard, LA, 976 , 179 
Bienville, LA, 551 , 41 
Bossier, LA," 4,335 ", 832 
Caddo, LA," 13,645 "," 2,732 "
Calcasieu, LA," 8,318 "," 1,367 "
Caldwell, LA, 173 , -   
Cameron, LA, 179 , 67 
Catahoula, LA, 201 , 23 
Claiborne, LA, 625 , 38 
Concordia, LA, 660 , 20 
De Soto, LA, 879 , 318 
East Baton Rouge, LA," 45,676 "," 7,137 "
East Carroll, LA, 171 , 34 
East Feliciana, LA, 935 , 55 
Evangeline, LA," 1,119 ", 127 
Franklin, LA, 512 , 71 
Grant, LA, 692 , 107 
Iberia, LA," 2,048 ", 188 
Iberville, LA," 1,225 ", 170 
Jackson, LA, 707 , 53 
Jefferson, LA," 21,625 "," 4,897 "
Jefferson Davis, LA, 745 , 105 
Lafayette, LA," 14,413 "," 2,296 "
Lafourche, LA," 4,253 ", 528 
La Salle, LA, 409 , 18 
Lincoln, LA," 11,291 ", 685 
Livingston, LA," 4,173 ", 624 
Madison, LA, 76 , 10 
Morehouse, LA, 992 , 109 
Natchitoches, LA," 4,393 ", 349 
Orleans, LA," 23,999 "," 4,890 "
Ouachita, LA," 8,831 "," 1,698 "
Plaquemines, LA, 912 , 93 
Pointe Coupee, LA, 587 , 23 
Rapides, LA," 5,264 ", 656 
Red River, LA, 412 , 71 
Richland, LA, 536 , 48 
Sabine, LA, 738 , 123 
St. Bernard, LA," 1,855 ", 207 
St. Charles, LA," 2,596 ", 215 
St. Helena, LA, 231 , 52 
St. James, LA, 877 , 70 
St. John the Baptist, LA," 1,894 ", 203 
St. Landry, LA," 2,454 ", 430 
St. Martin, LA," 1,745 ", 188 
St. Mary, LA," 1,335 ", 246 
St. Tammany, LA," 9,607 "," 1,705 "
Tangipahoa, LA," 6,745 ", 729 
Tensas, LA, 57 , 24 
Terrebonne, LA," 4,259 ", 554 
Union, LA, 778 , 168 
Vermilion, LA," 1,522 ", 165 
Vernon, LA," 1,981 ", 319 
Washington, LA," 1,499 ", 381 
Webster, LA," 1,196 ", 251 
West Baton Rouge, LA, 853 , 310 
West Carroll, LA, 219 , 12 
West Feliciana, LA, 572 , 74 
Winn, LA, 396 , 72 
MAINE,," 69,203 "," 13,799 "
Androscoggin, ME," 6,232 ", 899 
Aroostook, ME," 3,619 ", 427 
Cumberland, ME," 16,991 "," 4,158 "
Franklin, ME," 1,858 ", 261 
Hancock, ME," 2,650 ", 456 
Kennebec, ME," 6,622 ", 869 
Knox, ME," 1,392 ", 231 
Lincoln, ME, 795 , 300 
Oxford, ME," 1,881 ", 586 
Penobscot, ME," 13,026 "," 2,345 "
Piscataquis, ME, 364 , 108 
Sagadahoc, ME," 1,259 ", 301 
Somerset, ME," 1,780 ", 303 
Waldo, ME," 1,575 ", 202 
Washington, ME," 1,252 ", 198 
York, ME," 7,907 "," 2,155 "
MARYLAND,," 339,675 "," 105,258 "
Allegany, MD," 5,810 ", 623 
Anne Arundel, MD," 26,894 "," 9,166 "
Baltimore, MD," 53,022 "," 14,471 "
Calvert, MD," 4,063 "," 1,237 "
Caroline, MD," 1,095 ", 187 
Carroll, MD," 9,194 "," 2,264 "
Cecil, MD," 3,749 "," 1,103 "
Charles, MD," 7,785 "," 2,074 "
Dorchester, MD," 1,428 ", 187 
Frederick, MD," 12,547 "," 3,198 "
Garrett, MD, 668 , 189 
Harford, MD," 11,821 "," 2,883 "
Howard, MD," 15,027 "," 5,915 "
Kent, MD," 1,708 ", 239 
Montgomery, MD," 52,146 "," 21,568 "
Prince George's, MD," 62,574 "," 18,015 "
Queen Anne's, MD," 1,901 ", 414 
St. Mary's, MD," 5,826 "," 1,602 "
Somerset, MD," 3,800 ", 214 
Talbot, MD," 1,091 ", 299 
Washington, MD," 6,446 "," 1,242 "
Wicomico, MD," 8,220 "," 1,165 "
Worcester, MD," 1,662 ", 633 
Baltimore city, MD," 41,198 "," 16,370 "
MASSACHUSETTS,," 412,718 "," 127,259 "
Barnstable, MA," 9,921 "," 2,222 "
Berkshire, MA," 7,609 "," 1,199 "
Bristol, MA," 28,705 "," 5,527 "
Dukes, MA, 249 , 143 
Essex, MA," 38,031 "," 10,180 "
Franklin, MA," 3,982 ", 969 
Hampden, MA," 28,824 "," 4,756 "
Hampshire, MA," 30,374 "," 3,540 "
Middlesex, MA," 92,669 "," 43,577 "
Nantucket, MA, 247 , 239 
Norfolk, MA," 35,727 "," 12,153 "
Plymouth, MA," 23,911 "," 4,639 "
Suffolk, MA," 65,694 "," 26,884 "
Worcester, MA," 46,775 "," 11,231 "
MICHIGAN,," 650,745 "," 125,838 "
Alcona, MI, 255 , 45 
Alger, MI, 210 , 25 
Allegan, MI," 4,617 ", 701 
Alpena, MI," 1,498 ", 182 
Antrim, MI, 713 , 112 
Arenac, MI, 472 , 40 
Baraga, MI, 237 , 43 
Barry, MI," 2,471 ", 442 
Bay, MI," 5,568 "," 1,017 "
Benzie, MI, 554 , 131 
Berrien, MI," 7,196 "," 1,790 "
Branch, MI," 1,847 ", 178 
Calhoun, MI," 7,396 "," 1,004 "
Cass, MI," 1,793 ", 383 
Charlevoix, MI, 521 , 179 
