Area_name,,Renter-occupied housing units 2010 (complete count)
UNITED STATES,,40730218
ALABAMA,,571202
Autauga, AL,4973
Baldwin, AL,20109
Barbour, AL,3264
Bibb, AL,1942
Blount, AL,4194
Bullock, AL,1169
Butler, AL,2524
Calhoun, AL,14779
Chambers, AL,4090
Cherokee, AL,2281
Chilton, AL,3880
Choctaw, AL,1000
Clarke, AL,2341
Clay, AL,1404
Cleburne, AL,1329
Coffee, AL,6455
Colbert, AL,6200
Conecuh, AL,1387
Coosa, AL,948
Covington, AL,4051
Crenshaw, AL,1511
Cullman, AL,7970
Dale, AL,7716
Dallas, AL,6411
DeKalb, AL,6658
Elmore, AL,6419
Escambia, AL,3872
Etowah, AL,11688
Fayette, AL,1829
Franklin, AL,3705
Geneva, AL,2749
Greene, AL,1022
Hale, AL,1437
Henry, AL,1508
Houston, AL,14038
Jackson, AL,5237
Jefferson, AL,92410
Lamar, AL,1634
Lauderdale, AL,11754
Lawrence, AL,2682
Lee, AL,21480
Limestone, AL,7259
Lowndes, AL,939
Macon, AL,3106
Madison, AL,42547
Marengo, AL,2133
Marion, AL,3429
Marshall, AL,10492
Mobile, AL,52356
Monroe, AL,2137
Montgomery, AL,34702
Morgan, AL,13395
Perry, AL,1205
Pickens, AL,1914
Pike, AL,5305
Randolph, AL,2363
Russell, AL,8493
St. Clair, AL,6114
Shelby, AL,14943
Sumter, AL,1731
Talladega, AL,8729
Tallapoosa, AL,4655
Tuscaloosa, AL,30482
Walker, AL,6437
Washington, AL,1040
Wilcox, AL,901
Winston, AL,2345
ALASKA,,95293
Aleutians East, AK,268
Aleutians West, AK,821
Anchorage, AK,43047
Bethel, AK,1949
Bristol Bay, AK,203
Denali, AK,202
Dillingham, AK,629
Fairbanks North Star, AK,15031
Haines, AK,327
Hoonah-Angoon, AK,290
Juneau, AK,4597
Kenai Peninsula, AK,5915
Ketchikan Gateway, AK,2229
Kodiak Island, AK,1982
Lake and Peninsula, AK,202
Matanuska-Susitna, AK,7643
Nome, AK,1294
North Slope, AK,1062
Northwest Arctic, AK,947
Petersburg, AK,502
Prince of Wales-Hyder, AK,676
Sitka, AK,1495
Skagway, AK,195
Southeast Fairbanks, AK,838
Valdez-Cordova, AK,1347
Wade Hampton, AK,498
Wrangell, AK,354
Yakutat, AK,117
Yukon-Koyukuk, AK,633
ARIZONA,,809303
Apache, AZ,5647
Cochise, AZ,16154
Coconino, AZ,18268
Gila, AZ,5241
Graham, AZ,3031
Greenlee, AZ,1595
La Paz, AZ,2126
Maricopa, AZ,501263
Mohave, AZ,24811
Navajo, AZ,10006
Pima, AZ,139690
Pinal, AZ,29961
Santa Cruz, AZ,5009
Yavapai, AZ,26537
Yuma, AZ,19964
ARKANSAS,,378928
Arkansas, AR,2775
Ashley, AR,2404
Baxter, AR,4420
Benton, AR,26108
Boone, AR,4079
Bradley, AR,1393
Calhoun, AR,503
Carroll, AR,3269
Chicot, AR,1625
Clark, AR,3141
Clay, AR,1884
Cleburne, AR,2563
Cleveland, AR,707
Columbia, AR,3249
Conway, AR,2136
Craighead, AR,14668
Crawford, AR,6196
Crittenden, AR,8021
Cross, AR,2247
Dallas, AR,1009
Desha, AR,2150
Drew, AR,2548
Faulkner, AR,15270
Franklin, AR,1630
Fulton, AR,1023
Garland, AR,12556
Grant, AR,1549
Greene, AR,5209
Hempstead, AR,2913
Hot Spring, AR,3029
Howard, AR,1599
Independence, AR,4111
Izard, AR,1148
Jackson, AR,2228
Jefferson, AR,10446
Johnson, AR,2819
Lafayette, AR,775
Lawrence, AR,2130
Lee, AR,1410
Lincoln, AR,1056
Little River, AR,1414
Logan, AR,2157
Lonoke, AR,6644
Madison, AR,1320
Marion, AR,1485
Miller, AR,6277
Mississippi, AR,7482
Monroe, AR,1296
Montgomery, AR,778
Nevada, AR,1037
Newton, AR,674
Ouachita, AR,3521
Perry, AR,850
Phillips, AR,3801
Pike, AR,1116
Poinsett, AR,3411
Polk, AR,1930
Pope, AR,7359
Prairie, AR,954
Pulaski, AR,63946
Randolph, AR,1950
St. Francis, AR,4003
Saline, AR,9196
Scott, AR,1133
Searcy, AR,845
Sebastian, AR,18883
Sevier, AR,1727
Sharp, AR,1578
Stone, AR,1183
Union, AR,4842
Van Buren, AR,1644
Washington, AR,33625
White, AR,9271
Woodruff, AR,1140
Yell, AR,2460
CALIFORNIA,,5542127
Alameda, CA,253896
Alpine, CA,140
Amador, CA,3686
Butte, CA,36627
Calaveras, CA,4366
Colusa, CA,2738
Contra Costa, CA,123460
Del Norte, CA,3793
El Dorado, CA,18832
Fresno, CA,130700
Glenn, CA,3700
Humboldt, CA,25211
Imperial, CA,21661
Inyo, CA,2928
Kern, CA,101782
Kings, CA,18904
Lake, CA,9076
Lassen, CA,3468
Los Angeles, CA,1696455
Madera, CA,15591
Marin, CA,38573
Mariposa, CA,2466
Mendocino, CA,14344
Merced, CA,34446
Modoc, CA,1278
Mono, CA,2540
Monterey, CA,61869
Napa, CA,18279
Nevada, CA,11637
Orange, CA,404468
Placer, CA,38404
Plumas, CA,2742
Riverside, CA,224048
Sacramento, CA,218463
San Benito, CA,5878
San Bernardino, CA,228045
San Diego, CA,495840
San Francisco, CA,222165
San Joaquin, CA,87737
San Luis Obispo, CA,41096
San Mateo, CA,104727
Santa Barbara, CA,67277
Santa Clara, CA,255906
Santa Cruz, CA,40126
Shasta, CA,25069
Sierra, CA,417
Siskiyou, CA,6876
Solano, CA,52110
Sonoma, CA,73545
Stanislaus, CA,65816
Sutter, CA,12225
Tehama, CA,8404
Trinity, CA,1799
Tulare, CA,53766
Tuolumne, CA,6685
Ventura, CA,92752
Yolo, CA,33456
Yuba, CA,9839
COLORADO,,679768
Adams, CO,52723
Alamosa, CO,2348
Arapahoe, CO,80491
Archuleta, CO,1320
Baca, CO,458
Bent, CO,608
Boulder, CO,44307
Broomfield, CO,5917
Chaffee, CO,2092
Cheyenne, CO,188
Clear Creek, CO,981
Conejos, CO,710
Costilla, CO,355
Crowley, CO,376
Custer, CO,363
Delta, CO,3134
Denver, CO,131578
Dolores, CO,172
Douglas, CO,19788
Eagle, CO,6893
Elbert, CO,998
El Paso, CO,83666
Fremont, CO,4161
Garfield, CO,6942
Gilpin, CO,566
Grand, CO,2012
Gunnison, CO,2616
Hinsdale, CO,111
Huerfano, CO,899
Jackson, CO,219
Jefferson, CO,64019
Kiowa, CO,190
Kit Carson, CO,878
Lake, CO,976
La Plata, CO,6988
Larimer, CO,41554
Las Animas, CO,1911
Lincoln, CO,651
Logan, CO,2587
Mesa, CO,16589
Mineral, CO,61
Moffat, CO,1662
Montezuma, CO,2912
Montrose, CO,4559
Morgan, CO,3603
Otero, CO,2710
Ouray, CO,524
Park, CO,1105
Phillips, CO,513
Pitkin, CO,3248
Prowers, CO,1656
Pueblo, CO,20724
Rio Blanco, CO,772
Rio Grande, CO,1561
Routt, CO,2978
Saguache, CO,819
San Juan, CO,134
San Miguel, CO,1493
Sedgwick, CO,320
Summit, CO,4182
Teller, CO,1865
Washington, CO,549
Weld, CO,27219
Yuma, CO,1264
CONNECTICUT,,445801
Fairfield, CT,105378
Hartford, CT,120934
Litchfield, CT,18185
Middlesex, CT,17226
New Haven, CT,122333
New London, CT,34539
Tolland, CT,13471
Windham, CT,13735
DELAWARE,,95573
Kent, DE,17232
New Castle, DE,61326
Sussex, DE,17015
DISTRICT OF COLUMBIA,,154652
District of Columbia,,154652
FLORIDA,,2421823
Alachua, FL,45748
Baker, FL,1959
Bay, FL,25231
Bradford, FL,2244
Brevard, FL,60851
Broward, FL,229315
Calhoun, FL,1174
Charlotte, FL,14895
Citrus, FL,11204
Clay, FL,16225
Collier, FL,37020
Columbia, FL,6728
DeSoto, FL,3208
Dixie, FL,1123
Duval, FL,131373
Escambia, FL,40820
Flagler, FL,9166
Franklin, FL,1090
Gadsden, FL,4515
Gilchrist, FL,990
Glades, FL,1009
Gulf, FL,1347
Hamilton, FL,1183
Hardee, FL,2512
Hendry, FL,3701
Hernando, FL,13971
Highlands, FL,9774
Hillsborough, FL,185211
Holmes, FL,1644
Indian River, FL,15150
Jackson, FL,4537
Jefferson, FL,1280
Lafayette, FL,625
Lake, FL,28487
Lee, FL,75341
Leon, FL,50552
Levy, FL,3249
Liberty, FL,616
Madison, FL,1798
Manatee, FL,38911
Marion, FL,32651
Martin, FL,14703
Miami-Dade, FL,383478
Monroe, FL,14128
Nassau, FL,6345
Okaloosa, FL,25284
Okeechobee, FL,3829
Orange, FL,177897
Osceola, FL,32062
Palm Beach, FL,155734
Pasco, FL,43373
Pinellas, FL,135418
Polk, FL,67043
Putnam, FL,7076
St. Johns, FL,17476
St. Lucie, FL,27757
Santa Rosa, FL,13457
Sarasota, FL,43987
Seminole, FL,55207
Sumter, FL,4276
Suwannee, FL,3950
Taylor, FL,1861
Union, FL,1163
Volusia, FL,57793
Wakulla, FL,2021
Walton, FL,6107
Washington, FL,1970
GEORGIA,,1231182
Appling, GA,1858
Atkinson, GA,932
Bacon, GA,1241
Baker, GA,399
Baldwin, GA,6849
Banks, GA,1561
Barrow, GA,5476
Bartow, GA,11026
Ben Hill, GA,2583
Berrien, GA,2164
Bibb, GA,26758
Bleckley, GA,1403
Brantley, GA,1337
Brooks, GA,1856
Bryan, GA,2681
Bulloch, GA,12053
Burke, GA,2593
Butts, GA,2108
Calhoun, GA,693
Camden, GA,6237
Candler, GA,1360
Carroll, GA,12926
Catoosa, GA,6604
Charlton, GA,972
Chatham, GA,43572
Chattahoochee, GA,1782
Chattooga, GA,2814
Cherokee, GA,15536
Clarke, GA,26248
Clay, GA,373
Clayton, GA,38903
Clinch, GA,758
Cobb, GA,86091
Coffee, GA,4622
Colquitt, GA,5998
Columbia, GA,9423
Cook, GA,1994
Coweta, GA,11607
Crawford, GA,964
Crisp, GA,3806
Dade, GA,1556
Dawson, GA,1659
Decatur, GA,3541
DeKalb, GA,117162
Dodge, GA,2506
Dooly, GA,1596
Dougherty, GA,18941
Douglas, GA,14053
Early, GA,1329
Echols, GA,426
Effingham, GA,4125
Elbert, GA,2336
Emanuel, GA,2898
Evans, GA,1396
Fannin, GA,2231
Fayette, GA,6541
Floyd, GA,13195
Forsyth, GA,8557
Franklin, GA,2322
Fulton, GA,174115
Gilmer, GA,2659
Glascock, GA,317
Glynn, GA,11597
Gordon, GA,6518
Grady, GA,3106
Greene, GA,1694
Gwinnett, GA,79352
Habersham, GA,3876
Hall, GA,18612
Hancock, GA,825
Haralson, GA,3189
Harris, GA,1676
Hart, GA,2508
Heard, GA,1154
Henry, GA,16116
Houston, GA,17687
Irwin, GA,930
Jackson, GA,4914
Jasper, GA,1117
Jeff Davis, GA,1719
Jefferson, GA,1967
Jenkins, GA,1017
Johnson, GA,865
Jones, GA,2056
Lamar, GA,2103
Lanier, GA,1141
Laurens, GA,6323
Lee, GA,2297
Liberty, GA,10137
Lincoln, GA,796
Long, GA,1769
Lowndes, GA,17299
Lumpkin, GA,3261
McDuffie, GA,2638
McIntosh, GA,1287
Macon, GA,1713
Madison, GA,2386
Marion, GA,903
Meriwether, GA,2485
Miller, GA,729
Mitchell, GA,2634
Monroe, GA,2168
Montgomery, GA,918
Morgan, GA,1535
Murray, GA,4111
Muscogee, GA,35497
Newton, GA,8554
Oconee, GA,2204
Oglethorpe, GA,1136
Paulding, GA,8526
Peach, GA,3362
Pickens, GA,2469
Pierce, GA,1680
Pike, GA,1110
Polk, GA,5064
Pulaski, GA,1253
Putnam, GA,2163
Quitman, GA,227
Rabun, GA,1679
Randolph, GA,1054
Richmond, GA,35242
Rockdale, GA,8893
Schley, GA,510
Screven, GA,1505
Seminole, GA,824
Spalding, GA,9203
Stephens, GA,3107
Stewart, GA,521
Sumter, GA,5196
Talbot, GA,581
Taliaferro, GA,198
Tattnall, GA,2635
Taylor, GA,1037
Telfair, GA,1607
Terrell, GA,1260
Thomas, GA,6248
Tift, GA,5753
Toombs, GA,3872
Towns, GA,897
Treutlen, GA,732
Troup, GA,9721
Turner, GA,1132
Twiggs, GA,707
Union, GA,1848
Upson, GA,3560
Walker, GA,6887
Walton, GA,7253
Ware, GA,4789
Warren, GA,659
Washington, GA,2226
Wayne, GA,3175
Webster, GA,235
Wheeler, GA,568
White, GA,2711
Whitfield, GA,12087
Wilcox, GA,699
Wilkes, GA,1302
Wilkinson, GA,710
Worth, GA,2364
HAWAII,,192656
Hawaii, HI,22825
Honolulu, HI,136660
Kalawao, HI,68
Kauai, HI,9272
Maui, HI,23831
IDAHO,,174505
Ada, ID,46806
Adams, ID,362
Bannock, ID,9865
Bear Lake, ID,426
Benewah, ID,895
Bingham, ID,3436
Blaine, ID,2884
Boise, ID,506
Bonner, ID,4343
Bonneville, ID,10293
Boundary, ID,1028
Butte, ID,264
Camas, ID,113
Canyon, ID,18758
Caribou, ID,539
Cassia, ID,2339
Clark, ID,128
Clearwater, ID,852
Custer, ID,465
Elmore, ID,3955
Franklin, ID,845
Fremont, ID,851
Gem, ID,1564
Gooding, ID,1877
Idaho, ID,1605
Jefferson, ID,1372
Jerome, ID,2538
Kootenai, ID,15847
Latah, ID,6443
Lemhi, ID,926
Lewis, ID,487
Lincoln, ID,490
Madison, ID,5492
Minidoka, ID,1837
Nez Perce, ID,5157
Oneida, ID,285
Owyhee, ID,1220
Payette, ID,2273
Power, ID,679
Shoshone, ID,1588
Teton, ID,1062
Twin Falls, ID,9637
Valley, ID,1088
Washington, ID,1085
ILLINOIS,,1573333
Adams, IL,7618
Alexander, IL,1039
Bond, IL,1461
Boone, IL,3593
Brown, IL,488
Bureau, IL,3417
Calhoun, IL,404
Carroll, IL,1459
Cass, IL,1444
Champaign, IL,37246
Christian, IL,3505
Clark, IL,1622
Clay, IL,1268
Clinton, IL,2928
Coles, IL,8599
Cook, IL,822499
Crawford, IL,1649
Cumberland, IL,788
DeKalb, IL,14937
De Witt, IL,1572
Douglas, IL,1802
DuPage, IL,85297
Edgar, IL,2043
Edwards, IL,537
Effingham, IL,3126
Fayette, IL,1840
Ford, IL,1383
Franklin, IL,4178
Fulton, IL,3454
Gallatin, IL,522
Greene, IL,1311
Grundy, IL,4616
Hamilton, IL,717
Hancock, IL,1702
Hardin, IL,375
Henderson, IL,619
Henry, IL,4387
Iroquois, IL,2916
Jackson, IL,12677
Jasper, IL,634
Jefferson, IL,4173
Jersey, IL,1967
Jo Daviess, IL,2013
Johnson, IL,828
Kane, IL,39909
Kankakee, IL,12913
Kendall, IL,5468
Knox, IL,6532
Lake, IL,56499
LaSalle, IL,11574
Lawrence, IL,1579
Lee, IL,3545
Livingston, IL,3612
Logan, IL,3074
McDonough, IL,5425
McHenry, IL,18477
McLean, IL,21746
Macon, IL,13770
Macoupin, IL,4399
Madison, IL,29635
Marion, IL,4173
Marshall, IL,984
Mason, IL,1351
Massac, IL,1599
Menard, IL,1051
Mercer, IL,1314
Monroe, IL,2309
Montgomery, IL,2547
Morgan, IL,4182
Moultrie, IL,1317
Ogle, IL,4934
Peoria, IL,25278
Perry, IL,1919
Piatt, IL,1285
Pike, IL,1531
Pope, IL,354
Pulaski, IL,642
Putnam, IL,427
Randolph, IL,2986
Richland, IL,1840
Rock Island, IL,18885
St. Clair, IL,35399
Saline, IL,2819
Sangamon, IL,24635
Schuyler, IL,632
Scott, IL,500
Shelby, IL,1761
Stark, IL,488
Stephenson, IL,5573
Tazewell, IL,12797
Union, IL,1716
Vermilion, IL,9825
Wabash, IL,1290
Warren, IL,1829
Washington, IL,1146
Wayne, IL,1499
White, IL,1492
Whiteside, IL,6048
Will, IL,37831
Williamson, IL,7818
Winnebago, IL,36156
Woodford, IL,2361
INDIANA,,754179
Adams, IN,2814
Allen, IN,42060
Bartholomew, IN,8473
Benton, IN,884
Blackford, IN,1307
Boone, IN,4593
Brown, IN,1004
Carroll, IN,1612
Cass, IN,3858
Clark, IN,13219
Clay, IN,2549
Clinton, IN,3394
Crawford, IN,750
Daviess, IN,2876
Dearborn, IN,4036
Decatur, IN,2946
DeKalb, IN,3400
Delaware, IN,16598
Dubois, IN,3723
Elkhart, IN,21051
Fayette, IN,2899
Floyd, IN,8463
Fountain, IN,1628
Franklin, IN,1686
Fulton, IN,1983
Gibson, IN,3089
Grant, IN,8183
Greene, IN,2939
Hamilton, IN,19903
Hancock, IN,5428
Harrison, IN,2776
Hendricks, IN,10218
Henry, IN,5022
Howard, IN,10124
Huntington, IN,3235
Jackson, IN,4426
Jasper, IN,2828
Jay, IN,1930
Jefferson, IN,3441
Jennings, IN,2485
Johnson, IN,13673
Knox, IN,5074
Kosciusko, IN,6871
LaGrange, IN,2214
Lake, IN,57697
LaPorte, IN,11158
Lawrence, IN,4447
Madison, IN,15103
Marion, IN,159195
Marshall, IN,4123
Martin, IN,822
Miami, IN,3487
Monroe, IN,26010
Montgomery, IN,4088
Morgan, IN,5743
Newton, IN,1041
Noble, IN,3888
Ohio, IN,611
Orange, IN,1970
Owen, IN,1705
Parke, IN,1299
Perry, IN,1763
Pike, IN,912
Porter, IN,14721
Posey, IN,1840
Pulaski, IN,1115
Putnam, IN,3062
Randolph, IN,2800
Ripley, IN,2585
Rush, IN,1817
St. Joseph, IN,31615
Scott, IN,2680
Shelby, IN,4926
Spencer, IN,1473
Starke, IN,1864
Steuben, IN,3163
Sullivan, IN,1806
Switzerland, IN,982
Tippecanoe, IN,29517
Tipton, IN,1311
Union, IN,807
Vanderburgh, IN,26430
Vermillion, IN,1518
Vigo, IN,14987
Wabash, IN,3243
Warren, IN,657
Warrick, IN,4257
Washington, IN,2358
Wayne, IN,9025
Wells, IN,2281
White, IN,2310
Whitley, IN,2302
IOWA,,340941
Adair, IA,772
Adams, IA,385
Allamakee, IA,1306
Appanoose, IA,1591
Audubon, IA,487
Benton, IA,1979
Black Hawk, IA,16821
Boone, IA,2661
Bremer, IA,1909
Buchanan, IA,1720
Buena Vista, IA,2246
Butler, IA,1126
Calhoun, IA,854
Carroll, IA,2197
Cass, IA,1649
Cedar, IA,1608
Cerro Gordo, IA,5595
Cherokee, IA,1260
Chickasaw, IA,988
Clarke, IA,1062
Clay, IA,2138
Clayton, IA,1780
Clinton, IA,5528
Crawford, IA,1725
Dallas, IA,5456
Davis, IA,638
Decatur, IA,952
Delaware, IA,1428
Des Moines, IA,4658
Dickinson, IA,1671
Dubuque, IA,9846
Emmet, IA,1022
Fayette, IA,2180
Floyd, IA,1769
Franklin, IA,1026
Fremont, IA,773
Greene, IA,990
Grundy, IA,918
Guthrie, IA,863
Hamilton, IA,1722
Hancock, IA,961
Hardin, IA,1778
Harrison, IA,1356
Henry, IA,2021
Howard, IA,801
Humboldt, IA,1029
Ida, IA,770
Iowa, IA,1460
Jackson, IA,1990
Jasper, IA,3704
Jefferson, IA,2273
Johnson, IA,21416
Jones, IA,1927
Keokuk, IA,866
Kossuth, IA,1411
Lee, IA,3781
Linn, IA,23538
Louisa, IA,930
Lucas, IA,794
Lyon, IA,773
Madison, IA,1321
Mahaska, IA,2591
Marion, IA,3149
Marshall, IA,4145
Mills, IA,1138
Mitchell, IA,871
Monona, IA,1036
Monroe, IA,739
Montgomery, IA,1275
Muscatine, IA,4154
O'Brien, IA,1475
Osceola, IA,574
Page, IA,1805
Palo Alto, IA,1038
Plymouth, IA,2176
Pocahontas, IA,643
Polk, IA,52666
Pottawattamie, IA,11646
Poweshiek, IA,2101
Ringgold, IA,474
Sac, IA,962
Scott, IA,20112
Shelby, IA,1137
Sioux, IA,2276
Story, IA,15615
Tama, IA,1467
Taylor, IA,616
Union, IA,1535
Van Buren, IA,583
Wapello, IA,3958
Warren, IA,3486
Washington, IA,2202
Wayne, IA,546
Webster, IA,4480
Winnebago, IA,1126
Winneshiek, IA,1910
Woodbury, IA,12903
Worth, IA,641
Wright, IA,1491
KANSAS,,358564
Allen, KS,1517
Anderson, KS,751
Atchison, KS,1866
Barber, KS,535
Barton, KS,3312
Bourbon, KS,1742
Brown, KS,1177
Butler, KS,5638
Chase, KS,259
Chautauqua, KS,366
Cherokee, KS,2278
Cheyenne, KS,289
Clark, KS,253
Clay, KS,881
Cloud, KS,1085
Coffey, KS,813
Comanche, KS,190
Cowley, KS,4400
Crawford, KS,6064
Decatur, KS,311
Dickinson, KS,2225
Doniphan, KS,826
Douglas, KS,20584
Edwards, KS,307
Elk, KS,259
Ellis, KS,4539
Ellsworth, KS,527
Finney, KS,4465
Ford, KS,3997
Franklin, KS,2920
Geary, KS,6746
Gove, KS,248
Graham, KS,266
Grant, KS,699
Gray, KS,583
Greeley, KS,131
Greenwood, KS,763
Hamilton, KS,317
Harper, KS,671
Harvey, KS,3931
Haskell, KS,421
Hodgeman, KS,173
Jackson, KS,1170
Jefferson, KS,1172
Jewell, KS,298
Johnson, KS,62160
Kearny, KS,373
Kingman, KS,718
Kiowa, KS,307
Labette, KS,2628
Lane, KS,198
Leavenworth, KS,8540
Lincoln, KS,299
Linn, KS,799
Logan, KS,350
Lyon, KS,5026
McPherson, KS,3114
Marion, KS,1060
Marshall, KS,950
Meade, KS,464
Miami, KS,2621
Mitchell, KS,799
Montgomery, KS,4302
Morris, KS,576
Morton, KS,385
Nemaha, KS,889
Neosho, KS,1827
Ness, KS,267
Norton, KS,561
Osage, KS,1401
Osborne, KS,407
Ottawa, KS,459
Pawnee, KS,819
Phillips, KS,584
Pottawatomie, KS,1676
Pratt, KS,1111
Rawlins, KS,297
Reno, KS,8030
Republic, KS,498
Rice, KS,954
Riley, KS,15003
Rooks, KS,498
Rush, KS,316
Russell, KS,827
Saline, KS,7383
Scott, KS,551
Sedgwick, KS,66967
Seward, KS,2653
Shawnee, KS,24885
Sheridan, KS,231
Sherman, KS,842
Smith, KS,368
Stafford, KS,413
Stanton, KS,220
Stevens, KS,535
Sumner, KS,2320
Thomas, KS,1034
Trego, KS,300
Wabaunsee, KS,451
Wallace, KS,160
Washington, KS,525
Wichita, KS,212
Wilson, KS,953
Woodson, KS,335
Wyandotte, KS,23168
KENTUCKY,,538694
Adair, KY,1860
Allen, KY,1898
Anderson, KY,2067
Ballard, KY,727
Barren, KY,5449
Bath, KY,1110
Bell, KY,4061
Boone, KY,11049
Bourbon, KY,2904
Boyd, KY,5866
Boyle, KY,3545
Bracken, KY,848
Breathitt, KY,1255
Breckinridge, KY,1621
Bullitt, KY,5307
Butler, KY,1261
Caldwell, KY,1330
Calloway, KY,5815
Campbell, KY,11380
Carlisle, KY,386
Carroll, KY,1521
Carter, KY,2335
Casey, KY,1415
Christian, KY,12195
Clark, KY,4604
Clay, KY,2079
Clinton, KY,1194
Crittenden, KY,820
Cumberland, KY,725
Daviess, KY,12229
Edmonson, KY,866
Elliott, KY,604
Estill, KY,1748
Fayette, KY,54225
Fleming, KY,1304
Floyd, KY,4268
Franklin, KY,7271
Fulton, KY,1075
Gallatin, KY,875
Garrard, KY,1490
Grant, KY,2449
Graves, KY,3923
Grayson, KY,2455
Green, KY,1107
Greenup, KY,3072
Hancock, KY,636
Hardin, KY,14585
Harlan, KY,3368
Harrison, KY,2170
Hart, KY,1744
Henderson, KY,6462
Henry, KY,1508
Hickman, KY,414
Hopkins, KY,5536
Jackson, KY,1315
Jefferson, KY,114178
Jessamine, KY,5835
