Areaname,,"Resident population: White alone, percent (July 1 - estimate) 2009","Resident population: Black alone, percent (July 1 - estimate) 2009","Resident population: Asian alone, percent (July 1 - estimate) 2009"
Cumberland, IL,98.4,0.6,0.2
DeKalb, IL,89.3,6.4,2.7
De Witt, IL,97.3,1.1,0.5
Douglas, IL,97.5,0.9,0.6
DuPage, IL,83.5,4.8,10.1
Edgar, IL,96.7,2.1,0.4
Edwards, IL,98.7,0.2,0.4
Effingham, IL,98.3,0.5,0.4
Fayette, IL,95.2,3.8,0.2
Ford, IL,97.5,1,0.6
Franklin, IL,97.9,0.8,0.3
Fulton, IL,94.7,4,0.3
Gallatin, IL,97.9,0.5,0.1
Greene, IL,98.1,0.6,0.1
Grundy, IL,96,2.2,0.8
Hamilton, IL,97.8,1.1,0.2
Hancock, IL,98.1,0.7,0.3
Hardin, IL,95.6,2.9,0.5
Henderson, IL,98.3,0.4,0.1
Henry, IL,96.8,1.6,0.4
Iroquois, IL,97,1.3,0.5
Jackson, IL,80.5,13.6,3.5
Jasper, IL,98.9,0.4,0.2
Jefferson, IL,89,8.8,0.6
Jersey, IL,97.5,1.2,0.3
Jo Daviess, IL,98.1,0.7,0.2
Johnson, IL,82.9,15.9,0.1
Kane, IL,89.3,5.7,3.3
Kankakee, IL,82.5,15,0.9
Kendall, IL,89.6,6.2,2.8
Knox, IL,89.9,7.3,0.9
Lake, IL,85,7.1,6
LaSalle, IL,96.2,1.8,0.8
Lawrence, IL,89.9,9,0.2
Lee, IL,93.6,4.4,0.9
Livingston, IL,93.1,5.3,0.4
Logan, IL,90.9,7.3,0.8
McDonough, IL,90.7,5,3
McHenry, IL,94.8,1.3,2.7
McLean, IL,87.8,7.4,3.1
Macon, IL,81.9,15,1
Macoupin, IL,97.5,1.1,0.3
Madison, IL,89.3,8.4,0.7
Marion, IL,93.6,3.9,0.7
Marshall, IL,97.6,1.1,0.3
Mason, IL,98.1,0.5,0.3
Massac, IL,91.8,6.2,0.3
Menard, IL,98,1.1,0.2
Mercer, IL,98,0.8,0.3
Monroe, IL,98,0.9,0.4
Montgomery, IL,94.6,4.2,0.3
Morgan, IL,92.1,5.7,0.7
Moultrie, IL,98,0.8,0.3
Ogle, IL,97.1,1.3,0.5
Peoria, IL,77.7,17.4,2.7
Perry, IL,89.6,8.7,0.3
Piatt, IL,97.7,1,0.4
Pike, IL,97.2,1.6,0.3
Pope, IL,92.6,4.5,0.3
Pulaski, IL,67,30.3,1.1
Putnam, IL,97.9,0.8,0.3
Randolph, IL,89.1,9.4,0.3
Richland, IL,97.6,0.7,0.6
Rock Island, IL,87.7,8.2,2
St. Clair, IL,67.3,29.6,1.2
Saline, IL,93.5,4.7,0.3
Sangamon, IL,85.7,11.1,1.4
Schuyler, IL,97.6,1.4,0.2
Scott, IL,99.2,0.2,0.1
Shelby, IL,98.3,0.7,0.3
Stark, IL,98.4,0.3,0.2
Stephenson, IL,88.6,8.3,0.8
Tazewell, IL,96.8,1.4,0.7
Union, IL,96.8,1.4,0.4
Vermilion, IL,85.5,12.1,0.7
Wabash, IL,97.4,0.7,0.6
Warren, IL,95.5,2.3,0.6
Washington, IL,97.7,1,0.2
Wayne, IL,97.8,0.8,0.5
White, IL,97.6,0.8,0.2
Whiteside, IL,96.5,1.6,0.5
Will, IL,83,11.2,4
Williamson, IL,94.3,3.5,0.7
Winnebago, IL,84.2,11.6,2.1
Woodford, IL,97.6,1.1,0.5
INDIANA,,87.8,9.2,1.5
Adams, IN,98.5,0.4,0.2
Allen, IN,83.7,11.9,2.1
Bartholomew, IN,93.2,2.2,3.5
Benton, IN,97.1,1,0.1
Blackford, IN,97.8,0.6,0.2
Boone, IN,95.9,1.6,1.5
Brown, IN,97.7,0.9,0.2
Carroll, IN,98.7,0.5,0.1
Cass, IN,95.8,1.7,0.9
Clark, IN,90,7.4,0.9
Clay, IN,97.6,0.9,0.4
Clinton, IN,98.2,0.8,0.3
Crawford, IN,98.3,0.5,0.2
Daviess, IN,98,0.7,0.4
Dearborn, IN,97.6,1,0.4
Decatur, IN,97,0.5,1.8
DeKalb, IN,97.9,0.6,0.5
Delaware, IN,90.1,7.2,1
Dubois, IN,98.4,0.3,0.4
Elkhart, IN,91.1,5.5,1.4
Fayette, IN,96.8,1.8,0.3
Floyd, IN,92.1,5.5,0.8
Fountain, IN,98.1,0.6,0.4
Franklin, IN,98.3,0.4,0.4
Fulton, IN,97,1,0.5
Gibson, IN,96,2.2,0.6
Grant, IN,89.9,7.1,0.8
Greene, IN,98.1,0.4,0.3
Hamilton, IN,90.4,4,4.2
Hancock, IN,95.5,2.8,0.8
Harrison, IN,97.8,0.9,0.3
Hendricks, IN,92.3,4.7,1.8
Henry, IN,97.6,1.3,0.2
Howard, IN,89.9,6.7,1.3
Huntington, IN,97.8,0.5,0.6
Jackson, IN,97.1,0.7,1.1
Jasper, IN,98,0.9,0.3
Jay, IN,97.8,0.5,0.7
Jefferson, IN,96,1.8,0.7
Jennings, IN,97.4,1,0.4
Johnson, IN,95.5,1.7,1.8
Knox, IN,95.7,2.1,1
Kosciusko, IN,97.2,0.8,0.8
LaGrange, IN,98.3,0.3,0.5
Lake, IN,70.7,26.2,1.3
LaPorte, IN,87,10.6,0.5
Lawrence, IN,97.6,0.6,0.5
Madison, IN,89.6,8.4,0.5
Marion, IN,70.2,25.9,1.7
Marshall, IN,97.5,0.7,0.5
Martin, IN,98.4,0.6,0.2
Miami, IN,91.8,4.9,0.4
Monroe, IN,90.1,3.5,4.5
Montgomery, IN,97.3,1.1,0.5
Morgan, IN,97.7,0.8,0.6
Newton, IN,97.4,0.7,0.4
Noble, IN,97.8,0.6,0.5
Ohio, IN,98.1,1.1,0.1
Orange, IN,97.4,1,0.2
Owen, IN,97.8,0.6,0.3
Parke, IN,94.7,3.8,0.2
Perry, IN,96.3,2.7,0.2
Pike, IN,98.6,0.5,0.2
Porter, IN,94.1,3.3,1.2
Posey, IN,97.5,1.2,0.3
Pulaski, IN,97.4,1.4,0.2
Putnam, IN,94.1,3.6,0.9
Randolph, IN,97.9,0.6,0.3
Ripley, IN,98.2,0.4,0.5
Rush, IN,97.3,0.9,0.7
St. Joseph, IN,83.6,12.3,1.8
Scott, IN,98.5,0.5,0.2
Shelby, IN,96.7,1.1,1.1
Spencer, IN,97.8,1.1,0.2
Starke, IN,97.7,0.6,0.4
Steuben, IN,97.7,0.6,0.5
Sullivan, IN,93.8,4.8,0.2
Switzerland, IN,98.6,0.6,0.1
Tippecanoe, IN,89.3,3.8,5.3
Tipton, IN,98.1,0.5,0.4
Union, IN,98.1,0.7,0.2
Vanderburgh, IN,88.6,8.6,1.1
Vermillion, IN,97.7,1,0.1
Vigo, IN,89.4,7,1.6
Wabash, IN,97.3,0.6,0.5
Warren, IN,98.6,0.4,0.2
Warrick, IN,96.1,1.7,1.3
Washington, IN,98.4,0.5,0.3
Wayne, IN,92.3,5.1,0.6
Wells, IN,98.3,0.4,0.3
White, IN,97.7,0.5,0.3
Whitley, IN,97.9,0.5,0.5
IOWA,,93.9,2.8,1.7
Adair, IA,98.6,0.2,0.6
Adams, IA,98.8,0.1,0.2
Allamakee, IA,98.3,0.3,0.3
Appanoose, IA,97.8,0.6,0.5
Audubon, IA,98.7,0.2,0.4
Benton, IA,98.4,0.5,0.2
Black Hawk, IA,88.5,8.4,1.3
Boone, IA,98.1,0.7,0.4
Bremer, IA,97.9,0.7,0.6
Buchanan, IA,98.1,0.4,0.6
Buena Vista, IA,91.8,2.3,4.6
Butler, IA,98.8,0.1,0.2
Calhoun, IA,97.8,1.1,0.2
Carroll, IA,98.6,0.3,0.5
Cass, IA,98.6,0.3,0.3
Cedar, IA,98.2,0.5,0.4
Cerro Gordo, IA,96.6,1.2,0.9
Cherokee, IA,98.1,0.5,0.5
Chickasaw, IA,98.4,0.1,0.6
Clarke, IA,98.1,0.2,0.5
Clay, IA,97.8,0.3,1.1
Clayton, IA,98.7,0.3,0.2
Clinton, IA,94.7,2.8,0.9
Crawford, IA,96.7,1.2,0.5
Dallas, IA,95.7,1.3,1.9
Davis, IA,98.4,0.2,0.2
Decatur, IA,96,1.2,1
Delaware, IA,99.1,0.1,0.2
Des Moines, IA,92.9,4.4,0.9
Dickinson, IA,98.7,0.2,0.3
Dubuque, IA,96.2,1.8,0.8
Emmet, IA,97.8,0.4,0.5
Fayette, IA,97.6,0.9,0.6
Floyd, IA,97,1,1
Franklin, IA,97.7,0.3,1.3
Fremont, IA,98.2,0.4,0.3
Greene, IA,98.6,0.2,0.3
Grundy, IA,98.8,0.2,0.3
Guthrie, IA,98.6,0.3,0.2
Hamilton, IA,96.3,0.4,2.1
Hancock, IA,98.5,0.2,0.6
Hardin, IA,97.8,0.9,0.5
Harrison, IA,98.5,0.1,0.3
Henry, IA,94,2,2.5
Howard, IA,99,0.2,0.2
Humboldt, IA,98.1,0.8,0.3
Ida, IA,98.7,0.1,0.3
Iowa, IA,98.7,0.3,0.4
Jackson, IA,98.6,0.3,0.1
Jasper, IA,97.1,1.1,0.7
Jefferson, IA,95.5,1,2.4
Johnson, IA,89.5,4.2,4.6
Jones, IA,96.5,2.2,0.2
Keokuk, IA,98.9,0.2,0.3
Kossuth, IA,98.7,0.2,0.4
Lee, IA,94.2,3.2,0.8
Linn, IA,91.9,3.8,2.1
Louisa, IA,97.9,0.9,0.2
Lucas, IA,98.9,0.2,0.3
Lyon, IA,98.9,0.2,0.2
Madison, IA,98.3,0.3,0.2
Mahaska, IA,96.2,1.1,1.4
Marion, IA,97.2,0.6,1.2
Marshall, IA,95.5,1.6,1.2
Mills, IA,98,0.4,0.3
Mitchell, IA,99.3,0.2,0.2
Monona, IA,97.8,0.2,0.2
Monroe, IA,98.1,0.2,0.5
Montgomery, IA,98.1,0.4,0.4
Muscatine, IA,96.3,1.4,1
O'Brien, IA,97.7,0.8,0.7
Osceola, IA,98.5,0.3,0.2
Page, IA,95.5,2.1,0.9
Palo Alto, IA,98.5,0.2,0.4
Plymouth, IA,98.1,0.5,0.4
Pocahontas, IA,98.4,0.3,0.3
Polk, IA,89.1,5.6,3.1
Pottawattamie, IA,96.5,1.2,0.7
Poweshiek, IA,96.4,0.8,1.4
Ringgold, IA,99,0.1,0.2
Sac, IA,98.3,0.4,0.4
Scott, IA,88.1,7.2,2.4
Shelby, IA,98.6,0.1,0.4
Sioux, IA,98,0.3,0.8
Story, IA,90.8,2.4,5.5
Tama, IA,90.4,0.7,0.2
Taylor, IA,98.9,0,0.4
Union, IA,97.7,0.9,0.5
Van Buren, IA,98.4,0.1,0.5
Wapello, IA,96.5,1.3,0.9
Warren, IA,98,0.5,0.5
Washington, IA,97.9,0.8,0.3
Wayne, IA,98.6,0.1,0.2
Webster, IA,93.1,4.1,0.9
Winnebago, IA,97.8,0.3,0.8
Winneshiek, IA,97.9,0.6,0.9
Woodbury, IA,90.3,2.9,2.5
Worth, IA,98.4,0.4,0.2
Wright, IA,98.3,0.3,0.3
KANSAS,,88.5,6.2,2.3
Allen, KS,94.6,2.1,0.4
Anderson, KS,96.9,0.7,0.3
Atchison, KS,90.9,6,0.4
Barber, KS,97.5,0.5,0.1
Barton, KS,96.1,1.7,0.3
Bourbon, KS,93.6,3.4,0.4
Brown, KS,86.3,1.8,0.5
Butler, KS,94.6,2,0.6
Chase, KS,96.4,1.5,0.2
Chautauqua, KS,92.6,0.4,0.1
Cherokee, KS,91.6,0.9,0.4
Cheyenne, KS,98.7,0.1,0.4
Clark, KS,96.7,0.3,0.6
Clay, KS,96.9,1,0.2
Cloud, KS,97.5,0.6,0.6
Coffey, KS,96,0.6,1
Comanche, KS,98.5,0.1,0.3
Cowley, KS,91,2.8,1.7
Crawford, KS,92.9,2.2,1.9
Decatur, KS,97.9,0.8,0.2
Dickinson, KS,95.8,1.7,0.3
Doniphan, KS,93.7,3,0.4
Douglas, KS,87,4.5,3.6
Edwards, KS,98,0.4,0.4
Elk, KS,95.2,0.2,0.2
Ellis, KS,96.6,1,1
Ellsworth, KS,94,4,0.3
Finney, KS,92.6,2.1,2.8
Ford, KS,93.3,2.4,2
Franklin, KS,95.2,1.5,0.5
Geary, KS,73,18.4,3.2
Gove, KS,98.2,0.1,0.1
Graham, KS,94,4,0.3
Grant, KS,96.5,0.6,0.8
Gray, KS,96.5,0.3,0.1
Greeley, KS,97.7,0.2,0.6
Greenwood, KS,96.5,0.3,0.2
Hamilton, KS,97,0.7,0.6
Harper, KS,96.9,0.3,0.3
Harvey, KS,94.7,2,0.7
Haskell, KS,96.8,0.2,0.9
Hodgeman, KS,97.6,1,0.1
Jackson, KS,89.7,1.2,0.3
Jefferson, KS,96.2,0.9,0.2
Jewell, KS,98.6,0,0.1
Johnson, KS,89.5,4.5,4
Kearny, KS,96.4,0.9,0.4
Kingman, KS,97,0.3,0.3
Kiowa, KS,97.2,0.4,0.4
Labette, KS,89.2,5.3,0.5
Lane, KS,97.5,0.1,0.2
Leavenworth, KS,86.1,9.6,1.4
Lincoln, KS,98.1,0.2,0.2
Linn, KS,97.1,1,0.1
Logan, KS,96.5,1.1,0.2
Lyon, KS,93.8,1.9,1.7
McPherson, KS,96.6,1.2,0.4
Marion, KS,97.1,0.7,0.2
Marshall, KS,97.5,0.3,0.6
Meade, KS,97.3,0.5,0.3
Miami, KS,95.9,1.8,0.3
Mitchell, KS,97.2,0.8,0.5
Montgomery, KS,86.2,6.2,0.7
Morris, KS,97.5,0.5,0.4
Morton, KS,94.5,0.4,1.8
Nemaha, KS,97.8,0.7,0.1
Neosho, KS,95.1,1.2,0.5
Ness, KS,98.3,0.1,0.2
Norton, KS,93.9,4.1,0.8
Osage, KS,96.7,0.8,0.2
Osborne, KS,98.4,0.1,0.3
Ottawa, KS,97.1,1.2,0.2
Pawnee, KS,90.4,6.2,0.7
Phillips, KS,97.9,0.4,0.5
Pottawatomie, KS,96,1.4,0.5
Pratt, KS,96.4,1.2,0.6
Rawlins, KS,98.1,0.4,0.1
Reno, KS,94,3,0.7
Republic, KS,98.5,0.4,0.2
Rice, KS,95.6,1.6,0.6
Riley, KS,86.6,7.3,3.2
Rooks, KS,97,1.3,0.2
Rush, KS,98.2,0.3,0.2
Russell, KS,96.8,1,0.4
Saline, KS,91.9,3.4,2
Scott, KS,98.2,0.2,0.1
Sedgwick, KS,82.9,9.6,4
Seward, KS,90.2,3.8,3.4
Shawnee, KS,85.3,9.2,1.4
Sheridan, KS,98.8,0.2,0.1
Sherman, KS,97.4,0.7,0.3
Smith, KS,98.7,0.2,0.1
Stafford, KS,97.8,0.2,0.2
Stanton, KS,96.2,1.1,0.3
Stevens, KS,95.8,1.2,0.3
Sumner, KS,95.5,1.1,0.3
Thomas, KS,97.2,0.8,0.4
Trego, KS,97.1,0.4,0.5
Wabaunsee, KS,97.4,0.7,0.1
Wallace, KS,96.8,0.8,0.2
Washington, KS,98.7,0.2,0.1
Wichita, KS,97.5,0.2,0.1
Wilson, KS,96,0.9,0.3
Woodson, KS,96.7,1,0.1
Wyandotte, KS,69.1,26.2,2
KENTUCKY,,89.6,7.9,1.1
Adair, KY,95.1,3.4,0.4
Allen, KY,97.6,1.4,0.1
Anderson, KY,96.1,2.4,0.5
Ballard, KY,94.1,3.9,0.3
Barren, KY,94.1,4.2,0.6
Bath, KY,96.9,1.9,0
Bell, KY,95.6,2.6,0.5
Boone, KY,93.4,2.9,2.4
Bourbon, KY,91.9,6.5,0.3
Boyd, KY,95.1,3.2,0.4
Boyle, KY,87.8,9.2,1.3
Bracken, KY,98,1.1,0.1
Breathitt, KY,98.3,0.5,0.4
Breckinridge, KY,95.6,3,0.1
Bullitt, KY,97.2,1.3,0.3
Butler, KY,97.6,1.2,0.2
Caldwell, KY,93.7,5.2,0.2
Calloway, KY,92.4,4.2,2.1
Campbell, KY,95.7,2.4,0.7
Carlisle, KY,96.9,1.7,0.1
Carroll, KY,95.7,2.4,0.2
Carter, KY,98.5,0.5,0.2
Casey, KY,98.2,0.7,0.1
Christian, KY,74.1,22.7,0.9
Clark, KY,93.5,5,0.5
Clay, KY,93.5,5.2,0.1
Clinton, KY,98.5,0.4,0.1
Crittenden, KY,97.9,0.9,0.1
Cumberland, KY,94.9,3.6,0
Daviess, KY,92.9,5,0.7
Edmonson, KY,97.1,1.7,0.2
Elliott, KY,95.2,4,0
Estill, KY,98.6,0.4,0.1
Fayette, KY,81.1,13.8,3.1
Fleming, KY,97.2,1.6,0.2
Floyd, KY,97.2,1.7,0.3
Franklin, KY,87,10.3,1
Fulton, KY,72.3,25.9,0.4
Gallatin, KY,96.1,1.9,0.4
Garrard, KY,96.3,2.9,0
Grant, KY,97.6,0.8,0.6
Graves, KY,93.5,4.6,0.4
Grayson, KY,98.1,0.7,0.2
Green, KY,96.2,2.6,0.2
Greenup, KY,97.8,0.8,0.4
Hancock, KY,97.4,1.4,0.2
Hardin, KY,83.5,11.5,2.3
Harlan, KY,94.9,2.8,0.5
Harrison, KY,96.1,2.4,0.2
Hart, KY,93.5,5.3,0.1
Henderson, KY,90.7,7.5,0.6
Henry, KY,94.6,3.5,0.6
Hickman, KY,87.4,10.7,0.1
Hopkins, KY,91.6,6.5,0.5
Jackson, KY,99,0.2,0
Jefferson, KY,75.8,20.4,2
Jessamine, KY,93.6,3.8,1
Johnson, KY,98,0.6,0.4
Kenton, KY,92.3,5,1
Knott, KY,98.1,0.9,0.2
Knox, KY,97.4,1.2,0.2
Larue, KY,94.6,3.6,0.1
Laurel, KY,97.1,0.9,0.6
Lawrence, KY,98.5,0.4,0.1
Lee, KY,94.5,4.2,0.1
Leslie, KY,99,0.1,0.1
Letcher, KY,98.3,0.6,0.4
Lewis, KY,98.6,0.5,0
Lincoln, KY,96.2,2.7,0.1
Livingston, KY,98.1,0.6,0
Logan, KY,90.9,7.4,0.3
Lyon, KY,91.1,7.3,0.6
McCracken, KY,86.7,11,0.7
McCreary, KY,96.3,2.2,0.2
McLean, KY,98.5,0.6,0
Madison, KY,93.2,4.3,0.9
Magoffin, KY,99.1,0.3,0.1
Marion, KY,88.8,9.4,0.7
Marshall, KY,97.9,0.8,0.3
Martin, KY,94.4,4.7,0.1
Mason, KY,91.1,6.8,0.7
Meade, KY,93.5,4,0.7
Menifee, KY,97.3,1.7,0
Mercer, KY,93.5,4,1.2
Metcalfe, KY,96.8,2,0.1
Monroe, KY,95.9,2.8,0.3
Montgomery, KY,95.5,3.2,0.2
Morgan, KY,94.1,4.8,0.2
Muhlenberg, KY,94,4.8,0.2
Nelson, KY,92.7,5.5,0.8
Nicholas, KY,98.3,0.9,0.1
Ohio, KY,97.7,1.1,0.2
Oldham, KY,92.4,5.3,1
Owen, KY,97.1,1.3,0.4
Owsley, KY,99.2,0.1,0
Pendleton, KY,98,1.1,0.1
Perry, KY,96.5,1.8,0.9
Pike, KY,98.1,0.7,0.5
Powell, KY,97.9,1,0.1
Pulaski, KY,97,1.3,0.7
Robertson, KY,98.7,0.3,0
Rockcastle, KY,98.4,0.4,0.2
Rowan, KY,95.4,2,1.1
Russell, KY,98.1,0.9,0.2
Scott, KY,92.7,5.3,0.8
Shelby, KY,89.3,8.4,0.6
Simpson, KY,87.7,9.7,1.3
Spencer, KY,96.7,2.1,0.1
Taylor, KY,93.7,5.1,0.2
Todd, KY,90.1,8.8,0.2
Trigg, KY,89.6,8.6,0.4
Trimble, KY,97.7,0.9,0.3
Union, KY,83.6,14.1,0.6
Warren, KY,88.1,8.8,1.4
Washington, KY,91.1,7.3,0.4
Wayne, KY,97.2,1.5,0.1
Webster, KY,93.9,4.7,0.1
Whitley, KY,97.8,0.7,0.4
Wolfe, KY,98.9,0.4,0
Woodford, KY,92.4,5.5,0.7
LOUISIANA,,64.6,32.1,1.5
Acadia, LA,79.9,18.8,0.2
Allen, LA,71.9,24.2,0.7
Ascension, LA,76.7,21.4,0.9
Assumption, LA,67.8,31.1,0.2
Avoyelles, LA,66.9,30.9,0.2
Beauregard, LA,83.3,13.7,0.8
Bienville, LA,57,41.8,0.2
Bossier, LA,75.1,20.8,1.6
Caddo, LA,50.7,46.8,0.9
Calcasieu, LA,73.1,24.5,0.8
Caldwell, LA,80.6,18,0.2
Cameron, LA,93.8,3.9,0.7
Catahoula, LA,71,27.9,0.1
Claiborne, LA,50.9,48.1,0.1
Concordia, LA,59.3,39.3,0.3
De Soto, LA,59.8,38.6,0.1
East Baton Rouge, LA,51.9,44.4,2.4
East Carroll, LA,31.4,67.6,0.4
East Feliciana, LA,55.1,43.7,0.3
Evangeline, LA,69.3,29.4,0.3
Franklin, LA,68.2,30.5,0.2
Grant, LA,86.2,11.3,0.2
Iberia, LA,64.2,31.9,2.3
Iberville, LA,49.6,49.3,0.3
Jackson, LA,72,26.9,0.2
Jefferson, LA,67.5,26.9,3.7
Jefferson Davis, LA,80.8,17.2,0.3
Lafayette, LA,71.9,25.4,1.3
Lafourche, LA,81.7,13.8,0.8
La Salle, LA,85,13.1,0.2
Lincoln, LA,57.2,40.6,1.1
Livingston, LA,92.2,6.1,0.5
Madison, LA,37.3,60.9,0.2
Morehouse, LA,54.5,44.5,0.3
Natchitoches, LA,57.3,39.6,0.7
Orleans, LA,33.3,62.3,2.9
Ouachita, LA,62.9,35.3,0.8
Plaquemines, LA,71.7,21.2,3
Pointe Coupee, LA,61.8,37,0.3
Rapides, LA,66,31.1,1
Red River, LA,56.9,41.8,0.1
Richland, LA,62.3,36.6,0.2
Sabine, LA,72.1,16.8,0.2
St. Bernard, LA,79.3,15.7,2.1
St. Charles, LA,70.6,27,1.1
St. Helena, LA,47.7,51.3,0.2
St. James, LA,50.3,48.9,0.1
St. John the Baptist, LA,47.8,50.3,0.7
St. Landry, LA,56.8,42,0.3
St. Martin, LA,67.3,30.6,1
St. Mary, LA,63.3,32,1.6
St. Tammany, LA,85,11.8,1.3
Tangipahoa, LA,69.6,28.9,0.5
Tensas, LA,42.6,56.2,0.2
Terrebonne, LA,73.6,18.3,1
Union, LA,71.9,27,0.3
Vermilion, LA,81.6,14.6,2.5
Vernon, LA,79.1,13,2.1
Washington, LA,67.8,31,0.2
Webster, LA,65.3,33,0.3
West Baton Rouge, LA,63.2,35.6,0.2
West Carroll, LA,80.5,18.3,0.2
West Feliciana, LA,50,49.2,0.2
Winn, LA,66.8,31.3,0.2
MAINE,,96.1,1.2,1
Androscoggin, ME,95.3,2.2,0.7
Aroostook, ME,96.1,0.7,0.7
Cumberland, ME,94,2.5,1.8
Franklin, ME,97.6,0.4,0.6
Hancock, ME,97.1,0.4,0.8
Kennebec, ME,97,0.6,0.8
Knox, ME,97.9,0.4,0.5
Lincoln, ME,98.1,0.3,0.5
Oxford, ME,97.7,0.4,0.5
Penobscot, ME,96.1,0.8,1
Piscataquis, ME,97.8,0.3,0.3
Sagadahoc, ME,96.2,1.2,0.8
Somerset, ME,97.5,0.5,0.4
Waldo, ME,97.5,0.4,0.3
Washington, ME,93.1,0.6,0.5
York, ME,97.2,0.7,0.9
MARYLAND,,63,29.7,5.2
Allegany, MD,91.4,6.7,0.6
Anne Arundel, MD,78.8,15.7,3.2
Baltimore, MD,68.1,25.7,4.3
Calvert, MD,81.9,14.7,1.3
Caroline, MD,82.9,14.2,0.8
Carroll, MD,92.9,4.1,1.7
Cecil, MD,91.3,6.1,1.1
Charles, MD,54.1,40.1,2.6
Dorchester, MD,70.1,27.8,1
Frederick, MD,84.9,9.2,3.7
Garrett, MD,98.3,0.9,0.3
Harford, MD,83.2,12.6,2.2
Howard, MD,67.2,17.8,12.4
Kent, MD,82,16,0.7
Montgomery, MD,66,17.5,13.9
Prince George's, MD,28,65.6,4
Queen Anne's, MD,89.2,8.3,1.1
St. Mary's, MD,80.3,15,2.4
Somerset, MD,56,41.3,0.9
Talbot, MD,84,13.6,0.9
Washington, MD,87,9.8,1.5
Wicomico, MD,72.5,24,1.9
Worcester, MD,83,14.8,0.9
Baltimore city, MD,33.1,63.2,2
MASSACHUSETTS,,85.9,7.1,5.1
Barnstable, MA,94.8,2.3,1
Berkshire, MA,94.2,2.7,1.4
Bristol, MA,92.5,3.8,1.9
Dukes, MA,92.5,2.8,0.8
Essex, MA,89.1,5.4,3.2
Franklin, MA,95.3,1.3,1.4
Hampden, MA,86.7,9.3,1.8
Hampshire, MA,91.7,2.6,3.7
Middlesex, MA,85,4.4,8.8
Nantucket, MA,87.9,9.8,1.3
Norfolk, MA,84.9,5.4,8.2
Plymouth, MA,88.7,8.3,1.3
Suffolk, MA,67,23.2,7.4
Worcester, MA,90.6,3.9,3.8
MICHIGAN,,81.2,14.2,2.4
Alcona, MI,97.3,0.7,0.3
Alger, MI,88.3,4.7,0.6
Allegan, MI,96.1,1.4,0.9
Alpena, MI,97.4,0.7,0.5
Antrim, MI,96.6,0.6,0.2
Arenac, MI,94.8,2.1,0.3
Baraga, MI,75.5,7.7,0.3
Barry, MI,97.4,0.6,0.4
Bay, MI,95.8,1.5,0.6
Benzie, MI,96,0.8,0.1
Berrien, MI,81.5,14.8,1.7
Branch, MI,93.9,3.3,1.1
Calhoun, MI,84.9,10.4,1.6
Cass, MI,91,5.2,0.7
Charlevoix, MI,95.9,0.6,0.3
Cheboygan, MI,94.4,0.5,0.2
