Area_name,,Resident population (April 1 - complete count) 2010,Percent change 2000 - 2010
Vanderburgh, IN,179703,-1.5
Vermillion, IN,16212,-8
Vigo, IN,107848,-5.6
Wabash, IN,32888,-4.3
Warren, IN,8508,-8.9
Warrick, IN,59689,8.3
Washington, IN,28262,8.1
Wayne, IN,68917,-5.4
Wells, IN,27636,2.2
White, IN,24643,-2.5
Whitley, IN,33292,5.5
IOWA,,3046355,-4.7
Adair, IA,7682,-11.6
Adams, IA,4029,-15.1
Allamakee, IA,14330,-8.3
Appanoose, IA,12887,-11.4
Audubon, IA,6119,-14.3
Benton, IA,26076,-5.2
Black Hawk, IA,131090,-10.3
Boone, IA,26306,-3.8
Bremer, IA,24276,-8.1
Buchanan, IA,20958,-9
Buena Vista, IA,20260,-3.9
Butler, IA,14867,-11
Calhoun, IA,9670,-15
Carroll, IA,20816,-6.7
Cass, IA,13956,-10.7
Cedar, IA,18499,-6.4
Cerro Gordo, IA,44151,-3.6
Cherokee, IA,12072,-13.2
Chickasaw, IA,12439,-13.9
Clarke, IA,9286,-3.8
Clay, IA,16667,-10.2
Clayton, IA,18129,-9.7
Clinton, IA,49116,-10.6
Crawford, IA,17096,-11.4
Dallas, IA,66135,0.8
Davis, IA,8753,-8.7
Decatur, IA,8457,-14.9
Delaware, IA,17764,-4.7
Des Moines, IA,40325,-7.8
Dickinson, IA,16667,-4.6
Dubuque, IA,93653,-7.8
Emmet, IA,10302,-13.2
Fayette, IA,20880,-14.3
Floyd, IA,16303,-13
Franklin, IA,10680,-12.8
Fremont, IA,7441,-12.5
Greene, IA,9336,-17.1
Grundy, IA,12453,-16.3
Guthrie, IA,10954,-8.7
Hamilton, IA,15673,-10
Hancock, IA,11341,-8.6
Hardin, IA,17534,-12.3
Harrison, IA,14928,-9.9
Henry, IA,20145,1.8
Howard, IA,9566,-11.7
Humboldt, IA,9815,-12.2
Ida, IA,7089,-6.1
Iowa, IA,16355,-5.2
Jackson, IA,19848,-11.3
Jasper, IA,36842,-4.5
Jefferson, IA,16843,0
Johnson, IA,130882,17.6
Jones, IA,20638,-4.7
Keokuk, IA,10511,-10
Kossuth, IA,15543,-15.1
Lee, IA,35862,-10.3
Linn, IA,211226,-0.6
Louisa, IA,11387,-3.8
Lucas, IA,8898,-12.1
Lyon, IA,11581,-7.3
Madison, IA,15679,-0.9
Mahaska, IA,22381,-5.8
Marion, IA,33309,1.1
Marshall, IA,40648,-8.1
Mills, IA,15059,-1.5
Mitchell, IA,10776,-11.4
Monona, IA,9243,-14.2
Monroe, IA,7970,-11.9
Montgomery, IA,10740,-10
Muscatine, IA,42745,-1.3
O'Brien, IA,14398,-9
Osceola, IA,6462,-13.2
Page, IA,15932,-11.5
Palo Alto, IA,9421,-16.1
Plymouth, IA,24986,-5.5
Pocahontas, IA,7310,-16.2
Polk, IA,430640,7.9
Pottawattamie, IA,93158,-4.5
Poweshiek, IA,18914,-1.4
Ringgold, IA,5131,-11.3
Sac, IA,10350,-12.7
Scott, IA,165224,-5.7
Shelby, IA,12167,-12.1
Sioux, IA,33704,-3
Story, IA,89542,2.7
Tama, IA,17767,-10.8
Taylor, IA,6317,-14.8
Union, IA,12534,-8
Van Buren, IA,7570,-11
Wapello, IA,35625,-11.3
Warren, IA,46225,3.3
Washington, IA,21704,-2.6
Wayne, IA,6403,-13.8
Webster, IA,38013,-12.2
Winnebago, IA,10866,-6.8
Winneshiek, IA,21056,-4.7
Woodbury, IA,102172,-2.6
Worth, IA,7598,-11.9
Wright, IA,13229,-12.6
KANSAS,,2853118,4.8
Allen, KS,13371,-6.5
Anderson, KS,8102,-10.8
Atchison, KS,16924,-8
Barber, KS,4861,-10.3
Barton, KS,27674,-6.3
Bourbon, KS,15173,-6.3
Brown, KS,9984,-6.9
Butler, KS,65880,12.9
Chase, KS,2790,-8.7
Chautauqua, KS,3669,-12.1
Cherokee, KS,21603,-4.2
Cheyenne, KS,2726,-11.8
Clark, KS,2215,-7
Clay, KS,8535,-6.6
Cloud, KS,9533,-11.8
Coffey, KS,8601,-10.3
Comanche, KS,1891,-9.4
Cowley, KS,36311,0.2
Crawford, KS,39134,-6.2
Decatur, KS,2961,-10.8
Dickinson, KS,19754,-6
Doniphan, KS,7945,-12.2
Douglas, KS,110826,20.9
Edwards, KS,3037,-11.3
Elk, KS,2882,-15.1
Ellis, KS,28452,-0.4
Ellsworth, KS,6497,-0.8
Finney, KS,36776,38.8
Ford, KS,33848,12.9
Franklin, KS,25992,-0.3
Geary, KS,34362,2
Gove, KS,2695,-13.3
Graham, KS,2597,-11.3
Grant, KS,7829,2.6
Gray, KS,6006,5
Greeley, KS,1247,-3.8
Greenwood, KS,6689,-10.5
Hamilton, KS,2690,-5
Harper, KS,6034,-8.4
Harvey, KS,34684,1.6
Haskell, KS,4256,1.9
Hodgeman, KS,1916,-4.1
Jackson, KS,13462,-1
Jefferson, KS,19126,4.6
Jewell, KS,3077,-18.9
Johnson, KS,544179,31.4
Kearny, KS,3977,17.2
Kingman, KS,7858,-7.5
Kiowa, KS,2553,-9.5
Labette, KS,21607,-7.7
Lane, KS,1750,-3.9
Leavenworth, KS,76227,17.4
Lincoln, KS,3241,-11.9
Linn, KS,9656,0.2
Logan, KS,2756,-11.4
Lyon, KS,33690,-1.1
McPherson, KS,29180,1.5
Marion, KS,12660,-4.7
Marshall, KS,10117,-8.5
Meade, KS,4575,-11.3
Miami, KS,32787,8.5
Mitchell, KS,6373,-11.3
Montgomery, KS,35471,-8.2
Morris, KS,5923,-3.4
Morton, KS,3233,0.8
Nemaha, KS,10178,-6.8
Neosho, KS,16512,-10.2
Ness, KS,3107,-10.3
Norton, KS,5671,-11.1
Osage, KS,16295,-0.5
Osborne, KS,3858,-18.3
Ottawa, KS,6091,-5.6
Pawnee, KS,6973,-6.3
Phillips, KS,5642,-11
Pottawatomie, KS,21604,9.1
Pratt, KS,9656,-5.6
Rawlins, KS,2519,-17.1
Reno, KS,64511,-4
Republic, KS,4980,-14.4
Rice, KS,10083,-10.8
Riley, KS,71115,5.7
Rooks, KS,5181,-13.8
Rush, KS,3307,-14.9
Russell, KS,6970,-11.6
Saline, KS,55606,0.8
Scott, KS,4936,-8.5
Sedgwick, KS,498365,10
Seward, KS,22952,9.8
Shawnee, KS,177934,3.9
Sheridan, KS,2556,-14.1
Sherman, KS,6010,-10.7
Smith, KS,3853,-14.6
Stafford, KS,4437,-5.8
Stanton, KS,2235,-0.3
Stevens, KS,5724,6.6
Sumner, KS,24132,3.7
Thomas, KS,7900,-2.3
Trego, KS,3001,-11.3
Wabaunsee, KS,7053,-3.8
Wallace, KS,1485,-11
Washington, KS,5799,-17.2
Wichita, KS,2234,-9.3
Wilson, KS,9409,-15.2
Woodson, KS,3309,-10.5
Wyandotte, KS,157505,-6
KENTUCKY,,4339367,0.7
Adair, KY,18656,0.8
Allen, KY,19956,3.5
Anderson, KY,21421,15.9
Ballard, KY,8249,-10.2
Barren, KY,42173,0
Bath, KY,11591,-3.3
Bell, KY,28691,-8.2
Boone, KY,118811,25.6
Bourbon, KY,19985,-0.9
Boyd, KY,49542,-7.9
Boyle, KY,28432,2.3
Bracken, KY,8488,0.4
Breathitt, KY,13878,-7.7
Breckinridge, KY,20059,-3.3
Bullitt, KY,74319,9.7
Butler, KY,12690,1.6
Caldwell, KY,12984,-1.8
Calloway, KY,37191,2.3
Campbell, KY,90336,0.7
Carlisle, KY,5104,-4.5
Carroll, KY,10811,0.2
Carter, KY,27720,-2.9
Casey, KY,15955,-4.1
Christian, KY,73955,3.1
Clark, KY,35613,4.1
Clay, KY,21730,-4.4
Clinton, KY,10272,-2
Crittenden, KY,9315,-0.1
Cumberland, KY,6856,-6.9
Daviess, KY,96656,1.4
Edmonson, KY,12161,4
Elliott, KY,7852,-6.6
Estill, KY,14672,0.8
Fayette, KY,295803,10.4
Fleming, KY,14348,-0.3
Floyd, KY,39451,-10.6
Franklin, KY,49285,5.5
Fulton, KY,6813,-7.8
Gallatin, KY,8589,11.4
Garrard, KY,16912,6.7
Grant, KY,24662,18.3
Graves, KY,37121,-1.5
Grayson, KY,25746,0.9
Green, KY,11258,-6.1
Greenup, KY,36910,-6.1
Hancock, KY,8565,1.6
Hardin, KY,105543,0.4
Harlan, KY,29278,-12.7
Harrison, KY,18846,7.1
Hart, KY,18199,-3.3
Henderson, KY,46250,5.4
Henry, KY,15416,0.7
Hickman, KY,4902,-8.2
Hopkins, KY,46920,-0.1
Jackson, KY,13494,-0.3
Jefferson, KY,741096,-2.9
Jessamine, KY,48586,17
Johnson, KY,23356,-4.8
Kenton, KY,159720,3.6
Knott, KY,16346,-0.2
Knox, KY,31883,-1.9
Larue, KY,14193,-2
Laurel, KY,58849,11.4
Lawrence, KY,15860,-0.9
Lee, KY,7887,-4.3
Leslie, KY,11310,-8.3
Letcher, KY,24519,-12
Lewis, KY,13870,-10.4
Lincoln, KY,24742,5.2
Livingston, KY,9519,-1.7
Logan, KY,26835,1.2
Lyon, KY,8314,2.1
McCracken, KY,65565,2.6
McCreary, KY,18306,-0.2
McLean, KY,9531,-4.6
Madison, KY,82916,7.8
Magoffin, KY,13333,-3.2
Marion, KY,19820,-7.9
Marshall, KY,31448,6.1
Martin, KY,12929,-10
Mason, KY,17490,-6.2
Meade, KY,28602,5.8
Menifee, KY,6306,-0.5
Mercer, KY,21331,0.7
Metcalfe, KY,10099,-5.5
Monroe, KY,10963,-7.7
Montgomery, KY,26499,-2.4
Morgan, KY,13923,-3.8
Muhlenberg, KY,31499,-2.9
Nelson, KY,43437,7.7
Nicholas, KY,7135,-6
Ohio, KY,23842,-3
Oldham, KY,60316,19.7
Owen, KY,10841,1.2
Owsley, KY,4755,-11.8
Pendleton, KY,14877,9.5
Perry, KY,28712,-10.3
Pike, KY,65024,-10.5
Powell, KY,12613,5.3
Pulaski, KY,63063,8
Robertson, KY,2282,-6.4
Rockcastle, KY,17056,5.9
Rowan, KY,23333,6.8
Russell, KY,17565,7.4
Scott, KY,47173,9.4
Shelby, KY,42074,6.4
Simpson, KY,17327,3.2
Spencer, KY,17061,14.7
Taylor, KY,24512,-0.2
Todd, KY,12460,-7.9
Trigg, KY,14339,10.4
Trimble, KY,8809,-2.6
Union, KY,15007,-7.1
Warren, KY,113792,8.2
Washington, KY,11717,-3
Wayne, KY,20813,2.6
Webster, KY,13621,-5.9
Whitley, KY,35637,-0.2
Wolfe, KY,7355,-2.9
Woodford, KY,24939,12.2
LOUISIANA,,4533372,0.3
Acadia, LA,61773,-1
Allen, LA,25764,-0.9
Ascension, LA,107215,16.3
Assumption, LA,23421,3
Avoyelles, LA,42073,-5.4
Beauregard, LA,35654,1.3
Bienville, LA,14353,-2.5
Bossier, LA,116979,6.6
Caddo, LA,254969,-1.7
Calcasieu, LA,192768,0.5
Caldwell, LA,10132,-8.9
Cameron, LA,6839,-0.8
Catahoula, LA,10407,-9.9
Claiborne, LA,17195,1.8
Concordia, LA,20822,-9.4
De Soto, LA,26656,-1.5
East Baton Rouge, LA,440171,3.8
East Carroll, LA,7759,-17.5
East Feliciana, LA,20267,1
Evangeline, LA,33984,-0.2
Franklin, LA,20767,-7.3
Grant, LA,22309,4.9
Iberia, LA,73240,7.1
Iberville, LA,33387,-3.5
Jackson, LA,16274,-9.3
Jefferson, LA,432552,-1.4
Jefferson Davis, LA,31594,-4.5
Lafayette, LA,221578,9.8
Lafourche, LA,96318,4.1
La Salle, LA,14890,-19.7
Lincoln, LA,46735,5
Livingston, LA,128026,19.9
Madison, LA,12093,-20.5
Morehouse, LA,27979,-8.2
Natchitoches, LA,39566,-8
Orleans, LA,343829,-10.9
Ouachita, LA,153720,2.1
Plaquemines, LA,23042,-1.8
Pointe Coupee, LA,22802,-6.3
Rapides, LA,131613,-2.8
Red River, LA,9091,-10
Richland, LA,20725,-7
Sabine, LA,24233,-10.4
St. Bernard, LA,35897,4
St. Charles, LA,52780,13.9
St. Helena, LA,11203,0.5
St. James, LA,22102,-2.9
St. John the Baptist, LA,45924,25.3
St. Landry, LA,83384,-4.5
St. Martin, LA,52160,9.7
St. Mary, LA,54650,-9.6
St. Tammany, LA,233740,30.3
Tangipahoa, LA,121097,6.2
Tensas, LA,5252,-16.7
Terrebonne, LA,111860,2.7
Union, LA,22721,-1.8
Vermilion, LA,57999,3.3
Vernon, LA,52334,15.9
Washington, LA,47168,-2.3
Webster, LA,41207,-3.8
West Baton Rouge, LA,23788,1.7
West Carroll, LA,11604,-6.4
West Feliciana, LA,15625,6
Winn, LA,15313,-5.7
MAINE,,1328361,9.1
Androscoggin, ME,107702,5.8
Aroostook, ME,71870,-4.8
Cumberland, ME,281674,12.7
Franklin, ME,30768,5.7
Hancock, ME,54418,12.4
Kennebec, ME,122151,5.5
Knox, ME,39736,10.2
Lincoln, ME,34457,18.2
Oxford, ME,57833,7.3
Penobscot, ME,153923,7
Piscataquis, ME,17535,5.8
Sagadahoc, ME,35293,16.5
Somerset, ME,52228,10.5
Waldo, ME,38786,16.2
Washington, ME,32856,1
York, ME,197131,17.8
MARYLAND,,5773552,13.4
Allegany, MD,75087,-7
Anne Arundel, MD,537656,15.2
Baltimore, MD,805029,5.6
Calvert, MD,88737,48.3
Caroline, MD,33066,16.8
Carroll, MD,167134,28
Cecil, MD,101108,18.1
Charles, MD,146551,39
Dorchester, MD,32618,-1.3
Frederick, MD,233385,30.9
Garrett, MD,30097,6.2
Harford, MD,244826,24.8
Howard, MD,287085,58
Kent, MD,20197,6.9
Montgomery, MD,971777,30.7
Prince George's, MD,863420,9.5
Queen Anne's, MD,47798,33.1
St. Mary's, MD,105151,26.8
Somerset, MD,26470,22.2
Talbot, MD,37782,19.3
Washington, MD,147430,7.3
Wicomico, MD,98733,15.2
Worcester, MD,51454,13.4
Baltimore city, MD,620961,-6.4
MASSACHUSETTS,,6547629,4.9
Barnstable, MA,215888,26.1
Berkshire, MA,131219,-4
Bristol, MA,548285,6.7
Dukes, MA,16535,30.2
Essex, MA,743159,5.7
Franklin, MA,71372,9
Hampden, MA,463490,3
Hampshire, MA,158080,5.6
Middlesex, MA,1503085,2.3
Nantucket, MA,10172,18.2
Norfolk, MA,670850,1.6
Plymouth, MA,494919,7.4
Suffolk, MA,722023,2.1
Worcester, MA,798552,9.8
MICHIGAN,,9883640,0.4
Alcona, MI,10942,4.2
Alger, MI,9601,-2.7
Allegan, MI,111408,11
Alpena, MI,29598,-5.3
Antrim, MI,23580,12.3
Arenac, MI,15899,1.4
Baraga, MI,8860,-6.2
Barry, MI,59173,9.3
Bay, MI,107771,-6.8
Benzie, MI,17525,8.9
Berrien, MI,156813,-5.8
Branch, MI,45248,3.3
Calhoun, MI,136146,-4
Cass, MI,52293,0
Charlevoix, MI,25949,7.8
Cheboygan, MI,26152,3.6
Chippewa, MI,38520,19.2
Clare, MI,30926,4.7
Clinton, MI,75382,3.6
Crawford, MI,14074,29.5
Delta, MI,37069,-3
Dickinson, MI,26168,5.9
Eaton, MI,107759,5.1
Emmet, MI,32694,8.9
Genesee, MI,425790,-4.4
Gladwin, MI,25692,9.7
Gogebic, MI,16427,-8.3
Grand Traverse, MI,86986,17.1
Gratiot, MI,42476,-3.6
Hillsdale, MI,46688,3.2
Houghton, MI,36628,-6.4
Huron, MI,33118,-4.1
Ingham, MI,280895,2.3
Ionia, MI,63905,10.1
Iosco, MI,25887,6.6
Iron, MI,11817,-3.4
Isabella, MI,70311,0.9
Jackson, MI,160248,-1.1
Kalamazoo, MI,250331,5.2
Kalkaska, MI,17153,23.2
Kent, MI,602622,12.6
Keweenaw, MI,2156,-13.3
Lake, MI,11539,11.3
Lapeer, MI,88319,6.8
Leelanau, MI,21708,18
Lenawee, MI,99892,1.7
Livingston, MI,180967,15.3
Luce, MI,6631,-13.5
Mackinac, MI,11113,4.9
Macomb, MI,840978,3.3
Manistee, MI,24733,-7.6
Marquette, MI,67077,-4.3
Mason, MI,28705,-3.1
Mecosta, MI,42798,0.9
Menominee, MI,24029,-4.9
Midland, MI,83629,2.8
Missaukee, MI,14849,21.4
Monroe, MI,152021,-0.8
Montcalm, MI,63342,11.6
Montmorency, MI,9765,19.3
Muskegon, MI,172188,0.9
Newaygo, MI,48460,9.4
Oakland, MI,1202362,7.1
Oceana, MI,26570,2.1
Ogemaw, MI,21699,13.7
Ontonagon, MI,6780,-10.2
Osceola, MI,23528,6.4
Oscoda, MI,8640,14.3
Otsego, MI,24164,19.8
Ottawa, MI,263801,19.5
Presque Isle, MI,13376,-3.7
Roscommon, MI,24449,20.8
Saginaw, MI,200169,-7.1
St. Clair, MI,163040,4.9
St. Joseph, MI,61295,5
Sanilac, MI,43114,-2.1
Schoolcraft, MI,8485,-3.2
Shiawassee, MI,70648,-1.9
Tuscola, MI,55729,-2.6
Van Buren, MI,76258,4.9
Washtenaw, MI,344791,6.9
Wayne, MI,1820584,-9.7
Wexford, MI,32735,5
MINNESOTA,,5303925,7.4
Aitkin, MN,16202,-7.3
Anoka, MN,330844,24.3
Becker, MN,32504,-5
Beltrami, MN,44442,11
Benton, MN,38451,19.8
Big Stone, MN,5269,-18.5
Blue Earth, MN,64013,3.3
Brown, MN,25893,-5.8
Carlton, MN,35386,-2.3
Carver, MN,91042,29.3
Cass, MN,28567,3.5
Chippewa, MN,12441,-11.5
Chisago, MN,53887,18.7
Clay, MN,58999,2.2
Clearwater, MN,8695,-5.2
Cook, MN,5176,-5.5
Cottonwood, MN,11687,-14.5
Crow Wing, MN,62500,6.1
Dakota, MN,398552,41.6
Dodge, MN,20087,6.5
Douglas, MN,36009,3
Faribault, MN,14553,-14.1
Fillmore, MN,20866,-5.3
Freeborn, MN,31255,-9
Goodhue, MN,46183,5
Grant, MN,6018,-12.9
Hennepin, MN,1152425,9.7
Houston, MN,19027,0.6
Hubbard, MN,20428,6
Isanti, MN,37816,9.8
Itasca, MN,45058,-5.1
Jackson, MN,10266,-14.7
Kanabec, MN,16239,5.3
Kandiyohi, MN,42239,5.4
Kittson, MN,4552,-13.6
Koochiching, MN,13311,-7.2
Lac qui Parle, MN,7259,-15.7
Lake, MN,10866,-20.1
Lake of the Woods, MN,4045,8.3
Le Sueur, MN,27703,-0.8
Lincoln, MN,5896,-16
Lyon, MN,25857,-1.7
McLeod, MN,36651,8
Mahnomen, MN,5413,-8.9
Marshall, MN,9439,-15.6
Martin, MN,20840,-7.2
Meeker, MN,23300,1.2
Mille Lacs, MN,26097,1.3
Morrison, MN,33198,1
Mower, MN,39163,-7.4
Murray, MN,8725,-16.1
Nicollet, MN,32727,4.3
Nobles, MN,21378,-8
Norman, MN,6852,-15
Olmsted, MN,144248,15.7
Otter Tail, MN,57303,-2.4
Pennington, MN,13930,-12.8
Pine, MN,29750,7
Pipestone, MN,9596,-10.3
Polk, MN,31600,-6.5
Pope, MN,10995,-7.8
Ramsey, MN,508640,5.7
Red Lake, MN,4089,-17.3
Redwood, MN,16059,-10.8
Renville, MN,15730,-13.4
Rice, MN,64142,6.7
Rock, MN,9687,-8.4
Roseau, MN,15629,19.5
St. Louis, MN,200226,-10.8
Scott, MN,129928,32.1
Sherburne, MN,88499,40.2
Sibley, MN,15226,-7
Stearns, MN,150642,10.3
Steele, MN,36576,1.3
Stevens, MN,9726,-6.1
Swift, MN,9783,-17
Todd, MN,24895,-6.5
Traverse, MN,3558,-19.5
Wabasha, MN,21676,2.1
Wadena, MN,13843,-7.3
Waseca, MN,19136,-2
Washington, MN,238136,28.4
Watonwan, MN,11211,-5.5
Wilkin, MN,6576,-11.1
Winona, MN,51461,3.4
Wright, MN,124700,17.1
Yellow Medicine, MN,10438,-14.4
MISSISSIPPI,,2967297,2.2
Adams, MS,32297,-7.1
Alcorn, MS,37057,-4
Amite, MS,13131,-0.3
Attala, MS,19564,-7
Benton, MS,8729,-1.3
Bolivar, MS,34145,-8.9
Calhoun, MS,14962,-4.8
Carroll, MS,10597,-5.5
Chickasaw, MS,17392,1.3
Choctaw, MS,8547,0.8
Claiborne, MS,9604,-7.4
Clarke, MS,16732,2.2
Clay, MS,20634,0.2
Coahoma, MS,26151,-14.2
Copiah, MS,29449,4.1
Covington, MS,19568,3.8
DeSoto, MS,161252,25.9
Forrest, MS,74934,3.5
Franklin, MS,8118,2.1
George, MS,22578,9
Greene, MS,14400,4
Grenada, MS,21906,2.1
Hancock, MS,43929,29.7
Harrison, MS,187105,4.9
Hinds, MS,245285,1.4
Holmes, MS,19198,-5.9
Humphreys, MS,9375,-12.9
Issaquena, MS,1406,-24
Itawamba, MS,23401,-2.4
Jackson, MS,139668,-2.3
Jasper, MS,17062,-0.9
Jefferson, MS,7726,-5.8
Jefferson Davis, MS,12487,1.5
Jones, MS,67761,0.2
Kemper, MS,10456,2
Lafayette, MS,47351,2.6
Lamar, MS,55658,27.7
Lauderdale, MS,80261,-2.2
Lawrence, MS,12929,-0.5
Leake, MS,23805,-1.9
Lee, MS,82910,14.9
Leflore, MS,32317,-10.1
Lincoln, MS,34869,0.3
Lowndes, MS,59779,3.5
Madison, MS,95203,29.3
Marion, MS,27088,-0.6
Marshall, MS,37144,3.6
Monroe, MS,36989,0.5
Montgomery, MS,10925,-7.3
Neshoba, MS,29676,4.2
Newton, MS,21720,1.6
Noxubee, MS,11545,-4.6
Oktibbeha, MS,47671,6.5
Panola, MS,34707,6.5
Pearl River, MS,55834,14.6
Perry, MS,12250,10.1
Pike, MS,40404,2
Pontotoc, MS,29957,6.3
Prentiss, MS,25276,-3.1
Quitman, MS,8223,-17
Rankin, MS,141617,25.5
Scott, MS,28264,-1.7
Sharkey, MS,4916,-11.3
Simpson, MS,27503,2.2
Smith, MS,16491,-1.9
Stone, MS,17786,10.6
Sunflower, MS,29450,0.8
Tallahatchie, MS,15378,-11.3
Tate, MS,28886,6.5
Tippah, MS,22232,4.2
Tishomingo, MS,19593,-4.1
Tunica, MS,10778,-15.4
Union, MS,27134,1.6
Walthall, MS,15443,4.3
Warren, MS,48773,-7.3
Washington, MS,51137,-6.1
Wayne, MS,20747,2
Webster, MS,10253,-0.8
Wilkinson, MS,9878,-3.4
Winston, MS,19198,-0.2
Yalobusha, MS,12678,-8.7
Yazoo, MS,28065,-6.7
MISSOURI,,5988927,4.1
Adair, MO,25607,-1.2
Andrew, MO,17291,4.7
Atchison, MO,5685,-13.3
Audrain, MO,25529,-10.8
Barry, MO,35597,12.9
Barton, MO,12402,0.2
Bates, MO,17049,-5.3
Benton, MO,19056,13.8
Bollinger, MO,12363,3.1
Boone, MO,162642,12
Buchanan, MO,89201,-5.5
Butler, MO,42794,2.8
Caldwell, MO,9424,-3.2
Callaway, MO,44332,1.7
Camden, MO,44002,37.4
Cape Girardeau, MO,75674,4.8
Carroll, MO,9295,-11.4
Carter, MO,6265,1.6
Cass, MO,99478,25
Cedar, MO,13982,1.7
Chariton, MO,7831,-12.3
Christian, MO,77422,45.7
Clark, MO,7139,-11.1
Clay, MO,221939,12.4
Clinton, MO,20743,4.3
Cole, MO,75990,12.2
Cooper, MO,17601,1.3
Crawford, MO,24696,4.8
Dade, MO,7883,0.9
Dallas, MO,16777,4.5
Daviess, MO,8433,-11.7
DeKalb, MO,12892,21.2
Dent, MO,15657,-5.6
Douglas, MO,13684,2.4
Dunklin, MO,31953,-8.8
Franklin, MO,101492,13.2
Gasconade, MO,15222,6.3
Gentry, MO,6738,-13.1
Greene, MO,275174,12.2
Grundy, MO,10261,-11.9
Harrison, MO,8957,-14.4
Henry, MO,22272,1.9
Hickory, MO,9627,15.2
Holt, MO,4912,-12.3
Howard, MO,10144,-3.8
Howell, MO,40400,9.2
Iron, MO,10630,-3.2
Jackson, MO,674158,0.6
Jasper, MO,117404,4
Jefferson, MO,218733,17.2
Johnson, MO,52595,8.8
Knox, MO,4131,-18.6
Laclede, MO,35571,11.7
Lafayette, MO,33381,3.9
Lawrence, MO,38634,4.4
Lewis, MO,10211,-6.1
Lincoln, MO,52566,30.2
Linn, MO,12761,-10.4
Livingston, MO,15195,-7.3
McDonald, MO,23083,13.5
Macon, MO,15566,-5.9
Madison, MO,12226,3.7
Maries, MO,9176,5.6
Marion, MO,28781,-3.3
Mercer, MO,3785,-20.5
Miller, MO,24748,11.7
Mississippi, MO,14358,-8.2
Moniteau, MO,15607,1.9
Monroe, MO,8840,-6.3
Montgomery, MO,12236,-1.6
Morgan, MO,20565,12.8
New Madrid, MO,18956,-8.8
Newton, MO,58114,9.6
Nodaway, MO,23370,-1.3
Oregon, MO,10881,-7.5
Osage, MO,13878,0
Ozark, MO,9723,8
Pemiscot, MO,18296,-12.3
Perry, MO,18971,-0.8
Pettis, MO,42201,-2.6
Phelps, MO,45156,4.8
Pike, MO,18516,-9.1
Platte, MO,89322,24.9
Polk, MO,31137,16
