Area_name,,Resident population (April 1 - complete count) 2010,Percent change 2000 - 2010
Pulaski, MO,52274,-1.7
Putnam, MO,4979,-16.6
Ralls, MO,10167,-5.7
Randolph, MO,25414,-4.3
Ray, MO,23494,2.8
Reynolds, MO,6696,-7.9
Ripley, MO,14100,-1.2
St. Charles, MO,360485,47.6
St. Clair, MO,9805,-1.9
Ste. Genevieve, MO,18145,5.6
St. Francois, MO,65359,14.8
St. Louis, MO,998954,2
Saline, MO,23370,-5.6
Schuyler, MO,4431,-14.9
Scotland, MO,4843,-11
Scott, MO,39191,-0.7
Shannon, MO,8441,-3.4
Shelby, MO,6373,-11.3
Stoddard, MO,29968,-0.4
Stone, MO,32202,22.4
Sullivan, MO,6714,-14.9
Taney, MO,51675,24.9
Texas, MO,26008,1.9
Vernon, MO,21159,-3.9
Warren, MO,32513,31.1
Washington, MO,25195,13.3
Wayne, MO,13521,2.4
Webster, MO,36202,16.4
Worth, MO,2171,-18.9
Wright, MO,18815,3.5
St. Louis city, MO,319294,-12.4
MONTANA,,989415,1.6
Beaverhead, MT,9246,2.9
Big Horn, MT,12865,2.2
Blaine, MT,6491,-3.9
Broadwater, MT,5612,1.6
Carbon, MT,10078,-0.2
Carter, MT,1160,-16.5
Cascade, MT,81327,-3.7
Chouteau, MT,5813,-10.5
Custer, MT,11699,-10.8
Daniels, MT,1751,-20.1
Dawson, MT,8966,-19.5
Deer Lodge, MT,9298,-17.3
Fallon, MT,2890,-17.5
Fergus, MT,11586,-7.6
Flathead, MT,90928,14
Gallatin, MT,89513,17.7
Garfield, MT,1206,-4
Glacier, MT,13399,14
Golden Valley, MT,884,-11.1
Granite, MT,3079,-5.6
Hill, MT,16096,-1.8
Jefferson, MT,11406,12.9
Judith Basin, MT,2072,-13.8
Lake, MT,28746,10.4
Lewis and Clark, MT,63395,10.4
Liberty, MT,2339,-1.5
Lincoln, MT,19687,-1.5
McCone, MT,1734,-15.8
Madison, MT,7691,9.9
Meagher, MT,1891,-15.6
Mineral, MT,4223,-9.8
Missoula, MT,109299,3.5
Musselshell, MT,4538,-7.3
Park, MT,15636,12.5
Petroleum, MT,494,-20.8
Phillips, MT,4253,-3.8
Pondera, MT,6153,-4.4
Powder River, MT,1743,-17.1
Powell, MT,7027,-4.9
Prairie, MT,1179,-24.7
Ravalli, MT,40212,11.2
Richland, MT,9746,-12.5
Roosevelt, MT,10425,5.1
Rosebud, MT,9233,6.1
Sanders, MT,11413,-0.1
Sheridan, MT,3384,-12.6
Silver Bow, MT,34200,-10.9
Stillwater, MT,9117,16.8
Sweet Grass, MT,3651,-1.9
Teton, MT,6073,-3.4
Toole, MT,5324,-9.2
Treasure, MT,718,-10.9
Valley, MT,7369,-19.6
Wheatland, MT,2168,-4.8
Wibaux, MT,1017,-19.3
Yellowstone, MT,147972,5
Yellowstone National Park, MT,0,-21.2
NEBRASKA,,1826341,0.5
Adams, NE,31364,-3.4
Antelope, NE,6685,-8.2
Arthur, NE,460,-9.9
Banner, NE,690,-7.2
Blaine, NE,478,-22.1
Boone, NE,5505,-9.8
Box Butte, NE,11308,-4.1
Boyd, NE,2099,-14.9
Brown, NE,3145,-16.4
Buffalo, NE,46102,7.6
Burt, NE,6858,-10.7
Butler, NE,8395,-7.8
Cass, NE,25241,5
Cedar, NE,8852,-10.9
Chase, NE,3966,-7.9
Cherry, NE,5713,-6.7
Cheyenne, NE,9998,-5.6
Clay, NE,6542,-12.1
Colfax, NE,10515,-7.6
Cuming, NE,9139,-13.3
Custer, NE,10939,-11.6
Dakota, NE,21006,1
Dawes, NE,9182,-6.1
Dawson, NE,24326,-10.6
Deuel, NE,1941,-9.1
Dixon, NE,6000,-13.9
Dodge, NE,36691,-3.8
Douglas, NE,517110,4.9
Dundy, NE,2008,-9.8
Fillmore, NE,5890,-10.3
Franklin, NE,3225,-10
Frontier, NE,2756,-15
Furnas, NE,4959,-14.4
Gage, NE,22311,-6.8
Garden, NE,2057,-12.2
Garfield, NE,2049,-9.4
Gosper, NE,2044,-9.9
Grant, NE,614,-12.3
Greeley, NE,2538,-13.2
Hall, NE,58607,2.6
Hamilton, NE,9124,-4.7
Harlan, NE,3423,-11.2
Hayes, NE,967,-9.9
Hitchcock, NE,2908,-8.1
Holt, NE,10435,-7
Hooker, NE,736,-19.9
Howard, NE,6274,-10.6
Jefferson, NE,7547,-10.8
Johnson, NE,5217,-11.6
Kearney, NE,6489,-6
Keith, NE,8368,-8.3
Keya Paha, NE,824,-20.9
Kimball, NE,3821,-15.9
Knox, NE,8701,-16.5
Lancaster, NE,285407,10.8
Lincoln, NE,36288,-10.8
Logan, NE,763,-10.7
Loup, NE,632,-20.5
McPherson, NE,539,-7.9
Madison, NE,34876,4.1
Merrick, NE,7845,-10
Morrill, NE,5042,-10.9
Nance, NE,3735,-9.8
Nemaha, NE,7248,-4.6
Nuckolls, NE,4500,-14
Otoe, NE,15740,-6.1
Pawnee, NE,2773,-15.7
Perkins, NE,2970,-7.4
Phelps, NE,9188,-0.6
Pierce, NE,7266,-7.7
Platte, NE,32237,3.4
Polk, NE,5406,-10.3
Red Willow, NE,11055,-7.2
Richardson, NE,8363,-12.2
Rock, NE,1526,-15.3
Saline, NE,14200,-3.2
Sarpy, NE,158840,19.3
Saunders, NE,20780,-2.3
Scotts Bluff, NE,36970,-6
Seward, NE,16750,-2.1
Sheridan, NE,5469,-10.5
Sherman, NE,3152,-12
Sioux, NE,1311,-16
Stanton, NE,6129,-4.7
Thayer, NE,5228,-12.5
Thomas, NE,647,-12.5
Thurston, NE,6940,-3.5
Valley, NE,4260,-8.2
Washington, NE,20234,7.1
Wayne, NE,9595,-5
Webster, NE,3812,-11.9
Wheeler, NE,818,-10.6
York, NE,13665,-2.5
NEVADA,,2700551,50.1
Churchill, NV,24877,28.9
Clark, NV,1951269,60.1
Douglas, NV,46997,42.3
Elko, NV,48818,93.8
Esmeralda, NV,783,73
Eureka, NV,1987,29.1
Humboldt, NV,16528,35.9
Lander, NV,5775,53.7
Lincoln, NV,5345,1.2
Lyon, NV,51980,47.1
Mineral, NV,4772,4.1
Nye, NV,43946,96.5
Pershing, NV,6753,27.2
Storey, NV,4010,68.1
Washoe, NV,421407,31.5
White Pine, NV,10030,13.4
Carson City city, NV,55274,26.3
NEW HAMPSHIRE,,1316470,20.5
Belknap, NH,60088,14.8
Carroll, NH,47818,26.8
Cheshire, NH,77117,12.9
Coos, NH,33055,-0.9
Grafton, NH,89118,13.9
Hillsborough, NH,400721,21.4
Merrimack, NH,146445,22.3
Rockingham, NH,295223,29.2
Strafford, NH,123143,22
Sullivan, NH,43742,7
NEW JERSEY,,8791894,5
Atlantic, NJ,274549,15.6
Bergen, NJ,905116,-2.4
Burlington, NJ,448734,9
Camden, NJ,513657,6.6
Cape May, NJ,97265,15.6
Cumberland, NJ,156898,3.9
Essex, NJ,783969,-8.6
Gloucester, NJ,288288,15.1
Hudson, NJ,634266,-0.7
Hunterdon, NJ,128349,23.4
Mercer, NJ,366513,5.8
Middlesex, NJ,809858,12.7
Monmouth, NJ,630380,9.9
Morris, NJ,492276,3.4
Ocean, NJ,576567,25.2
Passaic, NJ,501226,1.3
Salem, NJ,66083,1
Somerset, NJ,323444,18.3
Sussex, NJ,149265,12.8
Union, NJ,536499,-2
Warren, NJ,108692,8.5
NEW MEXICO,,2059179,16.2
Bernalillo, NM,662564,14.4
Catron, NM,3725,-5.8
Chaves, NM,65645,13.2
Cibola, NM,27213,-21.6
Colfax, NM,13750,-5.4
Curry, NM,48376,0.4
De Baca, NM,2022,-8.2
Dona Ana, NM,209233,40.7
Eddy, NM,53829,1.6
Grant, NM,29514,5.6
Guadalupe, NM,4687,-7.6
Harding, NM,695,-9.4
Hidalgo, NM,4894,-1.5
Lea, NM,64727,-0.4
Lincoln, NM,20497,11.1
Los Alamos, NM,17950,2.9
Luna, NM,25095,16.2
McKinley, NM,71492,7.3
Mora, NM,4881,1.4
Otero, NM,63797,16.3
Quay, NM,9041,2.3
Rio Arriba, NM,40246,17.4
Roosevelt, NM,19846,6.4
Sandoval, NM,131561,84.1
San Juan, NM,130044,12.5
San Miguel, NM,29393,13.2
Santa Fe, NM,144170,31
Sierra, NM,11988,17.2
Socorro, NM,17866,17.5
Taos, NM,32937,18.8
Torrance, NM,16383,37.3
Union, NM,4549,-12.7
Valencia, NM,76569,47
NEW YORK,,19378102,2.5
Albany, NY,304204,2.4
Allegany, NY,48946,-2.5
Bronx, NY,1385108,3
Broome, NY,200600,-0.7
Cattaraugus, NY,80317,-1.7
Cayuga, NY,80026,3
Chautauqua, NY,134905,-3.4
Chemung, NY,88830,-2.5
Chenango, NY,50477,4.9
Clinton, NY,82128,6.5
Columbia, NY,63096,5.9
Cortland, NY,49336,0.3
Delaware, NY,47980,0.9
Dutchess, NY,297488,5.9
Erie, NY,919040,-4.6
Essex, NY,39370,2.7
Franklin, NY,51599,3.6
Fulton, NY,55531,-1.7
Genesee, NY,60079,1.1
Greene, NY,49221,9.5
Hamilton, NY,4836,4.9
Herkimer, NY,64519,-1.4
Jefferson, NY,116229,25.9
Kings, NY,2504700,3.1
Lewis, NY,27087,7
Livingston, NY,65393,9.4
Madison, NY,73442,6.2
Monroe, NY,744344,1.7
Montgomery, NY,50219,-2.7
Nassau, NY,1339532,-2.6
New York, NY,1585873,4.1
Niagara, NY,216469,-2.9
Oneida, NY,234878,-1
Onondaga, NY,467026,1.1
Ontario, NY,107931,7
Orange, NY,372813,18.5
Orleans, NY,42883,8.7
Oswego, NY,122109,6.9
Otsego, NY,62259,2.4
Putnam, NY,99710,8.7
Queens, NY,2230722,3.2
Rensselaer, NY,159429,1.6
Richmond, NY,468730,7.7
Rockland, NY,311687,2.3
St. Lawrence, NY,111944,-2.1
Saratoga, NY,219607,17.9
Schenectady, NY,154727,-0.4
Schoharie, NY,32749,7.2
Schuyler, NY,18343,5.5
Seneca, NY,35251,-0.1
Steuben, NY,98990,-0.1
Suffolk, NY,1493350,2.9
Sullivan, NY,77547,6.3
Tioga, NY,51125,5.1
Tompkins, NY,101564,8.1
Ulster, NY,182493,4.5
Warren, NY,65707,7.9
Washington, NY,63216,8.3
Wayne, NY,93772,5.4
Westchester, NY,949113,1
Wyoming, NY,42155,6.5
Yates, NY,25348,6.3
NORTH CAROLINA,,9535483,12.8
Alamance, NC,151131,9
Alexander, NC,37198,10.2
Alleghany, NC,11155,0
Anson, NC,26948,-8.5
Ashe, NC,27281,-0.5
Avery, NC,17797,3.2
Beaufort, NC,47759,4.8
Bertie, NC,21282,-3
Bladen, NC,35190,-6
Brunswick, NC,107431,42.5
Buncombe, NC,238318,8.6
Burke, NC,90912,4.5
Cabarrus, NC,178011,15.2
Caldwell, NC,83029,4.4
Camden, NC,9980,1.3
Carteret, NC,66469,27.9
Caswell, NC,23719,-0.1
Catawba, NC,154358,12.6
Chatham, NC,63505,16
Cherokee, NC,27444,6.5
Chowan, NC,14793,7.5
Clay, NC,10587,8.1
Cleveland, NC,98078,1.5
Columbus, NC,58098,-2.8
Craven, NC,103505,14.9
Cumberland, NC,319431,11.1
Currituck, NC,23547,23.9
Dare, NC,33920,70
Davidson, NC,162878,11.9
Davie, NC,41240,13.3
Duplin, NC,58505,-2.3
Durham, NC,267587,19.5
Edgecombe, NC,56552,1.3
Forsyth, NC,350670,9.1
Franklin, NC,60619,21.2
Gaston, NC,206086,7.7
Gates, NC,12197,4.8
Graham, NC,8861,-0.3
Granville, NC,59916,12.6
Greene, NC,21362,-4.5
Guilford, NC,488406,9.5
Halifax, NC,54691,0.8
Harnett, NC,114678,13.9
Haywood, NC,59036,1
Henderson, NC,106740,18.3
Hertford, NC,24669,-3.6
Hoke, NC,46952,12.1
Hyde, NC,5810,-7.9
Iredell, NC,159437,12.6
Jackson, NC,40271,4
Johnston, NC,168878,15.2
Jones, NC,10153,-3
Lee, NC,57866,12.7
Lenoir, NC,59495,-4.3
Lincoln, NC,78265,18.8
McDowell, NC,44996,1.6
Macon, NC,33922,16.5
Madison, NC,20764,0.7
Martin, NC,24505,-3.4
Mecklenburg, NC,919628,26.5
Mitchell, NC,15579,0
Montgomery, NC,27798,3.9
Moore, NC,88247,16.8
Nash, NC,95840,14.2
New Hanover, NC,202667,16.2
Northampton, NC,22099,-6.3
Onslow, NC,177772,32.9
Orange, NC,133801,21.8
Pamlico, NC,13144,9.3
Pasquotank, NC,40661,10
Pender, NC,52217,29.6
Perquimans, NC,13453,10.1
Person, NC,39464,3.5
Pitt, NC,168148,20.3
Polk, NC,20510,11
Randolph, NC,141752,16.7
Richmond, NC,46639,-1.4
Robeson, NC,134168,3.5
Rockingham, NC,93643,3.2
Rowan, NC,138428,11.5
Rutherford, NC,67810,5.8
Sampson, NC,63431,-4.8
Scotland, NC,36157,4.6
Stanly, NC,60585,6.7
Stokes, NC,47401,12.5
Surry, NC,73673,3.8
Swain, NC,13981,9.6
Transylvania, NC,33090,9
Tyrrell, NC,4407,-3
Union, NC,201292,19.6
Vance, NC,45422,5.8
Wake, NC,900993,41.4
Warren, NC,20972,6.4
Washington, NC,13228,-5.4
Watauga, NC,51079,16.7
Wayne, NC,122623,7.8
Wilkes, NC,69340,1.3
Wilson, NC,81234,4.6
Yadkin, NC,38406,7.2
Yancey, NC,17818,3.2
NORTH DAKOTA,,672591,-2.1
Adams, ND,2343,-11.4
Barnes, ND,11066,-10.1
Benson, ND,6660,-9.4
Billings, ND,783,-2.6
Bottineau, ND,6429,-13.3
Bowman, ND,3151,-15
Burke, ND,1968,-21.5
Burleigh, ND,81308,9.7
Cass, ND,149778,16.6
Cavalier, ND,3993,-20.6
Dickey, ND,5289,-15.3
Divide, ND,2071,-17
Dunn, ND,3536,-13.4
Eddy, ND,2385,-17
Emmons, ND,3550,-17.8
Foster, ND,3343,-13.6
Golden Valley, ND,1680,-11.8
Grand Forks, ND,66861,6.9
Grant, ND,2394,-17
Griggs, ND,2420,-11.1
Hettinger, ND,2477,-19.4
Kidder, ND,2435,-13.1
LaMoure, ND,4139,-16.8
Logan, ND,1990,-18.5
McHenry, ND,5395,-16.9
McIntosh, ND,2809,-16.2
McKenzie, ND,6360,-10.5
McLean, ND,8962,-15.6
Mercer, ND,8424,4.3
Morton, ND,27471,-5.9
Mountrail, ND,7673,-8.6
Nelson, ND,3126,-15.7
Oliver, ND,1846,-4.6
Pembina, ND,7413,-11.2
Pierce, ND,4357,-18.1
Ramsey, ND,11451,-2.8
Ransom, ND,5457,-11.6
Renville, ND,2470,-12.4
Richland, ND,16321,-5.5
Rolette, ND,13937,4.9
Sargent, ND,3829,-17.5
Sheridan, ND,1321,-23.8
Sioux, ND,4153,3.9
Slope, ND,727,-21.6
Stark, ND,24199,-3.7
Steele, ND,1975,-22.1
Stutsman, ND,21100,-7.9
Towner, ND,2246,-10.5
Traill, ND,8121,-9.1
Walsh, ND,11119,-10
Ward, ND,61675,-0.8
Wells, ND,4207,-16
Williams, ND,22398,-5
OHIO,,11536504,0.5
Adams, OH,28550,4.3
Allen, OH,106331,-2.2
Ashland, OH,53139,2.9
Ashtabula, OH,101497,-4.2
Athens, OH,64757,5.6
Auglaize, OH,45949,4.8
Belmont, OH,70400,-13.9
Brown, OH,44846,9.5
Butler, OH,368130,12.6
Carroll, OH,28836,3.6
Champaign, OH,40097,7
Clark, OH,138333,-1.8
Clermont, OH,197363,16.9
Clinton, OH,42040,2.4
Columbiana, OH,107841,-4.7
Coshocton, OH,36901,-1.7
Crawford, OH,43784,-4.4
Cuyahoga, OH,1280122,-5.8
Darke, OH,52959,-2.7
Defiance, OH,39037,-1.6
Delaware, OH,174214,24.3
Erie, OH,77079,-3.6
Fairfield, OH,146156,10.5
Fayette, OH,29030,0
Franklin, OH,1163414,10.6
Fulton, OH,42698,2
Gallia, OH,30934,2.8
Geauga, OH,93389,8.9
Greene, OH,161573,5.4
Guernsey, OH,40087,-7.1
Hamilton, OH,802374,-0.8
Hancock, OH,74782,1.5
Hardin, OH,32058,-4.9
Harrison, OH,15864,-11.4
Henry, OH,28215,2.6
Highland, OH,43589,6.7
Hocking, OH,29380,5.1
Holmes, OH,42366,11.7
Huron, OH,59626,3
Jackson, OH,33225,-1.2
Jefferson, OH,69709,-12.3
Knox, OH,60921,2.5
Lake, OH,230041,1.3
Lawrence, OH,62450,-3.2
Licking, OH,166492,6
Logan, OH,45858,8.1
Lorain, OH,301356,-1.4
Lucas, OH,441815,-2
Madison, OH,43435,12.3
Mahoning, OH,238823,-8.5
Marion, OH,66501,-5.4
Medina, OH,172332,8.1
Meigs, OH,23770,-2.8
Mercer, OH,40814,2.9
Miami, OH,102506,3.1
Monroe, OH,14642,-10.8
Montgomery, OH,535153,0.4
Morgan, OH,15054,-0.3
Morrow, OH,34827,4.8
Muskingum, OH,86074,-1.5
Noble, OH,14645,0.2
Ottawa, OH,41428,-0.1
Paulding, OH,19614,-3.8
Perry, OH,36058,1.7
Pickaway, OH,55698,10.5
Pike, OH,28709,6.3
Portage, OH,161419,5
Preble, OH,42270,4.9
Putnam, OH,34499,2.5
Richland, OH,124475,-3.9
Ross, OH,78064,6.7
Sandusky, OH,60944,-2.1
Scioto, OH,79499,-5
Seneca, OH,56745,-3.5
Shelby, OH,49423,4.2
Stark, OH,375586,-3
Summit, OH,541781,-1.8
Trumbull, OH,210312,-5.8
Tuscarawas, OH,92582,-0.6
Union, OH,52300,8.2
Van Wert, OH,28744,0
Vinton, OH,13435,-4.2
Warren, OH,212693,14.8
Washington, OH,61778,-3.1
Wayne, OH,114520,4.2
Williams, OH,37642,1.6
Wood, OH,125488,5.5
Wyandot, OH,22615,-1.8
OKLAHOMA,,3751351,4
Adair, OK,22683,-0.8
Alfalfa, OK,5642,-9.3
Atoka, OK,14182,0.2
Beaver, OK,5636,-11.5
Beckham, OK,22119,-2.2
Blaine, OK,11943,-14.7
Bryan, OK,42416,5.1
Caddo, OK,29600,-4.4
Canadian, OK,115541,31.8
Carter, OK,47557,-1.6
Cherokee, OK,46987,11
Choctaw, OK,15205,-11.1
Cimarron, OK,2475,-9.5
Cleveland, OK,255755,30.8
Coal, OK,5925,-4.3
Comanche, OK,124098,-0.9
Cotton, OK,6193,-9.4
Craig, OK,15029,-6.1
Creek, OK,69967,3.2
Custer, OK,27469,3.5
Delaware, OK,41487,17.2
Dewey, OK,4810,-6.3
Ellis, OK,4151,-19.6
Garfield, OK,60580,-9.7
Garvin, OK,27576,-4.5
Grady, OK,52431,5.7
Grant, OK,4527,-12.7
Greer, OK,6239,-6.7
Harmon, OK,2922,-16.1
Harper, OK,3685,-13.8
Haskell, OK,12769,-0.6
Hughes, OK,14003,-9.2
Jackson, OK,26446,-5.2
Jefferson, OK,6472,-15.5
Johnston, OK,10957,-3.1
Kay, OK,46562,-3.6
Kingfisher, OK,15034,-6.9
Kiowa, OK,9446,-10.7
Latimer, OK,11154,5
Le Flore, OK,50384,6.3
Lincoln, OK,34273,9.8
Logan, OK,41848,7.9
Love, OK,9423,4.3
McClain, OK,34506,12.3
McCurtain, OK,33151,-7.5
McIntosh, OK,20252,7.8
Major, OK,7527,-8.2
Marshall, OK,15840,2.6
Mayes, OK,41259,3.4
Murray, OK,13488,-0.9
Muskogee, OK,70990,1.6
Noble, OK,11561,-4.6
Nowata, OK,10536,-13
Okfuskee, OK,12191,3.8
Oklahoma, OK,718633,5.4
Okmulgee, OK,40069,-6.8
Osage, OK,47472,5.9
Ottawa, OK,31848,-7
Pawnee, OK,16577,1.7
Payne, OK,77350,-1.5
Pittsburg, OK,45837,1.1
Pontotoc, OK,37492,4.7
Pottawatomie, OK,69442,6.4
Pushmataha, OK,11572,-6.6
Roger Mills, OK,3647,-13.6
Rogers, OK,86905,18.8
Seminole, OK,25482,-7.5
Sequoyah, OK,42391,10
Stephens, OK,45048,-2.6
Texas, OK,20640,-7.4
Tillman, OK,7992,-16.2
Tulsa, OK,603403,7
Wagoner, OK,73085,14.5
Washington, OK,50976,-0.1
Washita, OK,11629,-17.1
Woods, OK,8878,-16.7
Woodward, OK,20081,-10.4
OREGON,,3831074,7.9
Baker, OR,16134,-5.1
Benton, OR,85579,3.8
Clackamas, OR,375992,15.3
Clatsop, OR,37039,2.5
Columbia, OR,49351,5.4
Coos, OR,63043,-5.9
Crook, OR,20978,7.8
Curry, OR,22364,13.7
Deschutes, OR,157733,20.7
Douglas, OR,107667,1
Gilliam, OR,1871,-16.5
Grant, OR,7445,-4.3
Harney, OR,7422,-15.1
Hood River, OR,22346,6.7
Jackson, OR,203206,10.5
Jefferson, OR,21720,17.9
Josephine, OR,82713,6.4
Klamath, OR,66380,-2.4
Lake, OR,7895,-4.6
Lane, OR,351715,2.8
Lincoln, OR,46034,10.3
Linn, OR,116672,1.9
Malheur, OR,31313,-3.2
Marion, OR,315335,11.6
Morrow, OR,11173,1.4
Multnomah, OR,735334,3.8
Polk, OR,75403,9.6
Sherman, OR,1765,-11.7
Tillamook, OR,25250,1.9
Umatilla, OR,75889,0.7
Union, OR,25748,-1.4
Wallowa, OR,7008,-5
Wasco, OR,25213,-0.2
Washington, OR,529710,26.7
Wheeler, OR,1441,-7.7
Yamhill, OR,99193,18.5
PENNSYLVANIA,,12702379,0.2
Adams, PA,101407,14.6
Allegheny, PA,1223348,-7.8
Armstrong, PA,68941,-5.5
Beaver, PA,170539,-9
Bedford, PA,49762,2.4
Berks, PA,411442,7.7
Blair, PA,127089,-4.4
Bradford, PA,62622,-3.1
Bucks, PA,625249,12.9
Butler, PA,183862,2.8
Cambria, PA,143679,-11
Cameron, PA,5085,-11.4
Carbon, PA,65249,6.7
Centre, PA,153990,10.7
Chester, PA,498886,18.9
Clarion, PA,39988,-3.8
Clearfield, PA,81642,-6.6
Clinton, PA,39238,-4.6
Columbia, PA,67295,2
Crawford, PA,88765,-3
Cumberland, PA,235406,8.7
Dauphin, PA,268100,2.4
Delaware, PA,558979,-1.3
Elk, PA,31946,-9
Erie, PA,280566,-1.5
Fayette, PA,136606,-8.8
Forest, PA,7716,-5.3
Franklin, PA,149618,6.6
Fulton, PA,14845,7.7
Greene, PA,38686,-2.3
Huntingdon, PA,45913,4.5
Indiana, PA,88880,-2.5
Jefferson, PA,45200,-4.6
Juniata, PA,24636,7.5
Lackawanna, PA,214437,-3.9
Lancaster, PA,519445,16.7
Lawrence, PA,91108,-10.2
Lebanon, PA,133568,4.8
Lehigh, PA,349497,6.9
Luzerne, PA,320918,-4.4
Lycoming, PA,116111,0.2
McKean, PA,43450,-6.9
Mercer, PA,116638,-5.7
Mifflin, PA,46682,-1.5
Monroe, PA,169842,37.9
Montgomery, PA,799874,5.4
Montour, PA,18267,6.4
Northampton, PA,297735,9.6
Northumberland, PA,94528,-3.6
Perry, PA,45969,15.3
Philadelphia, PA,1526006,-6.1
Pike, PA,57369,53.1
Potter, PA,17457,-5.7
Schuylkill, PA,148289,-5
Snyder, PA,39702,9.2
Somerset, PA,77742,-3.7
Sullivan, PA,6428,-3.9
Susquehanna, PA,43356,6.6
Tioga, PA,41981,0.4
Union, PA,44947,10.1
Venango, PA,54984,-7.9
Warren, PA,41815,-5.1
Washington, PA,207820,-5.8
Wayne, PA,52822,13.4
Westmoreland, PA,365169,-5.6
Wyoming, PA,28276,6.2
York, PA,434972,8.5
RHODE ISLAND,,1052567,5.9
Bristol, RI,49875,4.1
Kent, RI,166158,4.5
Newport, RI,82888,7.1
Providence, RI,626667,4.4
Washington, RI,126979,17.9
SOUTH CAROLINA,,4625364,11.7
Abbeville, SC,25417,5.5
Aiken, SC,160099,14.5
Allendale, SC,10419,9.6
Anderson, SC,187126,9
Bamberg, SC,15987,-6.7
Barnwell, SC,22621,2.1
Beaufort, SC,162233,32.2
Berkeley, SC,177843,35.9
Calhoun, SC,15175,4.5
Charleston, SC,350209,6.7
Cherokee, SC,55342,8.6
Chester, SC,33140,6.7
Chesterfield, SC,46734,1.1
Clarendon, SC,34971,3.6
Colleton, SC,38892,8.2
Darlington, SC,68681,-1.4
Dillon, SC,32062,-6.3
Dorchester, SC,136555,40.7
Edgefield, SC,26985,4.7
Fairfield, SC,23956,7.7
Florence, SC,136885,3.8
Georgetown, SC,60158,9
Greenville, SC,451225,11.2
Greenwood, SC,69661,6.6
Hampton, SC,21090,0.2
Horry, SC,269291,42
Jasper, SC,24777,6.8
Kershaw, SC,61697,11.7
Lancaster, SC,76652,2.2
Laurens, SC,66537,11.3
Lee, SC,19220,-2.6
Lexington, SC,262391,19.4
McCormick, SC,10233,13.7
Marion, SC,33062,-0.8
Marlboro, SC,28933,-6.1
Newberry, SC,37508,6.2
