Areaname,,"Unmployment (%,(2010))"
UNITED STATES,,9.6
ALABAMA,,9.5
Autauga, AL,8
Baldwin, AL,8.9
Barbour, AL,12.1
Bibb, AL,10.7
Blount, AL,8.9
Bullock, AL,14.7
Butler, AL,12.1
Calhoun, AL,9.5
Chambers, AL,13.7
Cherokee, AL,9.1
Chilton, AL,9.4
Choctaw, AL,11.4
Clarke, AL,15.8
Clay, AL,13.9
Cleburne, AL,8.4
Coffee, AL,7.3
Colbert, AL,9.7
Conecuh, AL,16.3
Coosa, AL,13.1
Covington, AL,9.1
Crenshaw, AL,8.7
Cullman, AL,8.8
Dale, AL,8.5
Dallas, AL,17.3
DeKalb, AL,11.6
Elmore, AL,8.4
Escambia, AL,11.1
Etowah, AL,9.4
Fayette, AL,11.8
Franklin, AL,10.1
Geneva, AL,9
Greene, AL,16.9
Hale, AL,12.1
Henry, AL,9.4
Houston, AL,8.4
Jackson, AL,9.7
Jefferson, AL,9.4
Lamar, AL,12.8
Lauderdale, AL,8.8
Lawrence, AL,11
Lee, AL,8.2
Limestone, AL,8.3
Lowndes, AL,15.4
Macon, AL,13.2
Madison, AL,7.3
Marengo, AL,12.4
Marion, AL,13.5
Marshall, AL,8.5
Mobile, AL,10.2
Monroe, AL,17.1
Montgomery, AL,9.3
Morgan, AL,9.6
Perry, AL,16.3
Pickens, AL,11.3
Pike, AL,7.8
Randolph, AL,12.5
Russell, AL,10.5
St. Clair, AL,9.3
Shelby, AL,7
Sumter, AL,14.2
Talladega, AL,11.5
Tallapoosa, AL,12.7
Tuscaloosa, AL,8.3
Walker, AL,10.6
Washington, AL,13.3
Wilcox, AL,21.7
Winston, AL,15
ALASKA,,8
Aleutians East, AK,8.5
Aleutians West, AK,6.5
Anchorage, AK,6.9
Bethel, AK,15
Bristol Bay, AK,3.9
Denali, AK,9.3
Dillingham, AK,10.1
Fairbanks North Star, AK,7.1
Haines, AK,8.7
Hoonah-Angoon, AK,15.4
Juneau, AK,5.8
Kenai Peninsula, AK,10
Ketchikan Gateway, AK,7.6
Kodiak Island, AK,7.1
Lake and Peninsula, AK,8.1
Matanuska-Susitna, AK,9.1
Nome, AK,13
North Slope, AK,5.1
Northwest Arctic, AK,13.4
Petersburg, AK,10.2
Prince of Wales-Hyder, AK,14.8
Sitka, AK,6.3
Skagway, AK,13.4
Southeast Fairbanks, AK,10.6
Valdez-Cordova, AK,8.7
Wade Hampton, AK,20.4
Wrangell, AK,0
Yakutat, AK,10.7
Yukon-Koyukuk, AK,15.4
ARIZONA,,10
Apache, AZ,16.4
Cochise, AZ,8.4
Coconino, AZ,8.9
Gila, AZ,11.1
Graham, AZ,13.5
Greenlee, AZ,11.1
La Paz, AZ,9.9
Maricopa, AZ,9.1
Mohave, AZ,11.2
Navajo, AZ,15.7
Pima, AZ,9
Pinal, AZ,12
Santa Cruz, AZ,16.3
Yavapai, AZ,10.5
Yuma, AZ,25.3
ARKANSAS,,7.9
Arkansas, AR,16.6
Ashley, AR,10.1
Baxter, AR,8.9
Benton, AR,6.4
Boone, AR,7.3
Bradley, AR,9.6
Calhoun, AR,8.9
Carroll, AR,6.6
Chicot, AR,11.2
Clark, AR,8.1
Clay, AR,12
Cleburne, AR,7.3
Cleveland, AR,8.3
Columbia, AR,9.4
Conway, AR,8.1
Craighead, AR,7.2
Crawford, AR,7.8
Crittenden, AR,11.1
Cross, AR,8.5
Dallas, AR,10.9
Desha, AR,11.6
Drew, AR,10.8
Faulkner, AR,7.4
Franklin, AR,7
Fulton, AR,7.4
Garland, AR,8.1
Grant, AR,6.9
Greene, AR,9.8
Hempstead, AR,9.2
Hot Spring, AR,7.7
Howard, AR,8.3
Independence, AR,8.2
Izard, AR,9.4
Jackson, AR,10.6
Jefferson, AR,9.9
Johnson, AR,7.5
Lafayette, AR,9.8
Lawrence, AR,9.3
Lee, AR,9.5
Lincoln, AR,9.6
Little River, AR,7.5
Logan, AR,8.2
Lonoke, AR,6.7
Madison, AR,6.7
Marion, AR,10.2
Miller, AR,5.8
Mississippi, AR,11.4
Monroe, AR,8.4
Montgomery, AR,7.8
Nevada, AR,9.2
Newton, AR,7.4
Ouachita, AR,8.5
Perry, AR,8.2
Phillips, AR,9.5
Pike, AR,8.5
Poinsett, AR,9
Polk, AR,7.5
Pope, AR,7.7
Prairie, AR,8.5
Pulaski, AR,7
Randolph, AR,9.5
St. Francis, AR,10.2
Saline, AR,6.8
Scott, AR,6.8
Searcy, AR,8.4
Sebastian, AR,7.3
Sevier, AR,6.1
Sharp, AR,9.6
Stone, AR,8.8
Union, AR,10.6
Van Buren, AR,9.8
Washington, AR,6.3
White, AR,8.4
Woodruff, AR,10.8
Yell, AR,6.7
CALIFORNIA,,12.4
Alameda, CA,11.3
Alpine, CA,15.7
Amador, CA,13.4
Butte, CA,13.9
Calaveras, CA,15.6
Colusa, CA,20.4
Contra Costa, CA,11.2
Del Norte, CA,13.3
El Dorado, CA,12.6
Fresno, CA,16.8
Glenn, CA,16.3
Humboldt, CA,11.5
Imperial, CA,29.7
Inyo, CA,10
Kern, CA,15.9
Kings, CA,16.5
Lake, CA,18.1
Lassen, CA,14.2
Los Angeles, CA,12.6
Madera, CA,15.6
Marin, CA,8.3
Mariposa, CA,12.1
Mendocino, CA,11.4
Merced, CA,18.9
Modoc, CA,14.1
Mono, CA,10.3
Monterey, CA,12.8
Napa, CA,9.8
Nevada, CA,11.5
Orange, CA,9.6
Placer, CA,11.5
Plumas, CA,16.8
Riverside, CA,14.7
Sacramento, CA,12.8
San Benito, CA,17.6
San Bernardino, CA,14.2
San Diego, CA,10.5
San Francisco, CA,9.5
San Joaquin, CA,17.3
San Luis Obispo, CA,10.2
San Mateo, CA,8.9
Santa Barbara, CA,9.4
Santa Clara, CA,11.1
Santa Cruz, CA,12.7
Shasta, CA,16
Sierra, CA,15.8
Siskiyou, CA,17.6
Solano, CA,12
Sonoma, CA,10.5
Stanislaus, CA,17.4
Sutter, CA,19.8
Tehama, CA,15.8
Trinity, CA,18.7
Tulare, CA,16.8
Tuolumne, CA,14
Ventura, CA,10.8
Yolo, CA,13
Yuba, CA,19.1
COLORADO,,8.9
Adams, CO,10.2
Alamosa, CO,7.6
Arapahoe, CO,8.8
Archuleta, CO,10.2
Baca, CO,4.3
Bent, CO,8.1
Boulder, CO,7.1
Broomfield, CO,7.9
Chaffee, CO,7.9
Cheyenne, CO,3.4
Clear Creek, CO,8.5
Conejos, CO,9.3
Costilla, CO,10.9
Crowley, CO,10.5
Custer, CO,6.9
Delta, CO,9.7
Denver, CO,9.7
Dolores, CO,17.5
Douglas, CO,7.1
Eagle, CO,9.5
Elbert, CO,8.3
El Paso, CO,9.6
Fremont, CO,10.5
Garfield, CO,10
Gilpin, CO,7.7
Grand, CO,9
Gunnison, CO,7.1
Hinsdale, CO,4.6
Huerfano, CO,12.3
Jackson, CO,6.7
Jefferson, CO,8.6
Kiowa, CO,5.1
Kit Carson, CO,4.8
Lake, CO,12.6
La Plata, CO,7.2
Larimer, CO,7.4
Las Animas, CO,9.7
Lincoln, CO,4.9
Logan, CO,6.5
Mesa, CO,10.6
Mineral, CO,7.2
Moffat, CO,9.5
Montezuma, CO,9.2
Montrose, CO,11.1
Morgan, CO,6.9
Otero, CO,8.7
Ouray, CO,7.8
Park, CO,8.9
Phillips, CO,4.8
Pitkin, CO,8.1
Prowers, CO,6.6
Pueblo, CO,10.4
Rio Blanco, CO,6.6
Rio Grande, CO,8
Routt, CO,9.4
Saguache, CO,9.7
San Juan, CO,10.8
San Miguel, CO,7.7
Sedgwick, CO,5.1
Summit, CO,7.8
Teller, CO,9.7
Washington, CO,5.4
Weld, CO,10.2
Yuma, CO,4.2
CONNECTICUT,,9.1
Fairfield, CT,8.3
Hartford, CT,9.7
Litchfield, CT,8.8
Middlesex, CT,7.7
New Haven, CT,10.1
New London, CT,8.7
Tolland, CT,7.8
Windham, CT,10.3
DELAWARE,,8.5
Kent, DE,8.4
New Castle, DE,8.6
Sussex, DE,8.3
DISTRICT OF COLUMBIA,,9.9
District of Columbia,,9.9
FLORIDA,,11.5
Alachua, FL,8.2
Baker, FL,10.9
Bay, FL,10.3
Bradford, FL,9.6
Brevard, FL,11.5
Broward, FL,10.1
Calhoun, FL,9
Charlotte, FL,12.4
Citrus, FL,12.9
Clay, FL,10.5
Collier, FL,12
Columbia, FL,10.7
DeSoto, FL,11.1
Dixie, FL,12.6
Duval, FL,11.7
Escambia, FL,10.9
Flagler, FL,15.5
Franklin, FL,8.4
Gadsden, FL,10.6
Gilchrist, FL,9.9
Glades, FL,9.6
Gulf, FL,10.8
Hamilton, FL,12.2
Hardee, FL,11.5
Hendry, FL,15.6
Hernando, FL,14.5
Highlands, FL,11.7
Hillsborough, FL,11.8
Holmes, FL,8.6
Indian River, FL,14
Jackson, FL,8.2
Jefferson, FL,9.3
Lafayette, FL,8.3
Lake, FL,12
Lee, FL,12.8
Leon, FL,8.2
Levy, FL,12.2
Liberty, FL,6.9
Madison, FL,11.7
Manatee, FL,12.3
Marion, FL,13.8
Martin, FL,11.8
Miami-Dade, FL,12.4
Monroe, FL,7.4
Nassau, FL,10.9
Okaloosa, FL,8.1
Okeechobee, FL,12.7
Orange, FL,11.4
Osceola, FL,12.4
Palm Beach, FL,11.7
Pasco, FL,13.1
Pinellas, FL,11.7
Polk, FL,12.5
Putnam, FL,12.6
St. Johns, FL,9.5
St. Lucie, FL,14.1
Santa Rosa, FL,9.8
Sarasota, FL,12.2
Seminole, FL,10.7
Sumter, FL,9.2
Suwannee, FL,10.5
Taylor, FL,11.5
Union, FL,8.7
Volusia, FL,12
Wakulla, FL,8.2
Walton, FL,8.2
Washington, FL,11.3
GEORGIA,,10.2
Appling, GA,10.7
Atkinson, GA,16.2
Bacon, GA,10.3
Baker, GA,10
Baldwin, GA,15.7
Banks, GA,7.3
Barrow, GA,10.3
Bartow, GA,11.7
Ben Hill, GA,14.4
Berrien, GA,12
Bibb, GA,10.6
Bleckley, GA,12.2
Brantley, GA,11.6
Brooks, GA,8.8
Bryan, GA,8.3
Bulloch, GA,10.1
Burke, GA,11
Butts, GA,11.8
Calhoun, GA,10.6
Camden, GA,9.9
Candler, GA,9.8
Carroll, GA,11.1
Catoosa, GA,8
Charlton, GA,11.5
Chatham, GA,9.1
Chattahoochee, GA,16
Chattooga, GA,12
Cherokee, GA,8.9
Clarke, GA,7.9
Clay, GA,8.7
Clayton, GA,12.4
Clinch, GA,11.6
Cobb, GA,9.7
Coffee, GA,17.1
Colquitt, GA,9.8
Columbia, GA,7
Cook, GA,13
Coweta, GA,9.8
Crawford, GA,10.7
Crisp, GA,13.4
Dade, GA,8.8
Dawson, GA,10.1
Decatur, GA,13.8
DeKalb, GA,10.4
Dodge, GA,11.9
Dooly, GA,11.4
Dougherty, GA,12
Douglas, GA,11.1
Early, GA,9.7
Echols, GA,7.1
Effingham, GA,8.7
Elbert, GA,13.6
Emanuel, GA,11.6
Evans, GA,9.3
Fannin, GA,10.7
Fayette, GA,8.7
Floyd, GA,10.7
Forsyth, GA,8.2
Franklin, GA,11.7
Fulton, GA,10.6
Gilmer, GA,10.6
Glascock, GA,12.2
Glynn, GA,9.4
Gordon, GA,12.4
Grady, GA,9.2
Greene, GA,11.5
Gwinnett, GA,9.2
Habersham, GA,10
Hall, GA,9.1
Hancock, GA,22.4
Haralson, GA,11.7
Harris, GA,7.4
Hart, GA,11.9
Heard, GA,12.5
Henry, GA,10.4
Houston, GA,7.6
Irwin, GA,13.8
Jackson, GA,10.8
Jasper, GA,11.7
Jeff Davis, GA,14.4
Jefferson, GA,14.4
Jenkins, GA,19.5
Johnson, GA,12.4
Jones, GA,9.5
Lamar, GA,12.6
Lanier, GA,9.3
Laurens, GA,12.3
Lee, GA,8.3
Liberty, GA,9.2
Lincoln, GA,11
Long, GA,7.2
Lowndes, GA,8.8
Lumpkin, GA,10.9
McDuffie, GA,10.3
McIntosh, GA,11.4
Macon, GA,13.7
Madison, GA,8.4
Marion, GA,9.9
Meriwether, GA,13.1
Miller, GA,8.3
Mitchell, GA,10.7
Monroe, GA,9.3
Montgomery, GA,10.7
Morgan, GA,9.9
Murray, GA,12
Muscogee, GA,9.4
Newton, GA,12.2
Oconee, GA,6.6
Oglethorpe, GA,8.5
Paulding, GA,10.6
Peach, GA,12
Pickens, GA,9.8
Pierce, GA,9.7
Pike, GA,10.4
Polk, GA,10.6
Pulaski, GA,8.8
Putnam, GA,11.5
Quitman, GA,13.4
Rabun, GA,12.2
Randolph, GA,13
Richmond, GA,10.3
Rockdale, GA,11.6
Schley, GA,14.4
Screven, GA,14.1
Seminole, GA,10.7
Spalding, GA,13.3
Stephens, GA,10.5
Stewart, GA,10.6
Sumter, GA,13.4
Talbot, GA,8.7
Taliaferro, GA,13.3
Tattnall, GA,9.8
Taylor, GA,13.3
Telfair, GA,17.3
Terrell, GA,11.1
Thomas, GA,9.4
Tift, GA,12
Toombs, GA,10.6
Towns, GA,9.6
Treutlen, GA,12.7
Troup, GA,11.4
Turner, GA,13.4
Twiggs, GA,11.5
Union, GA,9.3
Upson, GA,12.4
Walker, GA,9.7
Walton, GA,10.3
Ware, GA,11.3
Warren, GA,17.4
Washington, GA,15.4
Wayne, GA,12.4
Webster, GA,10.3
Wheeler, GA,10.9
White, GA,10.1
Whitfield, GA,12
Wilcox, GA,12.5
Wilkes, GA,11.7
Wilkinson, GA,12
Worth, GA,11.4
HAWAII,,6.6
Hawaii, HI,9.8
Honolulu, HI,5.6
Kalawao, HI,0
Kauai, HI,8.7
Maui, HI,8.3
IDAHO,,9.3
Ada, ID,8.9
Adams, ID,17.2
Bannock, ID,8.5
Bear Lake, ID,6.6
Benewah, ID,14
Bingham, ID,7.3
Blaine, ID,9.6
Boise, ID,10
Bonner, ID,12.8
Bonneville, ID,7
Boundary, ID,15.6
Butte, ID,6.5
Camas, ID,12.6
Canyon, ID,11.3
Caribou, ID,8
Cassia, ID,7.1
Clark, ID,9
Clearwater, ID,15.5
Custer, ID,7.4
Elmore, ID,9.3
Franklin, ID,5.8
Fremont, ID,10.1
Gem, ID,11.7
Gooding, ID,7.1
Idaho, ID,11.6
Jefferson, ID,7.7
Jerome, ID,8.5
Kootenai, ID,11
Latah, ID,7.9
Lemhi, ID,10.5
Lewis, ID,6.3
Lincoln, ID,13.4
Madison, ID,6.6
Minidoka, ID,7.7
Nez Perce, ID,7.3
Oneida, ID,5.3
Owyhee, ID,5.2
Payette, ID,9.7
Power, ID,10
Shoshone, ID,15
Teton, ID,7.9
Twin Falls, ID,8.4
Valley, ID,16.3
Washington, ID,10.7
ILLINOIS,,10.3
Adams, IL,7.4
Alexander, IL,11.8
Bond, IL,10.1
Boone, IL,15.9
Brown, IL,5.1
Bureau, IL,11.4
Calhoun, IL,10.9
Carroll, IL,11.3
Cass, IL,7.8
Champaign, IL,9
Christian, IL,10
Clark, IL,12.6
Clay, IL,12.1
Clinton, IL,8.3
Coles, IL,9.6
Cook, IL,10.5
Crawford, IL,9.5
Cumberland, IL,10.4
DeKalb, IL,9.7
De Witt, IL,8.8
Douglas, IL,9.3
DuPage, IL,8.3
Edgar, IL,10.8
Edwards, IL,9.2
Effingham, IL,8.4
Fayette, IL,11.5
Ford, IL,10.1
Franklin, IL,12.8
Fulton, IL,11.7
Gallatin, IL,10.1
Greene, IL,9.6
Grundy, IL,12.4
Hamilton, IL,9.7
Hancock, IL,11.5
Hardin, IL,11.6
Henderson, IL,10.2
Henry, IL,9.2
Iroquois, IL,10
Jackson, IL,7.9
Jasper, IL,9.6
Jefferson, IL,9.6
Jersey, IL,9.4
Jo Daviess, IL,8.8
Johnson, IL,11
Kane, IL,10.3
Kankakee, IL,13.1
Kendall, IL,9.8
Knox, IL,9.5
Lake, IL,10.5
LaSalle, IL,13.1
Lawrence, IL,9.5
Lee, IL,11
Livingston, IL,10.4
Logan, IL,9.6
McDonough, IL,8.7
McHenry, IL,9.6
McLean, IL,7.7
Macon, IL,11.8
Macoupin, IL,10.6
Madison, IL,9.8
Marion, IL,12.1
Marshall, IL,9.6
Mason, IL,12.5
Massac, IL,9.7
Menard, IL,7.9
Mercer, IL,10.8
Monroe, IL,7.8
Montgomery, IL,13.1
Morgan, IL,9.4
Moultrie, IL,8.6
Ogle, IL,13.5
Peoria, IL,10.8
Perry, IL,11.9
Piatt, IL,8.4
Pike, IL,8.8
Pope, IL,10.9
Pulaski, IL,11.2
Putnam, IL,12
Randolph, IL,9.1
Richland, IL,10
Rock Island, IL,9.5
St. Clair, IL,10.9
Saline, IL,10.1
Sangamon, IL,8
Schuyler, IL,7.4
Scott, IL,9.7
Shelby, IL,10.2
Stark, IL,10.8
Stephenson, IL,11.7
Tazewell, IL,10.1
Union, IL,12.1
Vermilion, IL,12.1
Wabash, IL,10
Warren, IL,8.4
Washington, IL,7.9
Wayne, IL,9.7
White, IL,8.7
Whiteside, IL,10.8
Will, IL,10.4
Williamson, IL,9.4
Winnebago, IL,15.2
Woodford, IL,8.1
INDIANA,,10.2
Adams, IN,11.1
Allen, IN,10.5
Bartholomew, IN,9.3
Benton, IN,10.3
Blackford, IN,13
Boone, IN,7.9
Brown, IN,10
Carroll, IN,9.5
Cass, IN,10.7
Clark, IN,9.4
Clay, IN,10.6
Clinton, IN,10.3
Crawford, IN,12.1
Daviess, IN,6.3
Dearborn, IN,10.8
Decatur, IN,11.6
DeKalb, IN,12
Delaware, IN,11.2
Dubois, IN,7.5
Elkhart, IN,13.6
Fayette, IN,14.4
Floyd, IN,8.8
Fountain, IN,11.8
Franklin, IN,11
Fulton, IN,11.5
Gibson, IN,7.8
Grant, IN,11.5
Greene, IN,9.1
Hamilton, IN,7
Hancock, IN,9.1
Harrison, IN,9.2
Hendricks, IN,8.1
Henry, IN,13.1
Howard, IN,12.4
Huntington, IN,11.7
Jackson, IN,10
Jasper, IN,10.3
Jay, IN,9.8
Jefferson, IN,11.1
Jennings, IN,12.4
Johnson, IN,8.5
Knox, IN,7.3
Kosciusko, IN,10.3
LaGrange, IN,12.9
Lake, IN,11
LaPorte, IN,12
Lawrence, IN,12
Madison, IN,11.4
Marion, IN,10
Marshall, IN,11.7
Martin, IN,7.3
Miami, IN,12.5
Monroe, IN,7.3
Montgomery, IN,10
Morgan, IN,9.8
Newton, IN,11
Noble, IN,13.9
Ohio, IN,11
Orange, IN,11.2
Owen, IN,10.3
Parke, IN,10
Perry, IN,10.1
Pike, IN,8.9
Porter, IN,8.9
Posey, IN,7.8
Pulaski, IN,9.3
Putnam, IN,11.1
Randolph, IN,11.7
Ripley, IN,11.2
Rush, IN,10.3
St. Joseph, IN,11.5
Scott, IN,12.5
Shelby, IN,10
Spencer, IN,9
Starke, IN,12.9
Steuben, IN,12.4
Sullivan, IN,10.5
Switzerland, IN,7.9
Tippecanoe, IN,9.1
Tipton, IN,11.3
Union, IN,10.3
Vanderburgh, IN,8.7
Vermillion, IN,12.7
Vigo, IN,11.2
Wabash, IN,11.1
Warren, IN,9.4
Warrick, IN,7.8
Washington, IN,10.5
Wayne, IN,12.5
Wells, IN,9.6
White, IN,10.7
Whitley, IN,10.5
IOWA,,6.1
Adair, IA,5.3
Adams, IA,5.2
Allamakee, IA,8.3
Appanoose, IA,7.5
Audubon, IA,6
Benton, IA,6.4
Black Hawk, IA,6
Boone, IA,5.6
Bremer, IA,5
Buchanan, IA,6.4
Buena Vista, IA,5
Butler, IA,5.9
Calhoun, IA,5.3
Carroll, IA,4.2
Cass, IA,6.3
Cedar, IA,5.3
Cerro Gordo, IA,6.9
Cherokee, IA,4.7
Chickasaw, IA,7.3
Clarke, IA,7.8
Clay, IA,5.8
Clayton, IA,7.6
Clinton, IA,6.8
Crawford, IA,4.4
Dallas, IA,5.1
Davis, IA,7.9
Decatur, IA,6.7
Delaware, IA,5.9
Des Moines, IA,7.6
Dickinson, IA,6.8
Dubuque, IA,6
Emmet, IA,7.2
Fayette, IA,7.4
Floyd, IA,7.3
Franklin, IA,6.4
Fremont, IA,6.3
Greene, IA,6.2
Grundy, IA,5.9
Guthrie, IA,6.8
Hamilton, IA,7.8
Hancock, IA,7.2
Hardin, IA,6.7
Harrison, IA,5.1
Henry, IA,8.9
Howard, IA,6.9
Humboldt, IA,5.3
Ida, IA,5.1
Iowa, IA,6.4
Jackson, IA,7.3
Jasper, IA,8.2
Jefferson, IA,8.1
Johnson, IA,4.4
Jones, IA,6.5
Keokuk, IA,6.7
Kossuth, IA,4.8
Lee, IA,9.7
Linn, IA,6
Louisa, IA,7
Lucas, IA,5.6
Lyon, IA,3.6
Madison, IA,7
Mahaska, IA,7
Marion, IA,6.3
Marshall, IA,6.9
Mills, IA,4.4
Mitchell, IA,5.5
Monona, IA,7.9
Monroe, IA,6.8
Montgomery, IA,8.5
Muscatine, IA,7.6
O'Brien, IA,4.9
Osceola, IA,5.7
Page, IA,6.6
Palo Alto, IA,5.7
Plymouth, IA,4.6
Pocahontas, IA,5.3
Polk, IA,6.1
Pottawattamie, IA,5.2
Poweshiek, IA,5.9
Ringgold, IA,5.1
Sac, IA,4.7
Scott, IA,6.9
Shelby, IA,4.1
Sioux, IA,3.9
Story, IA,4.6
Tama, IA,6.9
Taylor, IA,5.5
Union, IA,5.7
Van Buren, IA,7.9
Wapello, IA,8
Warren, IA,6
Washington, IA,5.3
Wayne, IA,5.5
Webster, IA,7.6
Winnebago, IA,7.1
Winneshiek, IA,5.6
Woodbury, IA,6.6
Worth, IA,6.9
Wright, IA,7.1
KANSAS,,7
Allen, KS,7.6
Anderson, KS,7.8
Atchison, KS,8.9
Barber, KS,4.3
Barton, KS,5.6
Bourbon, KS,7.5
Brown, KS,6
Butler, KS,8.3
Chase, KS,5.4
Chautauqua, KS,8.5
Cherokee, KS,8.6
Cheyenne, KS,3.6
Clark, KS,4.1
Clay, KS,4.7
Cloud, KS,4.4
Coffey, KS,6.6
Comanche, KS,4.2
Cowley, KS,7.2
Crawford, KS,8.2
Decatur, KS,4.3
Dickinson, KS,6.1
Doniphan, KS,9.3
Douglas, KS,6.2
Edwards, KS,5
Elk, KS,7.7
Ellis, KS,3.7
Ellsworth, KS,4.4
Finney, KS,4.9
Ford, KS,3.8
Franklin, KS,9
Geary, KS,8.1
Gove, KS,3
Graham, KS,4.4
Grant, KS,4.1
Gray, KS,3.1
Greeley, KS,3.8
Greenwood, KS,7.6
Hamilton, KS,4.2
Harper, KS,5.3
Harvey, KS,7.4
Haskell, KS,3.6
Hodgeman, KS,4
Jackson, KS,6.5
Jefferson, KS,8.2
Jewell, KS,4.5
Johnson, KS,6.5
Kearny, KS,4.4
Kingman, KS,5.8
Kiowa, KS,4.3
Labette, KS,9.6
Lane, KS,3.4
Leavenworth, KS,8.4
Lincoln, KS,5.7
Linn, KS,10.6
Logan, KS,3.5
Lyon, KS,6.4
McPherson, KS,5.2
Marion, KS,5.8
Marshall, KS,5
Meade, KS,4
Miami, KS,7.9
Mitchell, KS,5.2
Montgomery, KS,10.4
Morris, KS,7.3
Morton, KS,4.2
Nemaha, KS,4.1
Neosho, KS,8.6
Ness, KS,3.3
Norton, KS,4.5
Osage, KS,8.3
Osborne, KS,4.7
Ottawa, KS,5.7
Pawnee, KS,4.3
Phillips, KS,4.8
Pottawatomie, KS,5.3
Pratt, KS,4.9
Rawlins, KS,4
Reno, KS,6.1
Republic, KS,4.1
Rice, KS,4.9
Riley, KS,5
Rooks, KS,6.3
Rush, KS,5.5
Russell, KS,5.2
Saline, KS,6.1
Scott, KS,3.5
Sedgwick, KS,8.7
Seward, KS,4.7
Shawnee, KS,6.9
Sheridan, KS,3
Sherman, KS,3.9
Smith, KS,4.3
Stafford, KS,5.1
Stanton, KS,3.5
Stevens, KS,4.6
Sumner, KS,8.9
Thomas, KS,4.1
Trego, KS,3.7
Wabaunsee, KS,6.5
Wallace, KS,5.4
Washington, KS,4.7
Wichita, KS,3.6
Wilson, KS,10.5
Woodson, KS,8
Wyandotte, KS,10.4
KENTUCKY,,10.5
Adair, KY,10.5
Allen, KY,12.5
Anderson, KY,10.5
Ballard, KY,10.2
Barren, KY,12
Bath, KY,14.2
Bell, KY,13.7
Boone, KY,9.5
Bourbon, KY,9.9
Boyd, KY,8.9
Boyle, KY,12.3
Bracken, KY,11.3
Breathitt, KY,11.7
Breckinridge, KY,11.3
Bullitt, KY,10.8
Butler, KY,12.3
Caldwell, KY,9.3
Calloway, KY,8.7
Campbell, KY,10.7
Carlisle, KY,8.8
Carroll, KY,13.7
Carter, KY,12.4
Casey, KY,11.1
Christian, KY,11.5
Clark, KY,10.8
Clay, KY,13.9
Clinton, KY,9.6
Crittenden, KY,10.3
Cumberland, KY,12.3
Daviess, KY,9.2
Edmonson, KY,13.2
Elliott, KY,13.1
Estill, KY,12.3
Fayette, KY,8.1
Fleming, KY,12.1
Floyd, KY,12.6
Franklin, KY,8.9
Fulton, KY,13.2
Gallatin, KY,11.6
Garrard, KY,11.8
Grant, KY,11.6
Graves, KY,10.2
Grayson, KY,14.5
Green, KY,12
Greenup, KY,9.9
Hancock, KY,9.7
Hardin, KY,9.5
Harlan, KY,11.6
Harrison, KY,10.9
Hart, KY,10.4
Henderson, KY,10.2
Henry, KY,10.1
Hickman, KY,9.1
Hopkins, KY,9.4
Jackson, KY,17.1
Jefferson, KY,10.6
