Area_name,,Vacant housing units 2010 (complete count),"Housing units - median rooms, 2005-2009",Occupied housing units 2010 (complete count),,
De Witt, IL,710,5.7,6811,,
Douglas, IL,670,5.8,7720,,
DuPage, IL,19047,6.1,337132,,
Edgar, IL,964,5.6,7839,,
Edwards, IL,347,5.6,2840,,
Effingham, IL,1055,5.7,13515,,
Fayette, IL,991,5.5,8311,,
Ford, IL,606,6.2,5676,,
Franklin, IL,1908,5.2,16617,,
Fulton, IL,1659,5.7,14536,,
Gallatin, IL,343,5.3,2403,,
Greene, IL,819,5.5,5570,,
Grundy, IL,1450,5.8,18546,,
Hamilton, IL,615,5.3,3489,,
Hancock, IL,1234,5.9,8040,,
Hardin, IL,573,5,1915,,
Henderson, IL,678,5.3,3149,,
Henry, IL,1788,6.1,20373,,
Iroquois, IL,1496,6,11956,,
Jackson, IL,3040,4.7,25538,,
Jasper, IL,405,5.6,3940,,
Jefferson, IL,1589,5.4,15365,,
Jersey, IL,1020,5.4,8828,,
Jo Daviess, IL,3821,6.1,9753,,
Johnson, IL,1014,5.3,4584,,
Kane, IL,11568,6.1,170479,,
Kankakee, IL,3735,5.6,41511,,
Kendall, IL,2299,6.7,38022,,
Knox, IL,2542,5.6,21535,,
Lake, IL,18598,6.3,241712,,
LaSalle, IL,4631,5.6,45347,,
Lawrence, IL,806,5.4,6130,,
Lee, IL,1291,6,13758,,
Livingston, IL,1282,5.9,14613,,
Logan, IL,1037,5.6,11070,,
McDonough, IL,1362,5.3,13057,,
McHenry, IL,6841,6.5,109199,,
McLean, IL,4552,5.8,65104,,
Macon, IL,4620,5.5,45855,,
Macoupin, IL,2203,5.5,19381,,
Madison, IL,9012,5.4,108094,,
Marion, IL,2148,5.4,16148,,
Marshall, IL,753,6,5161,,
Mason, IL,998,5.8,6079,,
Massac, IL,751,5.4,6362,,
Menard, IL,514,5.9,5140,,
Mercer, IL,624,6,6734,,
Monroe, IL,803,5.8,12589,,
Montgomery, IL,1428,5.6,11652,,
Morgan, IL,1411,5.5,14104,,
Moultrie, IL,502,5.7,5758,,
Ogle, IL,1705,6,20856,,
Peoria, IL,7241,5.5,75793,,
Perry, IL,1091,5.4,8335,,
Piatt, IL,487,6.1,6782,,
Pike, IL,1312,5.6,6639,,
Pope, IL,662,5,1829,,
Pulaski, IL,513,5.1,2642,,
Putnam, IL,565,5.5,2509,,
Randolph, IL,1393,5.4,12314,,
Richland, IL,787,5.6,6726,,
Rock Island, IL,4453,5.5,61303,,
St. Clair, IL,11204,5.4,105045,,
Saline, IL,1318,5.2,10379,,
Sangamon, IL,6915,5.5,82986,,
Schuyler, IL,419,5.7,3040,,
Scott, IL,245,5.8,2214,,
Shelby, IL,1180,5.6,9216,,
Stark, IL,249,6.4,2425,,
Stephenson, IL,2236,5.9,19845,,
Tazewell, IL,3370,5.8,54146,,
Union, IL,757,5.3,7167,,
Vermilion, IL,3663,5.5,32655,,
Wabash, IL,573,5.6,5012,,
Warren, IL,764,5.8,6918,,
Washington, IL,608,5.7,5926,,
Wayne, IL,873,5.3,7102,,
White, IL,868,5.3,6313,,
Whiteside, IL,2030,5.8,23740,,
Will, IL,12245,6.4,225256,,
Williamson, IL,2938,5.2,27421,,
Winnebago, IL,10464,5.6,115501,,
Woodford, IL,869,6.2,14276,,
INDIANA,,293387,5.6,2502154,,
Adams, IN,1003,5.9,12011,,
Allen, IN,14333,5.9,137851,,
Bartholomew, IN,3238,5.7,29860,,
Benton, IN,458,6.1,3479,,
Blackford, IN,815,5.5,5236,,
Boone, IN,1605,6.4,21149,,
Brown, IN,2086,5.5,6199,,
Carroll, IN,1572,5.8,7900,,
Cass, IN,1616,5.7,14858,,
Clark, IN,3528,5.4,44248,,
Clay, IN,1256,5.6,10447,,
Clinton, IN,1216,5.8,12105,,
Crawford, IN,1217,5.2,4303,,
Daviess, IN,1142,5.5,11329,,
Dearborn, IN,1428,5.8,18743,,
Decatur, IN,1232,5.5,9977,,
DeKalb, IN,1607,6,15951,,
Delaware, IN,5841,5.4,46516,,
Dubois, IN,1251,5.9,16133,,
Elkhart, IN,7523,5.7,70244,,
Fayette, IN,1179,5.5,9719,,
Floyd, IN,2489,5.7,29479,,
Fountain, IN,930,5.9,6935,,
Franklin, IN,959,5.7,8579,,
Fulton, IN,1471,5.8,8237,,
Gibson, IN,1390,5.5,13255,,
Grant, IN,3198,5.7,27245,,
Greene, IN,1724,5.3,13487,,
Hamilton, IN,6937,6.9,99835,,
Hancock, IN,1821,6.3,26304,,
Harrison, IN,1342,5.6,15192,,
Hendricks, IN,3086,6.2,52368,,
Henry, IN,2211,5.6,19077,,
Howard, IN,4378,5.6,34301,,
Huntington, IN,1587,6.1,14218,,
Jackson, IN,1701,5.4,16501,,
Jasper, IN,936,5.8,12232,,
Jay, IN,1088,5.8,8133,,
Jefferson, IN,1676,5.4,12635,,
Jennings, IN,1389,5.3,10680,,
Johnson, IN,4407,5.8,52242,,
Knox, IN,1789,5.4,15249,,
Kosciusko, IN,7841,5.8,29197,,
LaGrange, IN,2496,5.9,11598,,
Lake, IN,20593,5.5,188157,,
LaPorte, IN,6117,5.6,42331,,
Lawrence, IN,2263,5.4,18811,,
Madison, IN,7141,5.5,51927,,
Marion, IN,51686,5.3,366176,,
Marshall, IN,2439,5.9,17406,,
Martin, IN,570,5.3,4216,,
Miami, IN,2023,5.7,13456,,
Monroe, IN,4243,5.2,54864,,
Montgomery, IN,1556,5.8,14979,,
Morgan, IN,1989,5.8,25765,,
Newton, IN,527,5.9,5503,,
Noble, IN,2754,5.8,17355,,
Ohio, IN,307,5.6,2477,,
Orange, IN,1304,5.3,7872,,
Owen, IN,1605,5.1,8486,,
Parke, IN,1863,5.5,6222,,
Perry, IN,1019,5.3,7476,,
Pike, IN,549,5.2,5186,,
Porter, IN,4181,5.8,61998,,
Posey, IN,1036,5.7,10171,,
Pulaski, IN,778,5.5,5282,,
Putnam, IN,1789,5.6,12917,,
Randolph, IN,1292,5.8,10451,,
Ripley, IN,1163,5.7,10789,,
Rush, IN,741,6.3,6767,,
St. Joseph, IN,11780,5.6,103069,,
Scott, IN,1043,5.4,9397,,
Shelby, IN,1778,5.7,17302,,
Spencer, IN,790,5.5,8082,,
Starke, IN,1924,5.5,9038,,
Steuben, IN,6067,5.6,13310,,
Sullivan, IN,1116,5.4,7823,,
Switzerland, IN,935,5.4,4034,,
Tippecanoe, IN,5564,5.3,65532,,
Tipton, IN,622,6.1,6376,,
Union, IN,301,5.7,2938,,
Vanderburgh, IN,8549,5.2,74454,,
Vermillion, IN,869,5.4,6619,,
Vigo, IN,4645,5.2,41361,,
Wabash, IN,1394,5.9,12777,,
Warren, IN,343,5.9,3337,,
Warrick, IN,1698,5.9,22505,,
Washington, IN,1370,5.4,10850,,
Wayne, IN,3691,5.6,27551,,
Wells, IN,879,6.1,10780,,
White, IN,3229,5.5,9741,,
Whitley, IN,1280,6.1,13001,,
IOWA,,114841,5.8,1221576,,
Adair, IA,406,6,3292,,
Adams, IA,295,5.9,1715,,
Allamakee, IA,1772,5.7,5845,,
Appanoose, IA,1006,5.3,5627,,
Audubon, IA,355,6.3,2617,,
Benton, IA,793,6.1,10302,,
Black Hawk, IA,3417,5.5,52470,,
Boone, IA,1028,5.8,10728,,
Bremer, IA,530,6.3,9385,,
Buchanan, IA,807,6,8161,,
Buena Vista, IA,715,6,7522,,
Butler, IA,562,6.1,6120,,
Calhoun, IA,866,6,4242,,
Carroll, IA,693,6.3,8683,,
Cass, IA,611,6,5980,,
Cedar, IA,553,6.2,7511,,
Cerro Gordo, IA,2813,5.6,19350,,
Cherokee, IA,570,6.5,5207,,
Chickasaw, IA,475,6.2,5204,,
Clarke, IA,385,5.6,3701,,
Clay, IA,780,6,7282,,
Clayton, IA,1400,5.9,7599,,
Clinton, IA,1510,5.9,20223,,
Crawford, IA,530,6.1,6413,,
Dallas, IA,2020,6.1,25240,,
Davis, IA,399,5.7,3201,,
Decatur, IA,611,5.6,3223,,
Delaware, IA,966,6,7062,,
Des Moines, IA,1532,5.5,17003,,
Dickinson, IA,5295,5.7,7554,,
Dubuque, IA,2136,5.9,36815,,
Emmet, IA,522,6.1,4236,,
Fayette, IA,924,6,8634,,
Floyd, IA,640,6,6886,,
Franklin, IA,562,6,4332,,
Fremont, IA,367,5.9,3064,,
Greene, IA,550,6,3996,,
Grundy, IA,399,6.3,5131,,
Guthrie, IA,1212,6.1,4544,,
Hamilton, IA,679,5.9,6540,,
Hancock, IA,589,6,4741,,
Hardin, IA,928,6.1,7296,,
Harrison, IA,744,6,5987,,
Henry, IA,614,5.8,7666,,
Howard, IA,423,6.1,3944,,
Humboldt, IA,475,6.3,4209,,
Ida, IA,374,6.3,3052,,
Iowa, IA,581,6.1,6677,,
Jackson, IA,1126,5.7,8289,,
Jasper, IA,1375,5.7,14806,,
Jefferson, IA,748,5.6,6846,,
Johnson, IA,3252,5.3,52715,,
Jones, IA,730,6.1,8181,,
Keokuk, IA,523,6.2,4408,,
Kossuth, IA,789,6.2,6697,,
Lee, IA,1595,5.6,14610,,
Linn, IA,6117,5.6,86134,,
Louisa, IA,656,5.7,4346,,
Lucas, IA,549,5.5,3689,,
Lyon, IA,406,6.7,4442,,
Madison, IA,529,6,6025,,
Mahaska, IA,791,5.8,8975,,
Marion, IA,1191,5.8,12723,,
Marshall, IA,1293,5.8,15538,,
Mills, IA,504,6.2,5605,,
Mitchell, IA,455,6.5,4395,,
Monona, IA,647,6,4050,,
Monroe, IA,671,5.6,3213,,
Montgomery, IA,681,5.9,4558,,
Muscatine, IA,1498,5.8,16412,,
O'Brien, IA,580,6.4,6069,,
Osceola, IA,308,6.1,2682,,
Page, IA,788,5.8,6393,,
Palo Alto, IA,634,6,3994,,
Plymouth, IA,675,6.4,9875,,
Pocahontas, IA,561,6.3,3233,,
Polk, IA,12065,5.4,170197,,
Pottawattamie, IA,2555,5.6,36775,,
Poweshiek, IA,1394,5.7,7555,,
Ringgold, IA,566,5.8,2047,,
Sac, IA,947,6.1,4482,,
Scott, IA,5070,5.8,66765,,
Shelby, IA,457,6.4,5085,,
Sioux, IA,695,6.6,11584,,
Story, IA,2053,5.3,34736,,
Tama, IA,819,6.1,6947,,
Taylor, IA,428,6.1,2679,,
Union, IA,666,5.6,5271,,
Van Buren, IA,562,5.7,3108,,
Wapello, IA,1546,5.3,14552,,
Warren, IA,1109,6,17262,,
Washington, IA,775,6,8741,,
Wayne, IA,560,5.5,2652,,
Webster, IA,1455,5.7,15580,,
Winnebago, IA,597,6.1,4597,,
Winneshiek, IA,724,6.3,7997,,
Woodbury, IA,2432,5.6,39052,,
Worth, IA,376,6.1,3172,,
Wright, IA,904,6.1,5625,,
KANSAS,,121119,5.7,1112096,,
Allen, KS,751,5.7,5475,,
Anderson, KS,460,5.9,3260,,
Atchison, KS,749,5.9,6241,,
Barber, KS,626,6,2139,,
Barton, KS,1413,5.6,11283,,
Bourbon, KS,1181,5.6,5986,,
Brown, KS,685,6,4094,,
Butler, KS,2066,5.9,23992,,
Chase, KS,353,5.5,1150,,
Chautauqua, KS,538,5.3,1612,,
Cherokee, KS,1265,5.3,8625,,
Cheyenne, KS,258,6,1260,,
Clark, KS,212,5.9,923,,
Clay, KS,483,5.9,3559,,
Cloud, KS,749,6.1,3910,,
Coffey, KS,467,5.8,3497,,
Comanche, KS,220,5.4,824,,
Cowley, KS,2090,5.4,13940,,
Crawford, KS,2072,5.4,15729,,
Decatur, KS,440,6.1,1378,,
Dickinson, KS,899,5.8,8073,,
Doniphan, KS,440,5.6,3136,,
Douglas, KS,3155,5.4,43576,,
Edwards, KS,334,5.9,1302,,
Elk, KS,476,5.2,1284,,
Ellis, KS,964,5.7,11908,,
Ellsworth, KS,776,5.7,2463,,
Finney, KS,917,5.9,12359,,
Ford, KS,860,5.3,11145,,
Franklin, KS,1043,5.7,10104,,
Geary, KS,1827,5.1,12690,,
Gove, KS,219,6.3,1154,,
Graham, KS,288,5.7,1196,,
Grant, KS,229,5.7,2716,,
Gray, KS,187,6,2153,,
Greeley, KS,104,6.1,525,,
Greenwood, KS,1080,5.1,2988,,
Hamilton, KS,176,5.7,1060,,
Harper, KS,571,5.6,2545,,
Harvey, KS,1116,5.8,13411,,
Haskell, KS,156,5.6,1510,,
Hodgeman, KS,170,5.8,803,,
Jackson, KS,551,5.8,5228,,
Jefferson, KS,794,6,7366,,
Jewell, KS,582,6.1,1450,,
Johnson, KS,13689,6.5,212882,,
Kearny, KS,156,5.7,1400,,
Kingman, KS,591,5.9,3227,,
Kiowa, KS,206,6,1014,,
Labette, KS,1270,5.4,8822,,
Lane, KS,191,5.8,799,,
Leavenworth, KS,2250,6,26447,,
Lincoln, KS,441,6.2,1423,,
Linn, KS,1426,5.5,4020,,
Logan, KS,222,6.3,1219,,
Lyon, KS,1934,5.2,13303,,
McPherson, KS,973,6.1,11748,,
Marion, KS,941,5.9,5005,,
Marshall, KS,566,5.9,4300,,
Meade, KS,285,6,1713,,
Miami, KS,1029,5.7,12161,,
Mitchell, KS,506,6,2790,,
Montgomery, KS,2196,5.5,14382,,
Morris, KS,652,5.6,2554,,
Morton, KS,217,5.3,1250,,
Nemaha, KS,447,6.2,4115,,
Neosho, KS,868,5.5,6645,,
Ness, KS,375,5.8,1365,,
Norton, KS,379,5.8,2163,,
Osage, KS,951,5.7,6552,,
Osborne, KS,464,5.8,1742,,
Ottawa, KS,323,6.3,2456,,
Pawnee, KS,487,5.5,2665,,
Phillips, KS,617,6,2432,,
Pottawatomie, KS,748,5.7,7878,,
Pratt, KS,558,5.7,3956,,
Rawlins, KS,282,6.3,1176,,
Reno, KS,2480,5.6,25794,,
Republic, KS,603,6,2274,,
Rice, KS,642,5.8,3906,,
Riley, KS,2416,5.2,25796,,
Rooks, KS,530,6.1,2238,,
Rush, KS,358,5.9,1511,,
Russell, KS,737,5.7,3173,,
Saline, KS,1685,5.5,22416,,
Scott, KS,210,6.6,1983,,
Sedgwick, KS,18091,5.6,193502,,
Seward, KS,601,5.1,7460,,
Shawnee, KS,6540,5.5,72600,,
Sheridan, KS,166,6.2,1099,,
Sherman, KS,540,5.8,2608,,
Smith, KS,484,6,1748,,
Stafford, KS,412,6,1907,,
Stanton, KS,165,5.7,825,,
Stevens, KS,262,5.4,2044,,
Sumner, KS,1411,5.6,9454,,
Thomas, KS,340,5.7,3196,,
Trego, KS,324,5.6,1358,,
Wabaunsee, KS,490,5.8,2737,,
Wallace, KS,161,6,620,,
Washington, KS,481,5.9,2474,,
Wichita, KS,163,5.6,891,,
Wilson, KS,749,5.3,3933,,
Woodson, KS,498,5.3,1524,,
Wyandotte, KS,8348,5.3,58399,,
KENTUCKY,,207199,5.4,1719965,,
Adair, KY,1283,5.2,7285,,
Allen, KY,1459,5.3,7848,,
Anderson, KY,758,5.6,8369,,
Ballard, KY,488,5.3,3397,,
Barren, KY,2189,5.6,16999,,
Bath, KY,818,5.4,4587,,
Bell, KY,1367,5.1,11787,,
Boone, KY,2938,6.1,43216,,
Bourbon, KY,951,5.3,7976,,
Boyd, KY,2016,5.7,19787,,
Boyle, KY,1237,5.5,11075,,
Bracken, KY,523,5.7,3317,,
Breathitt, KY,737,5.4,5494,,
Breckinridge, KY,2803,5.1,7827,,
Bullitt, KY,1645,5.5,27673,,
Butler, KY,820,5.4,5057,,
Caldwell, KY,899,5.4,5393,,
Calloway, KY,2535,5.4,15530,,
Campbell, KY,3454,5.6,36069,,
Carlisle, KY,325,5.4,2116,,
Carroll, KY,635,5.3,4061,,
Carter, KY,1551,5.4,10760,,
Casey, KY,1136,5.7,6351,,
Christian, KY,3315,5.3,26144,,
Clark, KY,1439,5.5,14267,,
Clay, KY,1143,5.2,7732,,
Clinton, KY,953,5.2,4358,,
Crittenden, KY,788,5.4,3781,,
Cumberland, KY,807,5.4,2883,,
Daviess, KY,2833,5.3,38619,,
Edmonson, KY,1610,5,4857,,
Elliott, KY,598,5.1,2773,,
Estill, KY,881,5.3,5984,,
Fayette, KY,12117,5.3,123043,,
Fleming, KY,894,5.7,5729,,
Floyd, KY,2115,5.2,16060,,
Franklin, KY,2502,5.4,20662,,
Fulton, KY,508,5.5,2864,,
Gallatin, KY,626,5.4,3160,,
Garrard, KY,795,5.4,6668,,
Grant, KY,1328,5.4,8614,,
Graves, KY,1799,5.5,14978,,
Grayson, KY,3479,5.2,10082,,
Green, KY,723,5.7,4601,,
Greenup, KY,1659,5.7,14671,,
Hancock, KY,449,5.5,3285,,
Hardin, KY,3408,5.6,39853,,
Harlan, KY,1724,5.3,11789,,
Harrison, KY,865,5.5,7343,,
Hart, KY,1462,5.4,7097,,
Henderson, KY,1615,5.3,18705,,
Henry, KY,677,5.7,5963,,
Hickman, KY,314,5.8,2028,,
Hopkins, KY,2200,5.5,18980,,
Jackson, KY,1037,5.2,5486,,
Jefferson, KY,28441,5.4,309175,,
Jessamine, KY,1689,5.6,17642,,
Johnson, KY,1262,5.3,9362,,
Kenton, KY,6207,5.7,62768,,
Knott, KY,1047,5.3,6414,,
Knox, KY,1763,5.1,12722,,
Larue, KY,557,5.5,5615,,
Laurel, KY,2432,5.4,23014,,
Lawrence, KY,1047,5.3,6239,,
Lee, KY,526,5.5,2910,,
Leslie, KY,723,5.1,4555,,
Letcher, KY,1587,5.3,10014,,
Lewis, KY,984,5.2,5497,,
Lincoln, KY,1042,5.4,9777,,
Livingston, KY,839,5.5,3985,,
Logan, KY,1673,5.5,10666,,
Lyon, KY,1504,5.2,3287,,
McCracken, KY,2852,5.4,28227,,
McCreary, KY,1030,5.2,6477,,
McLean, KY,431,5.5,3833,,
Madison, KY,3070,5.3,31973,,
Magoffin, KY,641,5.3,5309,,
Marion, KY,824,5.5,7358,,
Marshall, KY,2675,5.6,13073,,
Martin, KY,648,5,4516,,
Mason, KY,1074,5.6,7031,,
Meade, KY,1291,5.4,10471,,
Menifee, KY,1304,4.8,2440,,
Mercer, KY,1259,5.7,8682,,
Metcalfe, KY,626,5.3,4055,,
Monroe, KY,695,5.4,4509,,
Montgomery, KY,1264,5.5,10435,,
Morgan, KY,970,5.3,4860,,
Muhlenberg, KY,1647,5.4,12052,,
Nelson, KY,1249,5.5,16826,,
Nicholas, KY,452,5.6,2809,,
Ohio, KY,1043,5.3,9176,,
Oldham, KY,1257,7.1,19431,,
Owen, KY,1338,5.5,4296,,
Owsley, KY,414,5.2,1914,,
Pendleton, KY,845,5.5,5494,,
Perry, KY,1472,5.1,11319,,
Pike, KY,3576,5.3,26728,,
Powell, KY,764,5.3,4834,,
Pulaski, KY,5721,5.4,25722,,
Robertson, KY,193,5.4,902,,
Rockcastle, KY,953,5.3,6750,,
Rowan, KY,1238,5.1,8864,,
Russell, KY,2592,5.2,7401,,
Scott, KY,1895,5.8,17408,,
Shelby, KY,1285,5.9,15321,,
Simpson, KY,682,5.7,6753,,
Spencer, KY,539,5.7,6165,,
Taylor, KY,1032,5.3,9832,,
Todd, KY,639,5.4,4647,,
Trigg, KY,1927,5.4,5883,,
Trimble, KY,510,5.4,3420,,
Union, KY,592,5.7,5549,,
Warren, KY,3549,5.4,43674,,
Washington, KY,537,5.7,4507,,
Wayne, KY,2296,5.1,8646,,
Webster, KY,664,5.3,5272,,
Whitley, KY,1591,5.2,13575,,
Wolfe, KY,595,5.2,3065,,
Woodford, KY,905,6.1,9806,,
LOUISIANA,,236621,5.3,1728360,,
Acadia, LA,2546,5.1,22841,,
Allen, LA,1217,5.2,8516,,
Ascension, LA,2994,5.4,37790,,
Assumption, LA,1615,5.1,8736,,
Avoyelles, LA,2610,5.1,15432,,
Beauregard, LA,1881,5.3,13159,,
Bienville, LA,1880,5.2,5838,,
Bossier, LA,4136,5.3,45215,,
Caddo, LA,9889,5.3,102139,,
Calcasieu, LA,8062,5.3,73996,,
Caldwell, LA,1089,5.1,3905,,
Cameron, LA,1018,5.1,2575,,
Catahoula, LA,1043,5.2,3834,,
Claiborne, LA,1744,5.3,6017,,
Concordia, LA,1770,5.2,7613,,
De Soto, LA,1728,5.4,10562,,
East Baton Rouge, LA,15296,5.3,172057,,
East Carroll, LA,352,5.1,2552,,
East Feliciana, LA,992,5.3,7022,,
Evangeline, LA,1833,5,12829,,
Franklin, LA,1130,5.2,7904,,
Grant, LA,1390,5.3,7496,,
Iberia, LA,2920,5.3,26778,,
Iberville, LA,1635,5.2,11072,,
Jackson, LA,1419,5.1,6261,,
Jefferson, LA,19488,5.4,169647,,
Jefferson Davis, LA,1535,5.3,11771,,
Lafayette, LA,6629,5.2,87027,,
Lafourche, LA,3096,5.2,35486,,
La Salle, LA,1092,5.3,5468,,
Lincoln, LA,1880,5.1,17599,,
Livingston, LA,4163,5.2,46007,,
Madison, LA,779,5.3,4025,,
Morehouse, LA,1570,5.1,10853,,
Natchitoches, LA,2973,5.1,15614,,
Orleans, LA,47738,5,142158,,
Ouachita, LA,5790,5.2,58691,,
Plaquemines, LA,1519,5.8,8077,,
Pointe Coupee, LA,2048,5.1,9082,,
Rapides, LA,5283,5.3,50401,,
Red River, LA,656,5.5,3472,,
Richland, LA,1070,5.4,7551,,
Sabine, LA,4508,5,9622,,
St. Bernard, LA,3573,5.4,13221,,
St. Charles, LA,1339,5.9,18557,,
St. Helena, LA,817,4.9,4333,,
St. James, LA,738,5.5,7717,,
St. John the Baptist, LA,1545,5.5,15965,,
St. Landry, LA,3835,5,31857,,
St. Martin, LA,2725,5.2,19216,,
St. Mary, LA,2571,5.2,20457,,
St. Tammany, LA,7891,5.9,87521,,
Tangipahoa, LA,4938,5.2,45135,,
Tensas, LA,1185,5.3,2172,,
Terrebonne, LA,3796,5.3,40091,,
Union, LA,2202,5.2,9144,,
Vermilion, LA,3346,5.2,21889,,
Vernon, LA,2268,5.1,19165,,
Washington, LA,2926,5.3,18113,,
Webster, LA,2799,5.1,16537,,
West Baton Rouge, LA,636,5.3,8688,,
West Carroll, LA,594,5.4,4452,,
West Feliciana, LA,1126,5.3,3971,,
Winn, LA,1765,5.1,5469,,
MAINE,,164611,5.3,557219,,
Androscoggin, ME,4775,5.1,44315,,
Aroostook, ME,8568,5.1,30961,,
Cumberland, ME,21318,5.5,117339,,
Franklin, ME,8709,5,13000,,
Hancock, ME,15963,5.2,24221,,
Kennebec, ME,9844,5.3,51128,,
Knox, ME,6486,5.4,17258,,
Lincoln, ME,8344,5.5,15149,,
Oxford, ME,11755,5.1,24300,,
Penobscot, ME,10894,5.2,62966,,
Piscataquis, ME,7515,5,7825,,
Sagadahoc, ME,3200,5.4,15088,,
Somerset, ME,8642,5.1,21927,,
Waldo, ME,5135,5.3,16431,,
Washington, ME,8699,5,14302,,
York, ME,24764,5.4,81009,,
MARYLAND,,222403,6.1,2156411,,
Allegany, MD,4134,5.8,29177,,
Anne Arundel, MD,13184,6.4,199378,,
Baltimore, MD,18907,6.1,316715,,
Calvert, MD,2907,6.9,30873,,
Caroline, MD,1324,6,12158,,
Carroll, MD,2620,7,59786,,
Cecil, MD,4236,6.1,36867,,
Charles, MD,3749,6.9,51214,,
Dorchester, MD,3032,5.7,13522,,
Frederick, MD,5336,6.7,84800,,
Garrett, MD,6797,5.7,12057,,
Harford, MD,5336,6.7,90218,,
Howard, MD,4533,7,104749,,
Kent, MD,2384,6.1,8165,,
Montgomery, MD,18819,6.4,357086,,
Prince George's, MD,24140,6,304042,,
Queen Anne's, MD,2124,6.3,18016,,
St. Mary's, MD,3678,6.1,37604,,
Somerset, MD,2342,5.7,8788,,
Talbot, MD,3420,6.2,16157,,
Washington, MD,5127,5.8,55687,,
Wicomico, MD,3972,5.7,37220,,
Worcester, MD,33520,4.5,22229,,
Baltimore city, MD,46782,5.5,249903,,
MASSACHUSETTS,,261179,5.6,2547075,,
Barnstable, MA,64526,5.8,95755,,
Berkshire, MA,12417,5.7,56091,,
Bristol, MA,17525,5.5,213010,,
Dukes, MA,9820,5.7,7368,,
Essex, MA,20798,5.6,285956,,
Franklin, MA,3296,5.6,30462,,
Hampden, MA,12248,5.3,179927,,
Hampshire, MA,3901,5.5,58702,,
Middlesex, MA,31316,5.7,580688,,
Nantucket, MA,7389,6.3,4229,,
Norfolk, MA,12445,6,257914,,
Plymouth, MA,19035,6,181126,,
Suffolk, MA,22755,4.4,292767,,
Worcester, MA,23708,5.7,303080,,
MICHIGAN,,659725,5.6,3872508,,
Alcona, MI,5984,5.1,5089,,
Alger, MI,2656,5.3,3898,,
Allegan, MI,7408,5.9,42018,,
Alpena, MI,3262,5.5,12791,,
Antrim, MI,7934,5.1,9890,,
Arenac, MI,3102,5.4,6701,,
Baraga, MI,1826,5.2,3444,,
Barry, MI,4459,5.9,22551,,
Bay, MI,3617,5.6,44603,,
Benzie, MI,4901,5.1,7298,,
Berrien, MI,13868,5.5,63054,,
Branch, MI,4422,5.7,16419,,
Calhoun, MI,7026,5.7,54016,,
Cass, MI,5283,5.8,20604,,
Charlevoix, MI,6367,5.6,10882,,
Cheboygan, MI,7165,5.3,11133,,
Chippewa, MI,6924,5.2,14329,,
Clare, MI,10267,4.6,12966,,
Clinton, MI,1929,6.2,28766,,
